"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.1304,0.1304,0.1304,0.1304,0.1304,0.1304,0.1304,0.1304,0.1304,0.1304
"baselineHL",0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435
"baselineRL",0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435
"baselineSA",0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435
"BR-C5.0",0.298,0.3071,0.3103,0.2924,0.2983,0.3114,0.3002,0.2983,0.3037,0.3088
"BR-LR",0.3507,0.3444,0.3532,0.3435,0.3466,0.3518,0.349,0.346,0.3558,0.347
"BR-RF",0.2488,0.2483,0.249,0.2469,0.2501,0.2492,0.2502,0.2447,0.2507,0.2456
"BR-SVM",0.3501,0.346,0.3518,0.3459,0.3472,0.3502,0.3484,0.3474,0.3563,0.3481
"BR-XGB",0.3517,0.3468,0.3544,0.3462,0.3468,0.3485,0.3514,0.3461,0.3505,0.3487
"BR+-C5.0",0.3134,0.299,0.3084,0.3109,0.2954,0.3238,0.3177,0.3124,0.2829,0.3138
"BR+-LR",0.3502,0.3471,0.3552,0.348,0.3464,0.3537,0.3517,0.3462,0.3569,0.347
"BR+-RF",0.2416,0.2467,0.2422,0.2477,0.2458,0.2477,0.2487,0.2442,0.249,0.2482
"BR+-SVM",0.3514,0.3464,0.3537,0.3479,0.3481,0.3539,0.3515,0.3479,0.3567,0.349
"BR+-XGB",0.35,0.3521,0.3516,0.3536,0.3492,0.3537,0.3495,0.351,0.3507,0.3506
"CC-C5.0",0.3167,0.3143,0.3116,0.3079,0.3028,0.3284,0.3049,0.3147,0.302,0.3123
"CC-LR",0.3514,0.3455,0.353,0.3477,0.3469,0.3522,0.3496,0.3482,0.3575,0.3487
"CC-RF",0.2435,0.2449,0.2445,0.2487,0.2432,0.2475,0.2481,0.2443,0.2506,0.2469
"CC-SVM",0.3491,0.3476,0.3516,0.3479,0.348,0.3537,0.3525,0.3479,0.3569,0.349
"CC-XGB",0.3517,0.3497,0.3519,0.3503,0.3471,0.3495,0.3505,0.3507,0.3477,0.3526
"DBR-C5.0",0.3193,0.3131,0.3094,0.3123,0.3059,0.3236,0.3185,0.3125,0.2998,0.3153
"DBR-LR",0.3536,0.3457,0.3531,0.3486,0.3483,0.3524,0.3506,0.3478,0.3592,0.3479
"DBR-RF",0.2436,0.2469,0.2469,0.2502,0.2468,0.248,0.2489,0.2456,0.2528,0.2469
"DBR-SVM",0.3516,0.3477,0.3539,0.3474,0.3481,0.3548,0.3495,0.347,0.3554,0.3453
"DBR-XGB",0.3544,0.3569,0.3573,0.3573,0.3527,0.3568,0.3547,0.3541,0.3546,0.3532
"EBR-C5.0",0.4062,0.4013,0.4094,0.3974,0.4042,0.4007,0.405,0.3986,0.4041,0.4034
"EBR-LR",0.3953,0.3929,0.4074,0.3973,0.396,0.394,0.3896,0.3985,0.396,0.3998
"EBR-RF",0.3075,0.3135,0.3096,0.3152,0.3105,0.3146,0.3139,0.3126,0.3144,0.3105
"EBR-SVM",0.4254,0.4189,0.4291,0.4253,0.4157,0.4254,0.4273,0.4221,0.435,0.4208
"EBR-XGB",0.4099,0.4053,0.412,0.4094,0.4043,0.4096,0.4048,0.4095,0.4109,0.4085
"ECC-C5.0",0.4015,0.3984,0.4057,0.4026,0.4056,0.4085,0.4056,0.398,0.4028,0.4039
"ECC-LR",0.4048,0.3926,0.3919,0.3995,0.3922,0.3896,0.3972,0.3936,0.3913,0.391
"ECC-RF",0.308,0.3115,0.3089,0.3165,0.3089,0.3134,0.312,0.3087,0.3116,0.3142
"ECC-SVM",0.4244,0.4208,0.4274,0.4245,0.4216,0.4305,0.426,0.4218,0.4321,0.4214
