"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",1,1,1,1,1,1,1,1,1,1
"baselineHL",0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
"baselineRL",0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
"baselineSA",0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
"BR-C5.0",0.6839,0.6821,0.6839,0.6821,0.6839,0.6821,0.6839,0.6821,0.6839,0.6821
"BR-LR",0.7874,0.7938,0.7878,0.7922,0.7883,0.7955,0.7867,0.7932,0.7874,0.7943
"BR-RF",0.778,0.7721,0.778,0.7721,0.778,0.7721,0.778,0.7721,0.778,0.7721
"BR-SVM",0.7857,0.794,0.7857,0.794,0.7857,0.794,0.7857,0.794,0.7857,0.794
"BR-SVMt",0.7922,0.7959,0.7922,0.7959,0.7922,0.7959,0.7922,0.7959,0.7922,0.7959
"BR-XGB",0.7825,0.7965,0.7825,0.7965,0.7825,0.7965,0.7825,0.7965,0.7825,0.7965
"BR+-C5.0",0.6356,0.6038,0.6356,0.6038,0.6356,0.6038,0.6356,0.6038,0.6356,0.6038
"BR+-LR",0.7883,0.7962,0.7868,0.7962,0.7863,0.7957,0.7888,0.7932,0.786,0.7962
"BR+-RF",0.7709,0.7738,0.7709,0.7738,0.7709,0.7738,0.7709,0.7738,0.7709,0.7738
"BR+-SVM",0.7849,0.7967,0.7849,0.7967,0.7849,0.7967,0.7849,0.7967,0.7849,0.7967
"BR+-SVMt",0.7914,0.7897,0.7914,0.7897,0.7944,0.7897,0.7914,0.8,0.7914,0.8
"BR+-XGB",0.7595,0.7642,0.7595,0.7642,0.7595,0.7642,0.7595,0.7642,0.7595,0.7642
"CC-C5.0",0.6389,0.6116,0.6389,0.6116,0.6389,0.6116,0.6389,0.6116,0.6389,0.6116
"CC-LR",0.786,0.7975,0.7898,0.7996,0.7862,0.7971,0.7889,0.7999,0.787,0.7998
"CC-RF",0.773,0.7743,0.773,0.7743,0.773,0.7743,0.773,0.7743,0.773,0.7743
"CC-SVM",0.786,0.7992,0.786,0.7992,0.786,0.7992,0.786,0.7992,0.786,0.7992
"CC-SVMt",0.7871,0.8018,0.7871,0.8018,0.7871,0.8018,0.7871,0.8018,0.7871,0.8018
"CC-XGB",0.7661,0.7604,0.7661,0.7604,0.7661,0.7604,0.7661,0.7604,0.7661,0.7604
"DBR-C5.0",0.6417,0.6125,0.6417,0.6125,0.6417,0.6125,0.6417,0.6125,0.6417,0.6125
"DBR-LR",0.7849,0.7956,0.7863,0.7946,0.7865,0.7951,0.7863,0.7938,0.7872,0.793
"DBR-RF",0.7769,0.7707,0.7769,0.7707,0.7769,0.7707,0.7769,0.7707,0.7769,0.7707
"DBR-SVM",0.7851,0.7949,0.7851,0.7949,0.7851,0.7949,0.7851,0.7949,0.7851,0.7949
"DBR-SVMt",0.7903,0.7957,0.7978,0.7914,0.7903,0.7957,0.7978,0.7957,0.7978,0.7914
"DBR-XGB",0.7726,0.7807,0.7726,0.7807,0.7726,0.7807,0.7726,0.7807,0.7726,0.7807
"EBR-C5.0",0.7685,0.7706,0.7685,0.7706,0.7685,0.7706,0.7685,0.7706,0.7685,0.7706
"EBR-LR",0.7956,0.7959,0.7949,0.7983,0.7972,0.8,0.7902,0.8042,0.7879,0.8043
"EBR-RF",0.7895,0.7906,0.7895,0.7906,0.7895,0.7906,0.7895,0.7906,0.7895,0.7906
"EBR-SVM",0.7856,0.81,0.7856,0.81,0.7856,0.81,0.7856,0.81,0.7856,0.81
"EBR-SVMt",0.7964,0.8065,0.801,0.8076,0.8031,0.807,0.785,0.807,0.801,0.8078
