"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778
"baseline-HL",0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556
"baseline-RL",0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556
"baseline-SA",0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556,0.0556
"BR-C5.0",0.231,0.2506,0.2536,0.2299,0.2626,0.245,0.2501,0.2314,0.2419,0.2352
"BR+-C5.0",0.227,0.2467,0.2483,0.2318,0.2528,0.2353,0.236,0.232,0.2323,0.2283
"CC-C5.0",0.2408,0.2406,0.2534,0.2388,0.2561,0.2385,0.2458,0.237,0.238,0.2443
"DBR-C5.0",0.229,0.2456,0.2481,0.2343,0.2513,0.2399,0.2426,0.2315,0.2319,0.228
"EBR-C5.0",0.2855,0.3001,0.2803,0.284,0.2924,0.289,0.2758,0.2973,0.3085,0.2542
"ECC-C5.0",0.2916,0.2979,0.3027,0.299,0.2969,0.2726,0.2874,0.2662,0.2663,0.3002
"MBR-C5.0",0.231,0.2445,0.2505,0.2274,0.2624,0.2429,0.2481,0.2259,0.2454,0.2373
"NS-C5.0",0.23,0.2462,0.2585,0.2272,0.2577,0.2478,0.2475,0.2312,0.2393,0.2338
"PruDent-C5.0",0.231,0.2506,0.2536,0.2299,0.2626,0.245,0.2501,0.2314,0.2419,0.2352
"RDBR-C5.0",0.2275,0.247,0.2479,0.2331,0.2573,0.2364,0.2353,0.2324,0.2358,0.2269
"BR-LR",0.4023,0.3955,0.3941,0.3877,0.3882,0.3871,0.3772,0.4107,0.3883,0.3895
"BR+-LR",0.4018,0.3892,0.3837,0.3912,0.4004,0.3935,0.3807,0.4061,0.3868,0.4028
"CC-LR",0.3625,0.3898,0.4042,0.3652,0.3646,0.3813,0.3785,0.3761,0.3903,0.3675
"DBR-LR",0.4053,0.3815,0.3845,0.4042,0.3982,0.3871,0.3954,0.4184,0.3886,0.3962
"EBR-LR",0.386,0.3934,0.3883,0.37,0.3731,0.4074,0.4034,0.3878,0.439,0.378
"ECC-LR",0.4203,0.4039,0.4211,0.4149,0.4037,0.4361,0.3957,0.4276,0.4115,0.3979
"MBR-LR",0.4138,0.3828,0.3967,0.386,0.4007,0.393,0.3945,0.4111,0.3924,0.3969
"NS-LR",0.3908,0.3852,0.3966,0.3909,0.3864,0.3743,0.3761,0.4049,0.3867,0.3878
"PruDent-LR",0.4077,0.3823,0.4016,0.3956,0.394,0.3848,0.3796,0.4067,0.3893,0.3982
"RDBR-LR",0.3895,0.3892,0.3871,0.3931,0.3918,0.3913,0.3814,0.4042,0.388,0.398
"BR-RF",0.3675,0.3768,0.3806,0.3597,0.3758,0.3936,0.3763,0.3681,0.3723,0.3612
"BR+-RF",0.3488,0.347,0.3636,0.3447,0.3479,0.3703,0.3667,0.3553,0.3525,0.3486
"CC-RF",0.3671,0.368,0.3737,0.3554,0.3734,0.3768,0.3661,0.37,0.3591,0.3607
"DBR-RF",0.3664,0.3628,0.3748,0.3581,0.3716,0.3861,0.3735,0.3642,0.3676,0.3644
"EBR-RF",0.3752,0.4068,0.4167,0.3869,0.387,0.4183,0.4085,0.3721,0.403,0.3723
"ECC-RF",0.3689,0.401,0.4062,0.3849,0.3814,0.4128,0.384,0.4017,0.4001,0.3959
"MBR-RF",0.3746,0.3722,0.3805,0.3626,0.3782,0.3904,0.3768,0.3661,0.3684,0.3637
"NS-RF",0.367,0.3659,0.369,0.3582,0.3707,0.3867,0.3656,0.3727,0.3693,0.3621
"PruDent-RF",0.3642,0.3719,0.3769,0.36,0.3763,0.3904,0.3758,0.3647,0.3749,0.3653
"RDBR-RF",0.3518,0.3471,0.3639,0.3519,0.3509,0.3733,0.3682,0.361,0.3555,0.3505
"BR-SVM",0.397,0.3917,0.3993,0.3828,0.3936,0.3914,0.3774,0.4088,0.3886,0.3886
"BR+-SVM",0.3994,0.3921,0.3979,0.3918,0.3846,0.3862,0.3748,0.4059,0.385,0.3978
"CC-SVM",0.3669,0.3917,0.3971,0.3637,0.3633,0.3888,0.3766,0.3678,0.3903,0.3613
"DBR-SVM",0.405,0.3923,0.399,0.3964,0.4047,0.3898,0.3827,0.411,0.3868,0.4019
"EBR-SVM",0.4326,0.4326,0.4329,0.4529,0.4491,0.4615,0.4349,0.4542,0.4357,0.4567
"ECC-SVM",0.419,0.4219,0.4281,0.4266,0.4174,0.438,0.4259,0.4472,0.4312,0.4289
"MBR-SVM",0.4055,0.3924,0.3901,0.3909,0.3882,0.3853,0.3774,0.4144,0.3894,0.4063
"NS-SVM",0.3963,0.3903,0.3988,0.3926,0.387,0.3834,0.3788,0.4079,0.3938,0.3943
"PruDent-SVM",0.391,0.3884,0.3831,0.3948,0.3886,0.3887,0.3782,0.41,0.3873,0.3924
"RDBR-SVM",0.399,0.3921,0.4008,0.3875,0.3843,0.3862,0.375,0.4075,0.3856,0.398
