"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"baselineHL",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"baselineRL",0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857
"baselineSA",0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857
"BR-C5.0",0.3806,0.3955,0.3475,0.3958,0.3906,0.3592,0.3617,0.3808,0.3542,0.397
"BR-LR",0.3689,0.3577,0.3685,0.3712,0.3639,0.3652,0.3643,0.3715,0.3745,0.3698
"BR-RF",0.3154,0.3151,0.3165,0.3257,0.3221,0.3176,0.314,0.3193,0.3143,0.3245
"BR-SVM",0.3708,0.362,0.3693,0.3761,0.3622,0.3643,0.3682,0.3677,0.3709,0.3678
"BR-SVMt",0.3758,0.37,0.373,0.3824,0.3652,0.3755,0.3738,0.3744,0.3644,0.3726
"BR-XGB",0.3659,0.3682,0.3607,0.3677,0.3756,0.3677,0.3559,0.373,0.3654,0.3655
"BR+-C5.0",0.4381,0.4234,0.3981,0.4491,0.4299,0.4107,0.4129,0.4201,0.4194,0.4488
"BR+-LR",0.4376,0.4375,0.4475,0.4351,0.4406,0.4481,0.4297,0.4401,0.4434,0.4341
"BR+-RF",0.3461,0.3484,0.3553,0.356,0.3523,0.3426,0.3451,0.3484,0.3489,0.3542
"BR+-SVM",0.442,0.4369,0.4491,0.4354,0.4351,0.4454,0.4337,0.4384,0.4457,0.435
"BR+-SVMt",0.4404,0.4254,0.4404,0.4267,0.4346,0.4405,0.4265,0.4291,0.4352,0.4303
"BR+-XGB",0.3982,0.4015,0.3845,0.4014,0.4133,0.3998,0.3857,0.404,0.3938,0.4013
"CC-C5.0",0.3859,0.3698,0.3945,0.3861,0.3746,0.375,0.3681,0.3703,0.4003,0.3796
"CC-LR",0.4151,0.4166,0.4215,0.4183,0.4134,0.4257,0.4186,0.4188,0.4255,0.4151
"CC-RF",0.33,0.3371,0.3364,0.3492,0.3404,0.3418,0.3411,0.3419,0.3365,0.3434
"CC-SVM",0.4138,0.4167,0.4239,0.4191,0.4135,0.427,0.4179,0.4147,0.4244,0.4135
"CC-SVMt",0.3863,0.4093,0.4119,0.4118,0.419,0.4185,0.41,0.419,0.4251,0.4184
"CC-XGB",0.3887,0.3886,0.3866,0.3936,0.3948,0.3828,0.3824,0.3906,0.3919,0.3869
"DBR-C5.0",0.4173,0.4143,0.3783,0.4316,0.4248,0.3818,0.4009,0.4144,0.3974,0.4261
"DBR-LR",0.4355,0.4313,0.4463,0.4313,0.4337,0.4404,0.4281,0.4374,0.4468,0.4306
"DBR-RF",0.3431,0.3433,0.3452,0.3498,0.3468,0.341,0.3383,0.3428,0.3458,0.3469
"DBR-SVM",0.4373,0.4327,0.4451,0.4326,0.4322,0.4384,0.433,0.4368,0.445,0.4304
"DBR-SVMt",0.4363,0.4312,0.43,0.4273,0.4342,0.4335,0.425,0.4245,0.4336,0.4164
"DBR-XGB",0.3851,0.3848,0.3759,0.3832,0.3939,0.3826,0.3726,0.3892,0.3834,0.3843
"EBR-C5.0",0.3797,0.3874,0.3874,0.3933,0.3885,0.3793,0.384,0.3896,0.395,0.3844
"EBR-LR",0.42,0.4346,0.4171,0.4254,0.4256,0.4367,0.4236,0.4345,0.4333,0.4232
"EBR-RF",0.3984,0.3849,0.3817,0.402,0.4063,0.391,0.39,0.4,0.3937,0.3939
"EBR-SVM",0.4393,0.4404,0.45,0.4457,0.4857,0.4543,0.447,0.4434,0.4598,0.4387
"EBR-SVMt",0.4255,0.4399,0.4439,0.4503,0.4732,0.4464,0.4355,0.4525,0.4546,0.4345
