"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"baselineHL",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"baselineRL",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"baselineSA",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"BR-C5.0",0.5255,0.5394,0.5377,0.5437,0.5414,0.5387,0.5554,0.5465,0.5601,0.5338
"BR-LR",0.4904,0.4991,0.5064,0.4944,0.4929,0.5027,0.4879,0.5017,0.5019,0.4915
"BR-RF",0.5232,0.5335,0.5267,0.5341,0.5359,0.532,0.535,0.5271,0.5311,0.5321
"BR-SVM",0.4918,0.4973,0.5034,0.4953,0.4955,0.5037,0.4868,0.5013,0.5008,0.4903
"BR-SVMt",0.6014,0.6112,0.6213,0.6126,0.6149,0.6011,0.6065,0.6045,0.6092,0.6153
"BR-XGB",0.6186,0.6209,0.6245,0.6215,0.6198,0.6223,0.6148,0.6221,0.6182,0.6219
"BR+-C5.0",0.5505,0.5974,0.5753,0.5837,0.5709,0.5945,0.5846,0.5727,0.6029,0.5755
"BR+-LR",0.5382,0.5489,0.5557,0.541,0.5405,0.5394,0.5366,0.5409,0.5511,0.5372
"BR+-RF",0.5598,0.571,0.5607,0.5763,0.574,0.5685,0.5731,0.5644,0.5652,0.5697
"BR+-SVM",0.5387,0.5509,0.5548,0.5464,0.5391,0.5485,0.5374,0.5463,0.551,0.5391
"BR+-SVMt",0.6277,0.6463,0.6374,0.6343,0.6376,0.6387,0.6354,0.6355,0.6409,0.6401
"BR+-XGB",0.655,0.6522,0.6611,0.6509,0.6516,0.6542,0.6413,0.6585,0.6557,0.6557
"CC-C5.0",0.5439,0.5778,0.564,0.575,0.5515,0.5935,0.574,0.5892,0.5689,0.576
"CC-LR",0.5293,0.5374,0.5434,0.5306,0.5253,0.5327,0.522,0.5323,0.5366,0.5291
"CC-RF",0.5573,0.5681,0.5605,0.5717,0.5728,0.5667,0.5725,0.566,0.5688,0.5681
"CC-SVM",0.5312,0.5341,0.5454,0.5304,0.526,0.5324,0.5218,0.5323,0.5362,0.5282
"CC-SVMt",0.6354,0.6242,0.6262,0.6281,0.6438,0.6307,0.6302,0.639,0.6257,0.6467
"CC-XGB",0.65,0.6505,0.6493,0.6504,0.6458,0.6475,0.6428,0.6552,0.6467,0.6486
"DBR-C5.0",0.5673,0.6228,0.5935,0.6181,0.5866,0.6177,0.592,0.5981,0.6295,0.5941
"DBR-LR",0.5736,0.5758,0.5784,0.5681,0.5696,0.5695,0.5655,0.5681,0.5751,0.5704
"DBR-RF",0.5601,0.571,0.5619,0.5772,0.5747,0.5691,0.5736,0.5653,0.5656,0.5701
"DBR-SVM",0.5758,0.5759,0.5802,0.571,0.5672,0.5698,0.5659,0.5687,0.5742,0.5717
"DBR-SVMt",0.6527,0.6627,0.6734,0.6599,0.6584,0.6627,0.6537,0.6558,0.6595,0.6539
"DBR-XGB",0.6751,0.6784,0.6782,0.6772,0.6746,0.6766,0.6696,0.6787,0.678,0.6819
"EBR-C5.0",0.6214,0.6223,0.6197,0.6171,0.61,0.6277,0.6092,0.6269,0.6213,0.6244
"EBR-LR",0.5674,0.5674,0.5675,0.5547,0.5041,0.5128,0.4879,0.5675,0.5803,0.4991
"EBR-RF",0.581,0.5987,0.5905,0.6013,0.5982,0.592,0.5953,0.5913,0.5933,0.5917
"EBR-SVM",0.5849,0.5601,0.5671,0.5512,0.5599,0.5971,0.5822,0.5634,0.5646,0.5886
"EBR-SVMt",0.6501,0.6682,0.6647,0.6591,0.662,0.653,0.6787,0.6666,0.6607,0.6599
"EBR-XGB",0.7,0.7045,0.7061,0.6652,0.6673,0.7066,0.7007,0.7031,0.6978,0.699
"ECC-C5.0",0.6346,0.645,0.6421,0.6324,0.6289,0.6382,0.6292,0.6484,0.6403,0.6328
"ECC-LR",0.5478,0.5539,0.5556,0.5457,0.5527,0.5605,0.534,0.5579,0.5646,0.5516
"ECC-RF",0.6359,0.6165,0.6347,0.6123,0.6175,0.6134,0.6459,0.6138,0.6083,0.6404
"ECC-SVM",0.5812,0.5937,0.5989,0.5825,0.5488,0.5894,0.5766,0.5929,0.5545,0.5811
"ECC-SVMt",0.6794,0.6596,0.6599,0.655,0.683,0.6778,0.6586,0.6767,0.651,0.661
"ECC-XGB",0.6964,0.6978,0.707,0.7043,0.7007,0.6962,0.6935,0.7069,0.6962,0.7029
"MBR-C5.0",0.5416,0.5491,0.5304,0.5764,0.5357,0.5463,0.5592,0.5703,0.5606,0.5511
"MBR-LR",0.4916,0.5032,0.5015,0.4948,0.4947,0.5016,0.4898,0.5008,0.4978,0.4916
"MBR-RF",0.5221,0.5345,0.5271,0.5358,0.535,0.5312,0.5361,0.5313,0.5282,0.5333
"MBR-SVM",0.4905,0.5014,0.5032,0.4953,0.4917,0.5045,0.4892,0.5013,0.5008,0.4924
"MBR-XGB",0.6316,0.6379,0.6372,0.6362,0.6367,0.6314,0.6302,0.6367,0.6325,0.632
"NS-C5.0",0.5359,0.5692,0.551,0.5544,0.5526,0.5787,0.5678,0.5784,0.581,0.5469
"NS-LR",0.4923,0.501,0.5041,0.4916,0.4972,0.5004,0.4933,0.5003,0.5018,0.495
"NS-RF",0.556,0.5689,0.5575,0.5703,0.5721,0.5649,0.5726,0.5636,0.563,0.5671
"NS-SVM",0.4939,0.5028,0.5052,0.4953,0.5003,0.4989,0.4972,0.4995,0.5037,0.4961
"NS-SVMt",0.6238,0.6295,0.6401,0.6258,0.6441,0.6331,0.6268,0.6387,0.6223,0.6407
"NS-XGB",0.6528,0.6515,0.6562,0.6486,0.6544,0.6562,0.6453,0.6567,0.6492,0.6588
"PruDent-C5.0",0.5302,0.5631,0.5542,0.5554,0.5504,0.5595,0.5678,0.5499,0.5812,0.5402
"PruDent-LR",0.4905,0.497,0.4995,0.4936,0.4971,0.4999,0.4861,0.5011,0.5009,0.4922
"PruDent-RF",0.5226,0.5352,0.526,0.5362,0.5359,0.5315,0.5339,0.5309,0.5302,0.5339
"PruDent-SVM",0.4966,0.5042,0.5094,0.497,0.5004,0.5104,0.4942,0.5038,0.5025,0.4956
"PruDent-SVMt",0.6012,0.6107,0.6241,0.6113,0.6114,0.5997,0.6102,0.6205,0.6043,0.6091
"PruDent-XGB",0.6225,0.6222,0.6269,0.6238,0.623,0.6238,0.618,0.624,0.6228,0.6267
"RDBR-C5.0",0.5486,0.5986,0.5731,0.5731,0.5709,0.5825,0.5726,0.5675,0.5947,0.5679
"RDBR-LR",0.5402,0.5487,0.5553,0.5306,0.5371,0.5436,0.5394,0.5376,0.5426,0.5347
"RDBR-RF",0.5595,0.5721,0.5608,0.5767,0.5742,0.5694,0.5736,0.5646,0.565,0.5706
"RDBR-SVM",0.5458,0.5447,0.5497,0.5409,0.539,0.5475,0.5334,0.5429,0.5485,0.541
"RDBR-SVMt",0.6435,0.6442,0.6535,0.6443,0.6393,0.6353,0.6386,0.6329,0.641,0.6388
"RDBR-XGB",0.6575,0.659,0.6625,0.6592,0.6515,0.6601,0.6506,0.6614,0.6587,0.6625
