"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.9817,0.9817,0.9817,0.9817,0.9817,0.9817,0.9817,0.9817,0.9817,0.9817
"baseline-HL",0.9954,0.9954,0.9954,0.9954,0.9954,0.9954,0.9954,0.9954,0.9954,0.9954
"baseline-RL",0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862
"baseline-SA",0.9817,0.9862,0.9817,0.9862,0.9862,0.9817,0.9817,0.9862,0.9817,0.9862
"BR-C5.0",0.9083,0.8716,0.8899,0.922,0.9174,0.9174,0.9037,0.8899,0.9312,0.9037
"BR+-C5.0",0.9128,0.8303,0.8486,0.8899,0.8807,0.8899,0.8899,0.8394,0.9083,0.8716
"CC-C5.0",0.8991,0.8532,0.8624,0.8853,0.9037,0.8853,0.8945,0.8578,0.8899,0.8624
"DBR-C5.0",0.8991,0.8303,0.8394,0.8761,0.8899,0.8991,0.8761,0.8578,0.9083,0.8761
"EBR-C5.0",0.2752,0.2569,0.2569,0.2339,0.2018,0.2569,0.2615,0.2523,0.2844,0.2798
"ECC-C5.0",0.3578,0.3119,0.3119,0.3624,0.3578,0.2936,0.2982,0.3349,0.2569,0.3073
"MBR-C5.0",0.9174,0.8853,0.9037,0.9083,0.9174,0.9266,0.922,0.9037,0.9312,0.9128
"NS-C5.0",0.8761,0.8165,0.8486,0.8716,0.8807,0.8716,0.8624,0.8486,0.9037,0.8578
"PruDent-C5.0",0.9174,0.8716,0.8899,0.9266,0.9174,0.9266,0.9037,0.8945,0.9312,0.9037
"RDBR-C5.0",0.8945,0.8303,0.8578,0.8761,0.8761,0.8899,0.8761,0.8486,0.9083,0.8761
"BR-LR",0.7706,0.7752,0.7569,0.7615,0.7706,0.7982,0.7706,0.7523,0.7798,0.7706
"BR+-LR",0.578,0.5642,0.5734,0.5688,0.5688,0.5688,0.6009,0.578,0.5734,0.5642
"CC-LR",0.5505,0.5917,0.5872,0.5872,0.5596,0.555,0.6147,0.5872,0.5826,0.5688
"DBR-LR",0.6009,0.5734,0.5826,0.555,0.578,0.5596,0.5917,0.5872,0.5826,0.578
"EBR-LR",0.3853,0.4037,0.4128,0.4404,0.3853,0.3716,0.3624,0.422,0.445,0.3578
"ECC-LR",0.3853,0.4404,0.4174,0.4266,0.3991,0.3899,0.422,0.4495,0.4128,0.4312
"MBR-LR",0.711,0.7018,0.7202,0.7064,0.7064,0.7294,0.7339,0.7248,0.6881,0.7018
"NS-LR",0.7477,0.7294,0.7156,0.7569,0.7431,0.7798,0.7569,0.7248,0.7385,0.7385
"PruDent-LR",0.7844,0.7706,0.7523,0.7569,0.7477,0.7798,0.7706,0.7661,0.7752,0.7523
"RDBR-LR",0.5596,0.6009,0.5642,0.5688,0.5229,0.5459,0.5872,0.5642,0.5734,0.5688
"BR-RF",0.7706,0.7706,0.7523,0.7798,0.7569,0.7706,0.7615,0.7752,0.7661,0.7569
"BR+-RF",0.7064,0.6881,0.6972,0.7064,0.7248,0.6972,0.6835,0.7156,0.7156,0.6606
"CC-RF",0.8165,0.8165,0.8119,0.8257,0.8349,0.8257,0.8257,0.8165,0.844,0.8165
"DBR-RF",0.7477,0.711,0.7431,0.7156,0.7569,0.7248,0.7294,0.7385,0.7431,0.7202
"EBR-RF",0.5229,0.4817,0.4954,0.4862,0.5229,0.4404,0.4541,0.5275,0.4725,0.4725
"ECC-RF",0.4174,0.4312,0.3807,0.4358,0.445,0.4174,0.367,0.4817,0.4679,0.4633
"MBR-RF",0.7615,0.7615,0.7523,0.7798,0.7615,0.7844,0.7523,0.7844,0.7569,0.7385
"NS-RF",0.7339,0.7706,0.7202,0.7661,0.7706,0.7248,0.7477,0.7615,0.7523,0.7294
"PruDent-RF",0.7661,0.7706,0.7569,0.7752,0.7477,0.7477,0.7569,0.7661,0.7523,0.7615
"RDBR-RF",0.8257,0.8119,0.8165,0.7982,0.8073,0.8165,0.8257,0.8165,0.8257,0.7982
"BR-SVM",0.7752,0.7661,0.7844,0.7431,0.7569,0.7982,0.7798,0.7661,0.7661,0.7752
"BR+-SVM",0.5826,0.5826,0.6101,0.555,0.5963,0.5734,0.5734,0.5734,0.5917,0.5734
"CC-SVM",0.5734,0.5963,0.5963,0.5872,0.5734,0.5459,0.6193,0.6009,0.6009,0.5596
"DBR-SVM",0.5826,0.5734,0.5917,0.5917,0.555,0.5505,0.6193,0.6147,0.5917,0.578
"EBR-SVM",0.2431,0.1927,0.2064,0.2064,0.1881,0.2018,0.2477,0.2018,0.2431,0.2202
"ECC-SVM",0.2202,0.2202,0.2339,0.2248,0.211,0.211,0.2248,0.2018,0.2294,0.1972
"MBR-SVM",0.6972,0.7156,0.6881,0.7018,0.7064,0.7431,0.7202,0.7064,0.6972,0.6835
"NS-SVM",0.7294,0.711,0.6881,0.7248,0.6835,0.7523,0.7294,0.7294,0.7156,0.711
"PruDent-SVM",0.7798,0.7569,0.7523,0.7615,0.7661,0.8119,0.7844,0.7569,0.7661,0.7523
"RDBR-SVM",0.5826,0.5596,0.578,0.5734,0.5505,0.5688,0.578,0.5688,0.5963,0.5413
"BR-SVMt",0.6239,0.6376,0.5917,0.6881,0.6101,0.7018,0.6055,0.6147,0.5872,0.5963
"BR+-SVMt",0.2064,0.1927,0.1789,0.2339,0.1972,0.1514,0.2844,0.1697,0.2202,0.2936
"CC-SVMt",0.2798,0.2798,0.2477,0.3165,0.2523,0.3532,0.3761,0.3853,0.4128,0.2615
"DBR-SVMt",0.211,0.1972,0.1651,0.3073,0.2064,0.1881,0.1789,0.3303,0.2477,0.1697
"EBR-SVMt",0.211,0.2064,0.5229,0.2844,0.2385,0.1881,0.2248,0.2523,0.2248,0.1697
"ECC-SVMt",0.3486,0.3303,0.2156,0.2844,0.2569,0.2248,0.2477,0.2477,0.2752,0.2156
"MBR-SVMt",0.3211,0.2523,0.2798,0.367,0.2798,0.3486,0.3165,0.289,0.3303,0.2615
"NS-SVMt",0.3807,0.2752,0.3394,0.4495,0.2798,0.4083,0.4404,0.4404,0.3394,0.2477
"PruDent-SVMt",0.7064,0.6193,0.6055,0.6606,0.5917,0.6972,0.6514,0.5872,0.6101,0.5963
"RDBR-SVMt",0.2615,0.2018,0.2202,0.2615,0.2156,0.211,0.1927,0.2385,0.2523,0.1835
"BR-XGB",0.2523,0.2385,0.2569,0.2385,0.2523,0.2798,0.211,0.2569,0.2798,0.1972
"BR+-XGB",0.3486,0.3486,0.3486,0.344,0.3349,0.3807,0.344,0.3578,0.3486,0.2936
"CC-XGB",0.3349,0.3578,0.3028,0.3532,0.3394,0.3578,0.3211,0.3624,0.367,0.3394
"DBR-XGB",0.3486,0.3349,0.344,0.3532,0.3532,0.3761,0.3303,0.3578,0.3578,0.3073
"EBR-XGB",0.1514,0.1697,0.1422,0.1835,0.156,0.1606,0.1468,0.2018,0.1835,0.1468
"ECC-XGB",0.2569,0.289,0.1881,0.3073,0.3349,0.289,0.289,0.2752,0.2798,0.2523
