"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.9048,0.9048,0.9048,0.9048,0.9048,0.9048,0.9048,0.9048,0.9048,0.9048
"baseline-HL",0.9524,0.9524,0.9524,0.9524,0.9524,0.9524,0.9762,0.9524,0.9524,0.9524
"baseline-RL",0.9286,0.9286,0.9286,0.9286,0.9286,0.9286,0.9286,0.9286,0.9286,0.9286
"baseline-SA",0.9762,0.9286,0.9762,0.9762,0.9762,0.9762,0.9762,0.9762,0.9762,0.9762
"BR-C5.0",0.4762,0.5,0.4524,0.5476,0.4524,0.5238,0.4762,0.4762,0.5,0.5
"BR+-C5.0",0.4524,0.4286,0.4524,0.4762,0.4524,0.4524,0.4762,0.4048,0.5,0.5238
"CC-C5.0",0.4524,0.5,0.4762,0.5476,0.4524,0.4762,0.4762,0.5238,0.5,0.5476
"DBR-C5.0",0.4524,0.4286,0.4524,0.4762,0.4524,0.4524,0.4524,0.4048,0.5,0.5238
"EBR-C5.0",0.2619,0.2857,0.3095,0.2381,0.3095,0.4048,0.3333,0.2857,0.2857,0.2381
"ECC-C5.0",0.3095,0.3571,0.3571,0.2619,0.2619,0.3571,0.3333,0.3095,0.2619,0.3095
"MBR-C5.0",0.4762,0.5,0.4286,0.5476,0.4524,0.5,0.4762,0.4524,0.5,0.5
"NS-C5.0",0.4048,0.4286,0.4286,0.5238,0.4762,0.5,0.4762,0.4286,0.4524,0.4524
"PruDent-C5.0",0.4762,0.4762,0.4524,0.5476,0.4524,0.5238,0.4762,0.4762,0.5,0.5
"RDBR-C5.0",0.4762,0.4048,0.4524,0.5,0.4524,0.4524,0.4286,0.4524,0.4524,0.5238
"BR-LR",0.4286,0.4048,0.4762,0.4762,0.5476,0.5714,0.5238,0.5238,0.4524,0.5238
"BR+-LR",0.3333,0.381,0.3571,0.3571,0.4286,0.4048,0.4286,0.381,0.4286,0.4286
"CC-LR",0.381,0.4048,0.4524,0.4048,0.4762,0.4524,0.5,0.4286,0.4048,0.4762
"DBR-LR",0.3571,0.4524,0.3571,0.3571,0.4048,0.4286,0.5,0.3571,0.4286,0.381
"EBR-LR",0.2143,0.0714,0.0714,0.0952,0.0952,0.1429,0.1429,0.0476,0.119,0.0952
"ECC-LR",0.1667,0.0476,0.2143,0.1905,0.119,0.0952,0.1667,0.119,0.2143,0.119
"MBR-LR",0.4524,0.4286,0.4286,0.4762,0.4762,0.4762,0.4524,0.4762,0.5238,0.5238
"NS-LR",0.3333,0.5,0.5238,0.4524,0.4524,0.5476,0.4762,0.4286,0.4762,0.5
"PruDent-LR",0.2381,0.3571,0.3095,0.2619,0.3095,0.3571,0.4048,0.2619,0.3333,0.3333
"RDBR-LR",0.3095,0.3571,0.4286,0.4048,0.4524,0.4286,0.4048,0.381,0.3095,0.4762
"BR-RF",0.0714,0.1429,0.0952,0.1667,0.1429,0.0952,0.119,0.119,0.1429,0.1667
"BR+-RF",0.0714,0.1667,0.0952,0.1429,0.1429,0.0952,0.119,0.119,0.1429,0.1429
"CC-RF",0.0952,0.1667,0.0952,0.1429,0.1429,0.0952,0.0952,0.0952,0.1429,0.1667
"DBR-RF",0.0714,0.1667,0.0952,0.1429,0.1429,0.0952,0.119,0.119,0.119,0.1429
"EBR-RF",0.0476,0.0476,0.0714,0.0238,0.0238,0,0.0714,0.0714,0.0714,0.0238
"ECC-RF",0.0476,0.0714,0.0714,0.0238,0.0238,0,0.0714,0.0476,0.0714,0.0238
"MBR-RF",0.0714,0.1667,0.0952,0.1429,0.1429,0.0476,0.119,0.0952,0.1429,0.1667
"NS-RF",0.0476,0.1429,0.0952,0.1429,0.119,0.0952,0.119,0.0952,0.1429,0.1667
"PruDent-RF",0.0952,0.1667,0.0952,0.1429,0.1429,0.0714,0.1429,0.0952,0.1429,0.1429
"RDBR-RF",0.0714,0.1429,0.0952,0.1429,0.1429,0.0952,0.119,0.119,0.1429,0.1429
"BR-SVM",0.4048,0.4048,0.5,0.4524,0.4524,0.4762,0.4524,0.4762,0.4762,0.5
"BR+-SVM",0.3571,0.3333,0.3571,0.381,0.3571,0.4048,0.4286,0.381,0.4048,0.4524
"CC-SVM",0.381,0.381,0.4524,0.4048,0.381,0.4762,0.4524,0.381,0.4048,0.5
"DBR-SVM",0.3571,0.3333,0.3571,0.381,0.3571,0.4048,0.4286,0.381,0.4048,0.4524
"EBR-SVM",0.119,0.0476,0.0476,0.0476,0.0238,0.0238,0.0952,0.0476,0.119,0.0476
"ECC-SVM",0.1429,0.0476,0.119,0.0476,0,0.0238,0.0714,0.119,0.0952,0.0476
"MBR-SVM",0.381,0.5,0.4762,0.4524,0.5,0.5,0.4762,0.5476,0.4762,0.4524
"NS-SVM",0.4286,0.5,0.5238,0.4048,0.4286,0.4762,0.4524,0.4524,0.4762,0.5
"PruDent-SVM",0.3571,0.4286,0.5,0.4524,0.5,0.4286,0.5,0.5,0.5,0.5
"RDBR-SVM",0.3571,0.3333,0.3571,0.381,0.3571,0.4048,0.4286,0.381,0.4048,0.4524
"BR-SVMt",0.4524,0.4286,0.4762,0.5476,0.4524,0.5238,0.5714,0.4524,0.5238,0.5
