"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0,0,0,0,0,0,0,0,0,0
"baseline-HL",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"baseline-RL",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"baseline-SA",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"BR-C5.0",0,0,0,0,0,0,0,0,0,0
"BR+-C5.0",0,0,0,0,0,0,0,0,0,0
"CC-C5.0",0,0,0,0,0,0,0,0,0,0
"DBR-C5.0",0,0,0,0,0,0,0,0,0,0
"EBR-C5.0",0,0,0,0,0,0,0,0,0,0
"ECC-C5.0",0,0,0,0,0,0,0,0,0,0
"MBR-C5.0",0,0,0,0,0,0,0,0,0,0
"NS-C5.0",0,0,0,0,0,0,0,0,0,0
"PruDent-C5.0",0,0,0,0,0,0,0,0,0,0
"RDBR-C5.0",0,0,0,0,0,0,0,0,0,0
"BR-LR",0,0,0,0,0,0,0,0,0,0
"BR+-LR",0,0,0,0,0,0,0,0,0,0
"CC-LR",0,0,0,0,0,0,0,0,0,0
"DBR-LR",0,0,0,0,0,0,0,0,0,0
"EBR-LR",0,0,0,0,0,0,0,0,0,0
"ECC-LR",0,0,0,0,0,0,0,0,0,0
"MBR-LR",0,0,0,0,0,0,0,0,0,0
"NS-LR",0,0,0,0,0,0,0,0,0,0
"PruDent-LR",0,0,0,0,0,0,0,0,0,0
"RDBR-LR",0,0,0,0,0,0,0,0,0,0
"BR-RF",0,0,0,0,0,0,0,0,0,0
"BR+-RF",0,0,0,0,0,0,0,0,0,0
"CC-RF",0,0,0,0,0,0,0,0,0,0
"DBR-RF",0,0,0,0,0,0,0,0,0,0
"EBR-RF",0,0,0,0,0,0,0,0,0,0
"ECC-RF",0,0,0,0,0,0,0,0,0,0
"MBR-RF",0,0,0,0,0,0,0,0,0,0
"NS-RF",0,0,0,0,0,0,0,0,0,0
"PruDent-RF",0,0,0,0,0,0,0,0,0,0
"RDBR-RF",0,0,0,0,0,0,0,0,0,0
"BR-SVM",0,0,0,0,0,0,0,0,0,0
"BR+-SVM",0,0,0,0,0,0,0,0,0,0
"CC-SVM",0,0,0,0,0,0,0,0,0,0
"DBR-SVM",0,0,0,0,0,0,0,0,0,0
"EBR-SVM",0,0,0,0,0,0,0,0,0,0
"ECC-SVM",0,0,0,0,0,0,0,0,0,0
"MBR-SVM",0,0,0,0,0,0,0,0,0,0
"NS-SVM",0,0,0,0,0,0,0,0,0,0
"PruDent-SVM",0,0,0,0,0,0,0,0,0,0
"RDBR-SVM",0,0,0,0,0,0,0,0,0,0
"BR-SVMt",0,0,0,0,0,0,0,0,0,0
"BR+-SVMt",0,0,0,0,0,0,0,0,0,0
"CC-SVMt",0,0,0,0,0,0,0,0,0,0
"DBR-SVMt",0,0,0,0,0,0,0,0,0,0
"EBR-SVMt",0,0,0,0,0,0,0,0,0,0
"ECC-SVMt",0,0,0,0,0,0,0,0,0,0
"MBR-SVMt",0,0,0,0,0,0,0,0,0,0
"NS-SVMt",0,0,0,0,0,0,0,0,0,0
"PruDent-SVMt",0,0,0,0,0,0,0,0,0,0
"RDBR-SVMt",0,0,0,0,0,0,0,0,0,0
"BR-XGB",0,0,0,0,0,0,0,0,0,0
"BR+-XGB",0,0,0,0,0,0,0,0,0,0
"CC-XGB",0,0,0,0,0,0,0,0,0,0
"DBR-XGB",0,0,0,0,0,0,0,0,0,0
"EBR-XGB",0,0,0,0,0,0,0,0,0,0
"ECC-XGB",0,0,0,0,0,0,0,0,0,0
"MBR-XGB",0,0,0,0,0,0,0,0,0,0
"NS-XGB",0,0,0,0,0,0,0,0,0,0
"PruDent-XGB",0,0,0,0,0,0,0,0,0,0
"RDBR-XGB",0,0,0,0,0,0,0,0,0,0
