"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.9211,0.9211,0.9211,0.9211,0.9211,0.9211,0.9211,0.9211,0.9211,0.9211
"baselineHL",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"baselineRL",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"baselineSA",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"BR-C5.0",0.3421,0.3947,0.2895,0.3684,0.3684,0.3684,0.3158,0.3421,0.4211,0.3947
"BR-LR",0.3421,0.3947,0.3684,0.3684,0.3421,0.2895,0.3684,0.3684,0.3421,0.4737
"BR-RF",0.5789,0.5526,0.5526,0.5263,0.5789,0.5526,0.5789,0.5,0.5526,0.5789
"BR-SVM",0.2895,0.4211,0.4211,0.3421,0.3684,0.3421,0.3684,0.3947,0.2895,0.4211
"BR-SVMt",0.3158,0.3684,0.3684,0.3421,0.4474,0.3421,0.3684,0.3684,0.3158,0.4474
"BR-XGB",0.0526,0.1053,0.0263,0,0.0526,0,0.0526,0.0263,0.0526,0.0263
"BR+-C5.0",0.3421,0.3947,0.3158,0.3947,0.3947,0.3421,0.3158,0.3684,0.3947,0.3947
"BR+-LR",0.3158,0.3947,0.4211,0.3947,0.3158,0.2632,0.4211,0.4211,0.3158,0.3684
"BR+-RF",0.5526,0.5526,0.5789,0.5526,0.5789,0.5526,0.5526,0.5526,0.5526,0.5789
"BR+-SVM",0.2895,0.4211,0.4474,0.3158,0.3421,0.3158,0.3421,0.4211,0.2895,0.3947
"BR+-SVMt",0.2895,0.3947,0.4211,0.3421,0.3684,0.2632,0.3421,0.3947,0.3421,0.4211
"BR+-XGB",0.0526,0.0263,0.0263,0,0.0526,0,0.0789,0.0526,0.0789,0.0789
"CC-C5.0",0.3421,0.4211,0.2895,0.3947,0.3684,0.3684,0.3158,0.3684,0.3684,0.3947
"CC-LR",0.3158,0.4211,0.4211,0.3684,0.3421,0.3421,0.3947,0.4211,0.3684,0.4474
"CC-RF",0.5789,0.5789,0.5789,0.5263,0.5789,0.5526,0.5526,0.5526,0.5526,0.5789
"CC-SVM",0.3158,0.4211,0.4474,0.3158,0.3421,0.3421,0.3158,0.3947,0.3158,0.4211
"CC-SVMt",0.3158,0.3947,0.4474,0.3158,0.3684,0.3158,0.3684,0.3947,0.3947,0.3684
"CC-XGB",0.0526,0.0789,0.0526,0.0263,0.0263,0,0.0263,0.0263,0.1579,0
"DBR-C5.0",0.3421,0.3947,0.3158,0.3947,0.3684,0.3421,0.3158,0.3684,0.3947,0.3947
"DBR-LR",0.2895,0.4211,0.3684,0.3158,0.3158,0.3421,0.3947,0.4211,0.2632,0.4211
"DBR-RF",0.5526,0.5526,0.5789,0.5526,0.5789,0.5526,0.5526,0.5526,0.5526,0.5789
"DBR-SVM",0.2895,0.4211,0.4211,0.3158,0.3421,0.3158,0.3421,0.3947,0.2895,0.3947
"DBR-SVMt",0.3421,0.3947,0.4737,0.3684,0.3684,0.3421,0.3421,0.3421,0.2368,0.4211
"DBR-XGB",0.0526,0.0263,0.0263,0,0.0526,0,0.0789,0.0789,0.0789,0.0789
"EBR-C5.0",0.1579,0.1579,0.1316,0.1579,0.1053,0.1316,0.1053,0.0789,0.1316,0.1842
"EBR-LR",0.4737,0.3684,0.4737,0.4211,0.4211,0.4474,0.4737,0.3947,0.4474,0.5
"EBR-RF",0.5526,0.5263,0.5526,0.5263,0.5526,0.5526,0.5526,0.5526,0.5526,0.5789
"EBR-SVM",0.3421,0.3684,0.4211,0.3158,0.2895,0.3947,0.3421,0.2632,0.3421,0.3947
"EBR-SVMt",0.3158,0.4211,0.3684,0.4211,0.3421,0.4211,0.2895,0.3684,0.3684,0.3947
"EBR-XGB",0.1842,0.1316,0.0263,0.0789,0.1053,0.1053,0.0526,0.0263,0.1053,0.0263
"ECC-C5.0",0.1316,0.2368,0.1579,0.1842,0.1316,0.1842,0.1053,0.0789,0.1316,0.2368
"ECC-LR",0.5,0.4211,0.5526,0.3947,0.5,0.3684,0.4737,0.4737,0.4474,0.5263
"ECC-RF",0.5526,0.5526,0.5263,0.5263,0.5789,0.5263,0.5526,0.5,0.5526,0.5789
"ECC-SVM",0.3684,0.4211,0.3684,0.3947,0.3947,0.3947,0.2895,0.4211,0.3421,0.4211
"ECC-SVMt",0.3684,0.4211,0.3684,0.2632,0.3421,0.3947,0.3158,0.3421,0.3947,0.4474
"ECC-XGB",0.0789,0.1579,0.0789,0.0263,0.0526,0.0789,0.0789,0.1053,0.0526,0.0526
"MBR-C5.0",0.3684,0.3947,0.2895,0.3158,0.3421,0.3421,0.2895,0.3684,0.4474,0.3947
"MBR-LR",0.2632,0.3684,0.4211,0.2895,0.3158,0.2895,0.3421,0.3684,0.2895,0.3947
"MBR-RF",0.5526,0.5526,0.5526,0.5526,0.5789,0.5526,0.5526,0.5526,0.5526,0.5789
"MBR-SVM",0.3158,0.3947,0.3684,0.3158,0.2895,0.1842,0.3158,0.3684,0.2895,0.3684
"MBR-SVMt",0.2632,0.3421,0.3684,0.2895,0.3421,0.2632,0.3158,0.2632,0.2105,0.3947
"MBR-XGB",0.0526,0.1053,0.0263,0,0.0526,0,0.0526,0.0263,0.0526,0.0263
"NS-C5.0",0.3684,0.3947,0.3158,0.3684,0.3947,0.3947,0.3421,0.3684,0.3947,0.4211
"NS-LR",0.2632,0.3947,0.4211,0.3421,0.2895,0.2895,0.4211,0.4211,0.3158,0.3947
"NS-RF",0.5526,0.5526,0.5526,0.5789,0.5789,0.5526,0.5789,0.5526,0.5526,0.5526
"NS-SVM",0.2632,0.4211,0.4211,0.3158,0.3421,0.3421,0.3421,0.3947,0.2895,0.4474
"NS-SVMt",0.2895,0.4474,0.4211,0.3421,0.5263,0.2632,0.5,0.4211,0.2895,0.4474
