"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.85,0.85,0.85
"baselineHL",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"baselineRL",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"baselineSA",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"BR-C5.0",0.05,0.05,0,0.1,0.1,0.1,0,0.1,0.05,0.05
"BR-LR",0,0.05,0.05,0.05,0,0.05,0.05,0.05,0.1,0.05
"BR-RF",0.2,0.1,0.15,0.2,0.15,0.25,0.15,0.2,0.15,0.15
"BR-SVM",0,0.1,0.05,0.05,0,0.05,0.1,0,0.1,0.05
"BR-SVMt",0,0.1,0,0.05,0,0,0,0.05,0.05,0.05
"BR-XGB",0,0,0,0,0,0,0,0,0,0
"BR+-C5.0",0.05,0.05,0,0.1,0.1,0.1,0,0.1,0.05,0.05
"BR+-LR",0,0.05,0.05,0.05,0,0.05,0.05,0,0.1,0.05
"BR+-RF",0.2,0.25,0.15,0.2,0.15,0.25,0.15,0.15,0.15,0.2
"BR+-SVM",0,0.1,0.05,0.05,0,0.05,0.05,0.05,0.1,0.05
"BR+-SVMt",0,0.1,0,0.05,0,0.05,0,0,0,0.05
"BR+-XGB",0,0,0,0,0,0,0,0,0,0
"CC-C5.0",0.05,0.05,0,0.1,0.1,0.1,0,0.1,0.05,0.05
"CC-LR",0,0.1,0.05,0.05,0,0,0.05,0,0.05,0.05
"CC-RF",0.2,0.25,0.15,0.2,0.15,0.25,0.15,0.2,0.15,0.15
"CC-SVM",0,0.1,0.05,0.05,0,0,0.05,0,0.05,0.05
"CC-SVMt",0,0.05,0,0.05,0,0,0,0.05,0,0.1
"CC-XGB",0,0,0,0,0,0,0,0,0,0
"DBR-C5.0",0.05,0.05,0,0.1,0.1,0.1,0,0.1,0.05,0.05
"DBR-LR",0,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05
"DBR-RF",0.2,0.25,0.15,0.2,0.15,0.25,0.15,0.15,0.15,0.2
"DBR-SVM",0.05,0.1,0.05,0,0.05,0.05,0.05,0.1,0.1,0.05
"DBR-SVMt",0,0.05,0,0.05,0.05,0,0,0,0,0.05
"DBR-XGB",0,0,0,0,0,0,0,0,0,0
"EBR-C5.0",0.1,0.1,0,0.05,0,0.05,0,0.05,0.05,0.1
"EBR-LR",0.15,0.1,0.1,0.2,0.15,0.1,0.15,0.2,0.2,0.2
"EBR-RF",0.2,0.15,0.1,0.15,0.15,0.2,0.15,0.15,0.15,0.15
"EBR-SVM",0.15,0.1,0.05,0,0.05,0.1,0.05,0.1,0.15,0
"EBR-SVMt",0.05,0.05,0,0,0,0,0,0.05,0,0.05
"EBR-XGB",0.1,0.05,0,0,0.05,0,0,0.05,0.05,0
"ECC-C5.0",0.05,0.1,0,0,0,0.05,0,0.05,0.05,0
"ECC-LR",0.1,0.15,0.2,0.2,0.05,0.15,0.2,0.15,0.15,0.15
"ECC-RF",0.15,0.2,0.15,0.15,0.15,0.2,0.15,0.2,0.15,0.15
"ECC-SVM",0.1,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.05,0.05
"ECC-SVMt",0.15,0.1,0,0,0,0,0,0,0,0.05
"ECC-XGB",0,0.05,0,0,0,0,0,0,0,0
"MBR-C5.0",0.05,0.1,0,0.1,0.1,0.1,0,0.1,0.05,0.05
"MBR-LR",0,0.1,0.05,0,0,0.05,0.05,0,0.05,0.05
"MBR-RF",0.2,0.15,0.15,0.2,0.15,0.2,0.15,0.15,0.15,0.15
"MBR-SVM",0,0.05,0.05,0,0,0.05,0.05,0,0.05,0
"MBR-SVMt",0,0.05,0,0.05,0,0,0,0,0.05,0
"MBR-XGB",0,0,0,0,0,0,0,0,0,0
"NS-C5.0",0.05,0.05,0,0.1,0.1,0.1,0,0.1,0.05,0.05
"NS-LR",0.1,0.1,0.05,0.1,0,0.05,0.1,0.05,0.1,0.1
"NS-RF",0.2,0.1,0.15,0.2,0.15,0.25,0.2,0.2,0.15,0.15
"NS-SVM",0,0.1,0.05,0.05,0,0.05,0.15,0.05,0.1,0.1
"NS-SVMt",0.05,0.1,0.05,0.05,0,0,0,0,0,0.05
"NS-XGB",0,0,0,0,0,0,0,0,0,0
"PruDent-C5.0",0.05,0.05,0,0.1,0.1,0.1,0,0.1,0.05,0.05
"PruDent-LR",0,0.05,0.05,0.05,0,0.05,0.05,0,0.1,0.05
"PruDent-RF",0.2,0.15,0.15,0.15,0.2,0.2,0.15,0.15,0.15,0.15
"PruDent-SVM",0,0.05,0.05,0.05,0,0.05,0.05,0.05,0.1,0.05
"PruDent-SVMt",0,0.1,0,0,0,0,0,0,0,0.05
"PruDent-XGB",0,0,0,0,0,0,0,0,0,0
"RDBR-C5.0",0.05,0.05,0,0.1,0.1,0.1,0,0.1,0.05,0.05
"RDBR-LR",0.05,0.05,0.05,0,0.05,0.05,0.05,0,0.05,0
"RDBR-RF",0.2,0.25,0.15,0.2,0.15,0.25,0.15,0.15,0.15,0.2
"RDBR-SVM",0,0.05,0.05,0.05,0,0.05,0.05,0,0.1,0.05
"RDBR-SVMt",0,0.1,0,0.05,0,0.05,0,0.05,0,0.05
"RDBR-XGB",0,0,0,0,0,0,0,0,0,0
