"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.8421,0.8421,0.8421,0.8421,0.8421,0.8421,0.8421,0.8421,0.8421,0.8421
"baseline-HL",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"baseline-RL",0.9737,0.9737,0.9211,0.9737,0.9737,0.9737,0.9737,0.9211,0.9737,0.9737
"baseline-SA",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"BR-C5.0",0.1842,0.1579,0.1316,0.2368,0.2105,0.0526,0.1842,0.1316,0.1316,0.2105
"BR+-C5.0",0.0789,0.1316,0.0263,0.0789,0.0789,0.1053,0.1053,0.1053,0.0526,0.0263
"CC-C5.0",0.0526,0.0789,0.0526,0.0526,0.0526,0.0526,0.0526,0.1579,0.1316,0.0263
"DBR-C5.0",0.0789,0.1053,0.0263,0.0789,0.0789,0.1053,0.0789,0.1053,0.0526,0.0263
"EBR-C5.0",0.2105,0.0789,0.1842,0.1053,0.1053,0.1579,0.0526,0.1579,0.0789,0.0526
"ECC-C5.0",0.1842,0.0526,0.2105,0.0526,0.0789,0.1579,0.2105,0,0.2105,0.0526
"MBR-C5.0",0.0526,0.0789,0.0526,0.1053,0.0789,0.0526,0.0526,0.0526,0.0263,0.0526
"NS-C5.0",0.0526,0.0789,0.0789,0.1579,0.1842,0.1316,0.1579,0.1579,0.1579,0.1316
"PruDent-C5.0",0.1842,0.1579,0.1579,0.2368,0.2105,0.0526,0.1842,0.1316,0.1316,0.2105
"RDBR-C5.0",0.0263,0.1316,0.0526,0.0526,0.0789,0.0526,0.0789,0.1053,0.1053,0.0526
"BR-LR",0.3684,0.3158,0.3421,0.2895,0.3684,0.2632,0.3684,0.2632,0.3421,0.3684
"BR+-LR",0.2632,0.2368,0.1842,0.1579,0.2368,0.2105,0.2105,0.1842,0.2895,0.2368
"CC-LR",0.3684,0.1842,0.3158,0.2105,0.3158,0.1842,0.2105,0.2632,0.3158,0.2632
"DBR-LR",0.2105,0.1842,0.1842,0.1842,0.2368,0.1842,0.2368,0.1579,0.3158,0.2368
"EBR-LR",0.2105,0.1579,0.2368,0.1316,0.1316,0.1842,0.1842,0.1579,0.2368,0.1842
"ECC-LR",0.2368,0.1579,0.2368,0.2105,0.1316,0.1579,0.2368,0.1053,0.1053,0.2368
"MBR-LR",0.3158,0.2368,0.2895,0.2632,0.2895,0.2895,0.2895,0.2105,0.3158,0.3158
"NS-LR",0.3421,0.3158,0.3684,0.2895,0.3684,0.3421,0.2895,0.2632,0.8947,0.3684
"PruDent-LR",0.3158,0.2105,0.2368,0.1579,0.3158,0.2368,0.2368,0.2105,0.3158,0.2368
"RDBR-LR",0.2368,0.1579,0.2105,0.1579,0.2632,0.1842,0.2105,0.2368,0.2632,0.2105
"BR-RF",0.4737,0.4737,0.4474,0.4474,0.5,0.5,0.4474,0.5,0.5,0.5
"BR+-RF",0.4474,0.4737,0.4211,0.4211,0.4474,0.4737,0.4211,0.4211,0.4211,0.4737
"CC-RF",0.5,0.5,0.5526,0.5263,0.5526,0.5263,0.5263,0.5263,0.5,0.5526
"DBR-RF",0.5,0.4737,0.4737,0.4211,0.5,0.4474,0.4737,0.4474,0.4474,0.4474
"EBR-RF",0.2632,0.3421,0.3684,0.2895,0.2632,0.2895,0.2895,0.3158,0.3421,0.2895
"ECC-RF",0.2895,0.3684,0.3947,0.3158,0.2368,0.2895,0.2895,0.2368,0.3421,0.2632
"MBR-RF",0.4474,0.4474,0.4737,0.4211,0.4474,0.5,0.4737,0.4211,0.4737,0.5
"NS-RF",0.4737,0.5,0.5526,0.5263,0.5263,0.5263,0.5263,0.5263,0.4737,0.5526
"PruDent-RF",0.4474,0.4737,0.4737,0.4474,0.3947,0.5,0.5,0.5,0.4737,0.4474
"RDBR-RF",0.4737,0.5,0.4474,0.4474,0.5263,0.5,0.4474,0.4474,0.4474,0.4737
"BR-SVM",0.3421,0.3158,0.2895,0.2895,0.3684,0.2895,0.3158,0.2895,0.3158,0.3421
"BR+-SVM",0.2105,0.1579,0.2105,0.2105,0.2632,0.1579,0.1842,0.2105,0.2632,0.2105
"CC-SVM",0.3421,0.2105,0.3158,0.2105,0.3158,0.2368,0.2895,0.2895,0.2895,0.2632
"DBR-SVM",0.2105,0.1579,0.2105,0.2105,0.2632,0.1579,0.2105,0.2105,0.2632,0.2105
"EBR-SVM",0.1316,0.0789,0.1053,0.1053,0.1579,0.0789,0.0789,0.1053,0.1579,0.1053
"ECC-SVM",0.1842,0.1842,0.1316,0.1842,0.1842,0.1316,0.1579,0.1316,0.1842,0.1316
"MBR-SVM",0.3158,0.2632,0.2895,0.2632,0.3158,0.2632,0.2105,0.1579,0.2895,0.2895
"NS-SVM",0.3421,0.8947,0.3158,0.2368,0.3684,0.2895,0.3421,0.2632,0.2895,0.3158
"PruDent-SVM",0.3684,0.2895,0.2632,0.3158,0.3684,0.2895,0.3421,0.2632,0.3684,0.3421
"RDBR-SVM",0.2105,0.1579,0.2105,0.2105,0.2632,0.1842,0.2105,0.2105,0.2632,0.1579
"BR-SVMt",0.3158,0.3158,0.2895,0.2632,0.3947,0.3158,0.2895,0.2368,0.3684,0.3421
"BR+-SVMt",0.2105,0.1053,0.1579,0.1842,0.1842,0.2105,0.1579,0.1316,0.2368,0.2105
"CC-SVMt",0.3158,0.2105,0.2632,0.2368,0.3158,0.2105,0.2368,0.2105,0.2895,0.2368
"DBR-SVMt",0.2895,0.1316,0.1842,0.1316,0.1842,0.2105,0.2105,0.1316,0.2895,0.1316
"EBR-SVMt",0.0789,0.1316,0.0789,0.1053,0,0.0789,0.0789,0.0789,0.1053,0.0263
"ECC-SVMt",0.0263,0,0.1842,0,0,0.1316,0.0526,0.1579,0.0526,0
"MBR-SVMt",0.2368,0.2368,0.1316,0.2105,0.2368,0.1842,0.2368,0.1842,0.2632,0.1053
"NS-SVMt",0.2895,0.1579,0.2632,0.9211,0.2105,0.8947,0.8947,0.2368,0.8947,0.2632
"PruDent-SVMt",0.3421,0.2895,0.3158,0.2895,0.2895,0.3421,0.2895,0.2632,0.3158,0.3421
"RDBR-SVMt",0.2632,0.1053,0.1842,0.1842,0.2368,0.2632,0.1579,0.1579,0.2368,0.1842
