"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696
"baselineHL",0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565
"baselineRL",0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565
"baselineSA",0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565
"BR-C5.0",0.3043,0.1739,0.2174,0.3043,0.2174,0.2174,0.3043,0.2174,0.2174,0.2174
"BR-LR",0,0,0,0,0,0,0,0,0,0
"BR-RF",0.1304,0.2174,0.2174,0.2174,0.2174,0.2174,0.1739,0.2174,0.2174,0.1739
"BR-SVM",0,0,0,0,0,0,0,0,0.0435,0
"BR-XGB",0,0,0,0,0,0,0,0,0,0
"BR+-C5.0",0.2609,0.1304,0.1739,0.2609,0.2174,0.1739,0.2609,0.1739,0.2174,0.1739
"BR+-LR",0,0,0,0,0,0,0,0,0,0
"BR+-RF",0.2174,0.1739,0.2174,0.1739,0.2174,0.1739,0.2174,0.2174,0.2609,0.2174
"BR+-SVM",0,0,0,0,0,0,0,0,0,0
"BR+-XGB",0,0,0,0,0,0,0,0,0,0
"CC-C5.0",0.2609,0.1304,0.1739,0.2609,0.2174,0.1739,0.3043,0.1739,0.2174,0.2174
"CC-LR",0,0,0,0,0,0,0,0,0,0
"CC-RF",0.1739,0.2609,0.2609,0.1739,0.2174,0.1739,0.2174,0.1739,0.2174,0.2174
"CC-SVM",0,0,0,0,0,0,0,0,0,0
"CC-XGB",0.0435,0,0,0,0,0,0.0435,0,0,0
"DBR-C5.0",0.2609,0.1304,0.1739,0.2609,0.2174,0.1739,0.2609,0.1739,0.2174,0.1739
"DBR-LR",0,0,0,0,0,0,0,0,0,0
"DBR-RF",0.2174,0.2174,0.2174,0.1739,0.2174,0.1739,0.2174,0.1739,0.2174,0.1739
"DBR-SVM",0,0,0,0,0,0,0,0,0,0
"DBR-XGB",0,0,0,0,0,0,0,0,0,0
"EBR-C5.0",0,0.0435,0,0,0.0435,0,0.0435,0,0.0435,0.0435
"EBR-LR",0.0435,0.0435,0.0435,0,0,0.0435,0,0,0.0435,0.0435
"EBR-RF",0.1304,0.1304,0.1304,0.087,0.1304,0.087,0.1304,0.1304,0.087,0.1739
"EBR-SVM",0,0,0,0,0.0435,0,0,0,0,0
"EBR-XGB",0,0,0,0,0.0435,0,0,0,0,0
"ECC-C5.0",0.0435,0.0435,0.0435,0.0435,0,0.0435,0,0.0435,0.0435,0.0435
"ECC-LR",0.0435,0,0,0,0.0435,0.0435,0,0,0.0435,0
"ECC-RF",0.1304,0.1304,0.1304,0.1304,0.1739,0.0435,0.1304,0.1304,0.1739,0.1304
"ECC-SVM",0,0,0,0,0,0,0,0,0,0
"ECC-XGB",0,0,0,0,0.0435,0,0,0,0,0.0435
"MBR-C5.0",0.3043,0.2174,0.2609,0.3043,0.2609,0.2174,0.3043,0.2609,0.2609,0.2174
"MBR-LR",0,0,0,0,0,0,0,0,0,0
"MBR-RF",0.1739,0.1304,0.2174,0.1304,0.1304,0.1739,0.2609,0.1739,0.2174,0.2174
"MBR-SVM",0,0,0,0,0,0,0,0,0,0
"MBR-XGB",0,0,0,0,0,0,0,0,0,0
"NS-C5.0",0.3043,0.1739,0.2174,0.3043,0.2174,0.2174,0.3043,0.1739,0.2609,0.2174
"NS-LR",0,0,0,0,0,0,0,0,0,0
"NS-RF",0.1739,0.2174,0.2174,0.1739,0.2174,0.1739,0.2174,0.2174,0.2174,0.1739
"NS-SVM",0,0,0,0,0,0,0,0,0,0
"NS-XGB",0,0,0,0,0.0435,0,0.0435,0,0.0435,0
"PruDent-C5.0",0.3043,0.1739,0.2174,0.3043,0.2174,0.2174,0.3043,0.2174,0.2174,0.2174
"PruDent-LR",0,0,0,0,0,0,0,0,0,0
"PruDent-RF",0.2174,0.1304,0.2609,0.1739,0.2174,0.1739,0.1739,0.1739,0.1739,0.1739
"PruDent-SVM",0,0,0,0,0,0,0,0,0,0
"PruDent-XGB",0,0,0,0,0,0,0,0,0,0
"RDBR-C5.0",0.2609,0.1304,0.1739,0.2609,0.2174,0.1739,0.2609,0.1739,0.2174,0.2174
"RDBR-LR",0,0,0,0,0,0,0,0,0,0
"RDBR-RF",0.2174,0.2609,0.2174,0.1304,0.1739,0.1739,0.2174,0.2174,0.1739,0.2174
"RDBR-SVM",0,0,0,0,0,0,0,0,0,0
"RDBR-XGB",0,0,0,0,0,0,0,0,0,0
