"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.9615,0.9615,0.9487,0.9615,0.9615,0.9615,0.9615,0.9615,0.9615,0.9615
"baseline-HL",0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872
"baseline-RL",0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872
"baseline-SA",0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872
"BR-C5.0",0.3846,0.5385,0.5897,0.4103,0.5128,0.4487,0.5513,0.5,0.4359,0.5385
"BR+-C5.0",0.5,0.5513,0.6026,0.4231,0.5513,0.5385,0.5513,0.6026,0.5385,0.5641
"CC-C5.0",0.4744,0.5897,0.641,0.4231,0.5641,0.5,0.5513,0.5256,0.4872,0.5513
"DBR-C5.0",0.5128,0.5385,0.6026,0.4615,0.5385,0.5385,0.5513,0.5897,0.5128,0.5641
"EBR-C5.0",0.2051,0.2179,0.2308,0.1795,0.2179,0.2821,0.1795,0.2692,0.2051,0.2308
"ECC-C5.0",0.2821,0.2692,0.359,0.2436,0.3077,0.2949,0.2564,0.2564,0.2179,0.2692
"MBR-C5.0",0.4103,0.5513,0.641,0.3846,0.5,0.4487,0.5385,0.4744,0.4103,0.5769
"NS-C5.0",0.4744,0.5385,0.6026,0.4359,0.5385,0.4744,0.5513,0.5,0.5,0.5385
"PruDent-C5.0",0.3846,0.5385,0.5897,0.4103,0.5128,0.4487,0.5513,0.5,0.4359,0.5385
"RDBR-C5.0",0.5769,0.5641,0.641,0.4487,0.5641,0.5769,0.5897,0.5897,0.5385,0.5769
"BR-LR",0.3205,0.3205,0.3718,0.2949,0.3205,0.359,0.3718,0.2821,0.3333,0.3974
"BR+-LR",0.3205,0.3333,0.3205,0.3205,0.3333,0.3462,0.359,0.3205,0.2949,0.2821
"CC-LR",0.3846,0.359,0.3846,0.3462,0.3205,0.3205,0.3718,0.3077,0.3077,0.2949
"DBR-LR",0.2821,0.3205,0.3333,0.2692,0.2821,0.359,0.3974,0.3077,0.3077,0.3462
"EBR-LR",0.2308,0.1923,0.3077,0.2436,0.3077,0.2051,0.2179,0.2051,0.2821,0.2436
"ECC-LR",0.2692,0.1923,0.1923,0.2308,0.2692,0.2436,0.1923,0.1667,0.2179,0.1923
"MBR-LR",0.2308,0.2179,0.1795,0.2436,0.2308,0.2179,0.1923,0.1795,0.1795,0.1923
"NS-LR",0.2821,0.3205,0.3205,0.3077,0.3462,0.359,0.3846,0.2692,0.2821,0.3077
"PruDent-LR",0.3077,0.2949,0.3333,0.3077,0.2821,0.3205,0.3077,0.3077,0.2692,0.3205
"RDBR-LR",0.3333,0.359,0.3462,0.2692,0.3462,0.3077,0.3718,0.2949,0.2692,0.3333
"BR-RF",0.5,0.5,0.5641,0.5513,0.5641,0.6026,0.5385,0.5641,0.5513,0.5513
"BR+-RF",0.5256,0.5128,0.5641,0.5513,0.5256,0.5128,0.5,0.5,0.5128,0.5128
"CC-RF",0.5641,0.5513,0.5897,0.5641,0.5385,0.5513,0.5897,0.5513,0.5641,0.5769
"DBR-RF",0.5513,0.5128,0.5769,0.5385,0.5128,0.5385,0.5385,0.5385,0.5256,0.5256
"EBR-RF",0.2692,0.2179,0.3205,0.3333,0.2436,0.2564,0.2949,0.2692,0.3077,0.2564
"ECC-RF",0.2821,0.2436,0.2436,0.2564,0.2692,0.2179,0.2949,0.2692,0.2436,0.2308
"MBR-RF",0.5128,0.5513,0.5641,0.5769,0.5256,0.5897,0.5385,0.5385,0.5513,0.5513
"NS-RF",0.5,0.5128,0.5897,0.5769,0.5641,0.5256,0.5641,0.5769,0.5513,0.5385
"PruDent-RF",0.5641,0.5769,0.5769,0.6282,0.5385,0.5641,0.5385,0.5385,0.5128,0.5128
"RDBR-RF",0.5513,0.6026,0.6026,0.5897,0.5385,0.5513,0.5385,0.5641,0.5769,0.5385
"BR-SVM",0.2821,0.3462,0.3205,0.3205,0.3333,0.3333,0.3205,0.3077,0.3077,0.3205
"BR+-SVM",0.2692,0.359,0.3205,0.2821,0.3077,0.2821,0.3205,0.3077,0.3077,0.3205
"CC-SVM",0.2821,0.359,0.3462,0.3205,0.3333,0.3333,0.2949,0.3333,0.3205,0.3205
"DBR-SVM",0.2564,0.359,0.3333,0.2821,0.3077,0.3077,0.3462,0.2949,0.3077,0.3205
"EBR-SVM",0.1282,0.2179,0.2308,0.1538,0.1667,0.141,0.2436,0.2179,0.1923,0.1026
"ECC-SVM",0.1795,0.2564,0.1538,0.141,0.2179,0.1667,0.141,0.1282,0.1154,0.2051
"MBR-SVM",0.2692,0.2692,0.3333,0.3462,0.2436,0.2949,0.2564,0.3205,0.3077,0.3205
"NS-SVM",0.2692,0.3462,0.359,0.3077,0.3333,0.2564,0.3462,0.3205,0.3205,0.3333
"PruDent-SVM",0.3077,0.3846,0.3205,0.3077,0.3333,0.3333,0.3718,0.3205,0.3333,0.359
