"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.9487,0.9489,0.9489,0.9487,0.9489,0.9487,0.9489,0.9487,0.9489,0.9487
"baseline-HL",0.9481,0.9483,0.9483,0.9481,0.9483,0.9481,0.9483,0.9481,0.9483,0.9481
"baseline-RL",0.9481,0.9483,0.9483,0.9481,0.9483,0.9481,0.9483,0.9481,0.9483,0.9481
"baseline-SA",0.9481,0.9485,0.9485,0.9481,0.9485,0.9482,0.9485,0.9481,0.9485,0.9481
"BR-C5.0",0.41,0.4199,0.4259,0.4235,0.4152,0.4174,0.4197,0.4136,0.4223,0.4274
"BR+-C5.0",0.4377,0.4349,0.4467,0.4396,0.441,0.4471,0.4412,0.4406,0.4386,0.4519
"CC-C5.0",0.4158,0.4172,0.4177,0.421,0.4033,0.4165,0.419,0.4796,0.4139,0.4273
"DBR-C5.0",0.4327,0.4328,0.4194,0.4408,0.4254,0.4365,0.4312,0.4357,0.4164,0.4354
"EBR-C5.0",0.3409,0.3365,0.334,0.3357,0.343,0.3408,0.3384,0.3321,0.3403,0.3322
"ECC-C5.0",0.3412,0.3406,0.348,0.3448,0.3453,0.3507,0.3383,0.3414,0.3402,0.3441
"MBR-C5.0",0.4104,0.4133,0.4151,0.4216,0.4063,0.414,0.4074,0.4102,0.4148,0.4219
"NS-C5.0",0.4103,0.4192,0.4229,0.4208,0.413,0.4176,0.4208,0.4145,0.4206,0.429
"PruDent-C5.0",0.41,0.4199,0.4259,0.4235,0.4152,0.4174,0.4197,0.4136,0.4223,0.4274
"RDBR-C5.0",0.4344,0.4367,0.4547,0.4393,0.4335,0.4454,0.4379,0.4337,0.4516,0.4475
"BR-LR",0.2254,0.2298,0.2285,0.2286,0.2258,0.2352,0.2312,0.224,0.2306,0.2257
"BR+-LR",0.2255,0.2298,0.2274,0.2274,0.2262,0.235,0.2316,0.225,0.2301,0.2253
"CC-LR",0.2261,0.2299,0.2295,0.2273,0.2262,0.235,0.2317,0.2257,0.2319,0.2255
"DBR-LR",0.2256,0.2297,0.2283,0.2278,0.2258,0.2348,0.2312,0.2247,0.2299,0.2255
"EBR-LR",0.2584,0.2654,0.2571,0.2606,0.2612,0.2706,0.2664,0.2557,0.272,0.2532
"ECC-LR",0.2565,0.2555,0.2634,0.2646,0.2653,0.2602,0.2629,0.2606,0.2637,0.2576
"MBR-LR",0.2246,0.2303,0.2285,0.2279,0.2255,0.2355,0.2313,0.2251,0.232,0.2258
"NS-LR",0.2262,0.2296,0.2289,0.228,0.2269,0.236,0.2318,0.2248,0.2304,0.2259
"PruDent-LR",0.2262,0.2307,0.2289,0.2285,0.2254,0.2355,0.2331,0.2261,0.2309,0.2264
"RDBR-LR",0.2268,0.2297,0.2281,0.2267,0.2256,0.235,0.23,0.2254,0.2306,0.2257
"BR-RF",0.2131,0.2164,0.2163,0.2175,0.2149,0.2219,0.2178,0.2132,0.2149,0.2144
"BR+-RF",0.2214,0.2337,0.2333,0.2244,0.2336,0.2304,0.2381,0.2247,0.2342,0.2228
"CC-RF",0.2216,0.2208,0.2199,0.2234,0.2155,0.2274,0.2247,0.2217,0.2234,0.2225
"DBR-RF",0.2149,0.2153,0.2168,0.2162,0.212,0.221,0.2186,0.2163,0.218,0.2164
"EBR-RF",0.2238,0.2267,0.223,0.2217,0.2241,0.2303,0.2269,0.2233,0.2235,0.2237
"ECC-RF",0.2297,0.2279,0.2272,0.2292,0.2254,0.2287,0.2325,0.2248,0.2296,0.2261
"MBR-RF",0.2136,0.2172,0.2161,0.216,0.2128,0.2185,0.2173,0.2142,0.2184,0.2158
"NS-RF",0.2208,0.2207,0.2191,0.2201,0.2197,0.2224,0.2248,0.2187,0.2224,0.222
"PruDent-RF",0.215,0.2168,0.2156,0.2187,0.2114,0.2191,0.2158,0.215,0.2176,0.2146
"RDBR-RF",0.2282,0.239,0.2364,0.2246,0.2389,0.2333,0.2421,0.2255,0.2391,0.2254
"BR-SVM",0.2262,0.2294,0.2281,0.2292,0.2246,0.2361,0.2314,0.2243,0.2305,0.2256
"BR+-SVM",0.2263,0.2301,0.2273,0.2272,0.2247,0.235,0.2307,0.2246,0.23,0.226
"CC-SVM",0.2264,0.2298,0.2292,0.2275,0.2262,0.2352,0.2312,0.2245,0.2312,0.2252
"DBR-SVM",0.2257,0.2289,0.2282,0.2277,0.2251,0.2344,0.2309,0.2247,0.2298,0.2257
"EBR-SVM",0.2344,0.241,0.2407,0.2299,0.2377,0.2417,0.2463,0.2314,0.2389,0.2321
"ECC-SVM",0.2336,0.2398,0.2413,0.2321,0.2432,0.2422,0.2417,0.2313,0.2477,0.2369
"MBR-SVM",0.2259,0.231,0.2294,0.2274,0.2256,0.2347,0.2318,0.2253,0.2308,0.2258
"NS-SVM",0.2249,0.2296,0.2291,0.2283,0.2254,0.2348,0.2321,0.2252,0.2307,0.2256
"PruDent-SVM",0.226,0.2303,0.2287,0.228,0.2255,0.2352,0.2306,0.2253,0.2304,0.2268
