"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.4008,0.328,0.3735,0.3557,0.3426,0.3865,0.3506,0.3785,0.3889,0.34
"baselineHL",0.4008,0.328,0.3735,0.3557,0.3426,0.3865,0.3506,0.3785,0.3889,0.34
"baselineRL",0.131,0.1,0.1044,0.1265,0.1315,0.0996,0.1355,0.0956,0.119,0.112
"baselineSA",0.6508,0.864,0.8554,0.7312,0.7331,0.8606,0.7291,0.8645,0.6627,0.848
"BR-C5.0",0.4405,0.36,0.3775,0.3913,0.3785,0.4024,0.3825,0.3865,0.4008,0.412
"BR-LR",0.1349,0.1,0.1044,0.1265,0.1315,0.0996,0.1355,0.0956,0.131,0.116
"BR-RF",0.1587,0.108,0.1365,0.1423,0.1514,0.1434,0.1474,0.1155,0.1587,0.12
"BR-SVM",0.1389,0.1,0.1044,0.1225,0.1355,0.0996,0.1355,0.0956,0.1389,0.116
"BR-SVMt",0.1389,0.1,0.1044,0.1423,0.1315,0.1076,0.1355,0.0996,0.131,0.124
"BR-XGB",0.1944,0.244,0.2851,0.2213,0.2191,0.243,0.2072,0.2311,0.2381,0.228
"BR+-C5.0",0.4167,0.42,0.3534,0.5494,0.3586,0.3506,0.5578,0.4183,0.504,0.264
"BR+-LR",0.2937,0.22,0.2691,0.2569,0.247,0.259,0.243,0.2629,0.254,0.284
"BR+-RF",0.1627,0.104,0.1365,0.1423,0.1434,0.1394,0.1514,0.1275,0.1627,0.144
"BR+-SVM",0.254,0.252,0.241,0.2767,0.2669,0.2629,0.255,0.2908,0.2976,0.276
"BR+-SVMt",0.3135,0.304,0.3695,0.5415,0.4064,0.4223,0.3865,0.4462,0.3571,0.36
"BR+-XGB",0.3056,0.296,0.3012,0.2964,0.3028,0.2749,0.2789,0.3147,0.3333,0.26
"CC-C5.0",0.5357,0.452,0.4578,0.3913,0.5259,0.2032,0.3745,0.3267,0.4286,0.204
"CC-LR",0.2421,0.22,0.261,0.253,0.2869,0.1673,0.2988,0.1315,0.2341,0.236
"CC-RF",0.1627,0.116,0.1406,0.1423,0.1474,0.1394,0.1554,0.1195,0.1587,0.128
"CC-SVM",0.2381,0.212,0.261,0.253,0.2948,0.1633,0.2829,0.2032,0.25,0.26
"CC-SVMt",0.3333,0.38,0.1807,0.3755,0.4422,0.2948,0.4502,0.2709,0.3095,0.3
"CC-XGB",0.2817,0.28,0.3092,0.2727,0.3307,0.2351,0.2908,0.3028,0.3056,0.324
"DBR-C5.0",0.4444,0.4,0.3534,0.4783,0.4143,0.3705,0.506,0.4343,0.5397,0.288
"DBR-LR",0.1746,0.224,0.2088,0.2372,0.2271,0.1873,0.2072,0.2072,0.254,0.252
"DBR-RF",0.1548,0.108,0.1406,0.1462,0.1434,0.1355,0.1514,0.1275,0.1746,0.136
"DBR-SVM",0.2103,0.208,0.2209,0.2648,0.259,0.2072,0.2231,0.2311,0.2341,0.236
"DBR-SVMt",0.2738,0.276,0.3052,0.2846,0.1952,0.239,0.3705,0.3347,0.2976,0.244
"DBR-XGB",0.2659,0.252,0.253,0.2806,0.2829,0.2151,0.243,0.2629,0.3175,0.26
"EBR-C5.0",0.2302,0.28,0.2651,0.249,0.259,0.239,0.2311,0.2869,0.2659,0.34
