"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.718,0.6979,0.7152,0.701,0.7133,0.7031,0.7162,0.7,0.7162,0.7
"baselineHL",0.5672,0.5417,0.5629,0.5464,0.56,0.5495,0.5644,0.5448,0.5644,0.5448
"baselineRL",0.5672,0.5417,0.5629,0.5464,0.56,0.5495,0.5644,0.5448,0.5644,0.5448
"baselineSA",0.718,0.6701,0.7152,0.701,0.7133,0.7031,0.7162,0.6724,0.7162,0.6724
"BR-C5.0",0.3541,0.3681,0.394,0.3814,0.3767,0.3618,0.3795,0.3552,0.4488,0.3759
"BR-LR",0.2262,0.3056,0.245,0.3093,0.2467,0.2799,0.2244,0.2793,0.2343,0.2759
"BR-RF",0.259,0.2674,0.2649,0.2887,0.25,0.2628,0.2343,0.2724,0.2541,0.2724
"BR-SVM",0.223,0.3021,0.2483,0.3058,0.2467,0.2765,0.231,0.2828,0.2376,0.2931
"BR-SVMt",0.2361,0.3056,0.2616,0.3058,0.25,0.314,0.2409,0.269,0.2673,0.2862
"BR-XGB",0.2918,0.2812,0.2649,0.3368,0.2867,0.3072,0.3234,0.2931,0.2772,0.2897
"BR+-C5.0",0.3934,0.3889,0.4603,0.4261,0.4,0.3925,0.462,0.3414,0.4884,0.3621
"BR+-LR",0.2393,0.3056,0.2517,0.3093,0.2533,0.3174,0.2508,0.2724,0.2277,0.3103
"BR+-RF",0.259,0.2917,0.255,0.2818,0.2533,0.2867,0.2376,0.2655,0.264,0.2724
"BR+-SVM",0.2262,0.3021,0.255,0.3058,0.26,0.3106,0.2475,0.2655,0.2376,0.3034
"BR+-SVMt",0.259,0.3194,0.2781,0.3058,0.2633,0.3379,0.2574,0.3034,0.264,0.3034
"BR+-XGB",0.2852,0.2639,0.2815,0.3093,0.3033,0.2833,0.2541,0.2483,0.2904,0.2724
"CC-C5.0",0.4,0.4306,0.3808,0.433,0.4267,0.413,0.3729,0.3724,0.429,0.4138
"CC-LR",0.2689,0.3021,0.2517,0.3024,0.2467,0.3276,0.2475,0.2655,0.2739,0.2966
"CC-RF",0.2656,0.2917,0.2781,0.3024,0.2667,0.2969,0.264,0.2793,0.2739,0.2862
"CC-SVM",0.2656,0.3194,0.2649,0.299,0.2667,0.3345,0.2574,0.2793,0.2673,0.3069
"CC-SVMt",0.2557,0.3194,0.2583,0.3299,0.26,0.3242,0.2541,0.2931,0.2673,0.3172
"CC-XGB",0.2984,0.2986,0.3079,0.3368,0.2967,0.3003,0.3168,0.2655,0.2937,0.2897
"DBR-C5.0",0.4328,0.3646,0.4106,0.3677,0.4367,0.3857,0.4389,0.3621,0.4719,0.3414
"DBR-LR",0.2426,0.2917,0.2483,0.3024,0.2467,0.3038,0.2508,0.2552,0.2376,0.3103
"DBR-RF",0.2623,0.2882,0.2517,0.2784,0.2533,0.2901,0.2409,0.269,0.264,0.269
