"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.9024,0.8672,0.9048,0.864,0.9048,0.864,0.904,0.8651,0.9024,0.8672
"baseline-HL",0.8537,0.8594,0.8571,0.856,0.8571,0.856,0.856,0.8571,0.8537,0.8594
"baseline-RL",0.8537,0.8594,0.8571,0.856,0.8571,0.856,0.856,0.8571,0.8537,0.8594
"baseline-SA",0.8537,0.8828,0.8571,0.856,0.8571,0.856,0.856,0.8571,0.8537,0.8594
"BR-C5.0",0.6423,0.6172,0.5238,0.6,0.5714,0.552,0.616,0.5873,0.5203,0.625
"BR+-C5.0",0.6341,0.6016,0.5556,0.64,0.5714,0.6,0.616,0.6032,0.5203,0.6172
"CC-C5.0",0.6341,0.6016,0.5238,0.616,0.5714,0.56,0.616,0.5794,0.5203,0.6016
"DBR-C5.0",0.6341,0.6094,0.5556,0.64,0.5714,0.6,0.616,0.6032,0.5203,0.625
"EBR-C5.0",0.4309,0.4141,0.3968,0.464,0.4841,0.464,0.448,0.4365,0.4715,0.4297
"ECC-C5.0",0.4228,0.4766,0.5,0.44,0.4127,0.4,0.488,0.4921,0.4715,0.4609
"MBR-C5.0",0.6585,0.6406,0.5476,0.632,0.6111,0.592,0.664,0.619,0.5772,0.6875
"NS-C5.0",0.6341,0.5859,0.5238,0.6,0.5714,0.592,0.616,0.5714,0.5285,0.6094
"PruDent-C5.0",0.6423,0.6172,0.5238,0.608,0.5714,0.552,0.616,0.5952,0.5203,0.6406
"RDBR-C5.0",0.6341,0.6016,0.5556,0.64,0.5714,0.6,0.616,0.6032,0.5203,0.6172
"BR-LR",0.3659,0.3438,0.4048,0.4,0.381,0.416,0.344,0.4286,0.3415,0.3672
"BR+-LR",0.374,0.3359,0.3651,0.408,0.3333,0.448,0.328,0.4286,0.3252,0.3125
"CC-LR",0.3496,0.3281,0.3651,0.408,0.4127,0.392,0.32,0.4286,0.3333,0.3594
"DBR-LR",0.374,0.3438,0.381,0.408,0.3333,0.416,0.312,0.3968,0.3577,0.3672
"EBR-LR",0.439,0.4297,0.4286,0.464,0.4365,0.44,0.4,0.4603,0.439,0.4531
"ECC-LR",0.439,0.4375,0.4524,0.44,0.4762,0.472,0.44,0.4921,0.4553,0.4531
"MBR-LR",0.3496,0.3438,0.3889,0.408,0.3492,0.4,0.328,0.4286,0.374,0.3672
