"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.2062,0.2165,0.2165,0.2062,0.2062,0.2165,0.24,0.1809,0.2062,0.2165
"baselineHL",0.2062,0.2165,0.2165,0.2062,0.2062,0.2165,0.24,0.1809,0.2062,0.2165
"baselineRL",0.2062,0.2165,0.2165,0.2062,0.2062,0.2165,0.24,0.1809,0.2062,0.2165
"baselineSA",0.2062,0.2165,0.2165,0.2062,0.2062,0.2165,0.24,0.1809,0.2062,0.2165
"BR-C5.0",0.2371,0.2784,0.3402,0.3505,0.2784,0.2371,0.27,0.2128,0.2371,0.2268
"BR-LR",0.2165,0.2268,0.2062,0.2062,0.1959,0.1856,0.27,0.266,0.2062,0.1753
"BR-RF",0.1856,0.1649,0.2268,0.1753,0.2062,0.2268,0.24,0.1915,0.1856,0.2062
"BR-SVM",0.2268,0.2371,0.2371,0.2371,0.2165,0.2268,0.26,0.2553,0.2371,0.1959
"BR-SVMt",0.2062,0.2474,0.2268,0.1753,0.1856,0.1959,0.24,0.1915,0.1856,0.2165
"BR-XGB",0.2474,0.2165,0.2371,0.2165,0.2371,0.2062,0.22,0.2021,0.2577,0.1959
"BR+-C5.0",0.2165,0.2784,0.2784,0.268,0.2784,0.268,0.27,0.234,0.268,0.2577
"BR+-LR",0.2371,0.1856,0.2268,0.2474,0.2268,0.2268,0.23,0.2128,0.1753,0.1753
"BR+-RF",0.1959,0.1753,0.2268,0.2165,0.2371,0.2268,0.21,0.2021,0.1959,0.2165
"BR+-SVM",0.2577,0.1546,0.2268,0.2371,0.1856,0.2062,0.26,0.2872,0.1959,0.2062
"BR+-SVMt",0.2268,0.1546,0.2474,0.3093,0.2577,0.268,0.23,0.266,0.299,0.2165
"BR+-XGB",0.2474,0.2577,0.2474,0.1856,0.2474,0.2474,0.17,0.2766,0.2268,0.2371
"CC-C5.0",0.3093,0.2577,0.268,0.2165,0.2474,0.268,0.27,0.1702,0.299,0.2577
"CC-LR",0.2784,0.1546,0.2371,0.2474,0.2784,0.2371,0.26,0.266,0.2062,0.1753
"CC-RF",0.2062,0.1649,0.2268,0.1959,0.2062,0.2268,0.2,0.2234,0.1856,0.2062
"CC-SVM",0.2887,0.1753,0.2784,0.2371,0.2577,0.2165,0.28,0.2447,0.268,0.1959
"CC-SVMt",0.2784,0.1959,0.2062,0.2062,0.2371,0.1856,0.22,0.3191,0.2887,0.1959
"CC-XGB",0.268,0.1856,0.2268,0.2165,0.2474,0.2577,0.28,0.2234,0.2268,0.2371
"DBR-C5.0",0.1856,0.268,0.2371,0.2062,0.2784,0.268,0.28,0.2234,0.2887,0.3093
"DBR-LR",0.268,0.1856,0.2268,0.1856,0.1856,0.2165,0.26,0.2234,0.2371,0.2165
"DBR-RF",0.1959,0.1649,0.2371,0.2062,0.1959,0.2268,0.22,0.1702,0.1649,0.2268
"DBR-SVM",0.2887,0.1649,0.2268,0.2474,0.2062,0.1959,0.3,0.2979,0.1959,0.1959
