"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.7952,0.7958,0.7948,0.7962,0.7952,0.7958,0.7966,0.7944,0.7966,0.7944
"baseline-HL",0.7103,0.7097,0.7097,0.7103,0.7103,0.7097,0.7123,0.7077,0.7109,0.7091
"baseline-RL",0.7103,0.7097,0.7097,0.7103,0.7103,0.7097,0.7123,0.7077,0.7109,0.7091
"baseline-SA",0.7203,0.7197,0.7197,0.7203,0.7203,0.7197,0.7222,0.7177,0.7208,0.7192
"BR-C5.0",0.4086,0.3634,0.3754,0.4126,0.4146,0.3984,0.4127,0.3962,0.3998,0.4243
"BR+-C5.0",0.4575,0.4244,0.4134,0.4525,0.4246,0.4434,0.4087,0.4385,0.4068,0.4363
"CC-C5.0",0.4406,0.4254,0.4264,0.4515,0.4356,0.4464,0.4216,0.4556,0.4417,0.4684
"DBR-C5.0",0.4625,0.4144,0.4244,0.4406,0.4545,0.4444,0.4335,0.4556,0.4347,0.4704
"EBR-C5.0",0.3027,0.3083,0.2993,0.3227,0.3247,0.3373,0.3065,0.3065,0.3031,0.319
"ECC-C5.0",0.3267,0.3113,0.3203,0.3506,0.3327,0.3313,0.3056,0.3266,0.3151,0.329
"MBR-C5.0",0.4645,0.4074,0.3884,0.4446,0.4555,0.4464,0.4524,0.4284,0.4586,0.4935
"NS-C5.0",0.4196,0.4134,0.4324,0.4486,0.4466,0.4424,0.4375,0.4113,0.4207,0.4263
"PruDent-C5.0",0.4076,0.3814,0.3904,0.4096,0.4086,0.3934,0.4187,0.4143,0.4068,0.4102
"RDBR-C5.0",0.4625,0.4374,0.4204,0.4456,0.4276,0.4374,0.4167,0.4577,0.3908,0.4453
"BR-LR",0.2597,0.2553,0.2643,0.2607,0.2687,0.2643,0.2421,0.2591,0.2582,0.2698
"BR+-LR",0.2637,0.2513,0.2603,0.2627,0.2697,0.2683,0.2421,0.2621,0.2562,0.2668
"CC-LR",0.2657,0.2583,0.2723,0.2557,0.2717,0.2713,0.248,0.2621,0.2552,0.2698
"DBR-LR",0.2637,0.2533,0.2623,0.2617,0.2727,0.2683,0.2401,0.2631,0.2612,0.2688
"EBR-LR",0.2707,0.2673,0.2713,0.2587,0.2777,0.2723,0.2669,0.2661,0.2612,0.2839
"ECC-LR",0.2657,0.2613,0.2643,0.2687,0.2727,0.2653,0.249,0.2611,0.2483,0.2728
"MBR-LR",0.2617,0.2533,0.2643,0.2627,0.2717,0.2663,0.2391,0.2611,0.2552,0.2678
"NS-LR",0.2617,0.2563,0.2633,0.2577,0.2687,0.2643,0.2381,0.2581,0.2562,0.2668
"PruDent-LR",0.2707,0.2623,0.2753,0.2707,0.2767,0.2743,0.251,0.2621,0.2632,0.2748
"RDBR-LR",0.2647,0.2482,0.2573,0.2637,0.2697,0.2653,0.247,0.2601,0.2592,0.2678
"BR-RF",0.2378,0.2422,0.2472,0.2338,0.2547,0.2543,0.2401,0.248,0.2453,0.2538
"BR+-RF",0.2527,0.2412,0.2492,0.2398,0.2567,0.2432,0.244,0.245,0.2403,0.2608
"CC-RF",0.2438,0.2422,0.2432,0.2428,0.2567,0.2472,0.247,0.251,0.2353,0.2598
"DBR-RF",0.2478,0.2402,0.2503,0.2358,0.2577,0.2553,0.2361,0.247,0.2463,0.2548
"EBR-RF",0.2577,0.2643,0.2563,0.2458,0.2547,0.2412,0.246,0.251,0.2363,0.2668
"ECC-RF",0.2557,0.2603,0.2543,0.2517,0.2627,0.2523,0.253,0.252,0.2393,0.2618
"MBR-RF",0.2478,0.2503,0.2523,0.2338,0.2527,0.2563,0.245,0.245,0.2403,0.2548
"NS-RF",0.2438,0.2422,0.2432,0.2428,0.2567,0.2472,0.247,0.251,0.2353,0.2598
"PruDent-RF",0.2408,0.2422,0.2523,0.2398,0.2517,0.2513,0.2341,0.248,0.2373,0.2628
