"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.898,0.8998,0.9005,0.8973,0.8998,0.898,0.9,0.8978,0.8977,0.9002
"baseline-HL",0.8562,0.8581,0.859,0.8552,0.8581,0.8562,0.8583,0.8559,0.8557,0.8586
"baseline-RL",0.8562,0.8581,0.859,0.8552,0.8581,0.8562,0.8583,0.8559,0.8557,0.8586
"baseline-SA",0.8562,0.8581,0.859,0.8552,0.8581,0.8562,0.8583,0.8559,0.8557,0.8586
"BR-C5.0",0.7475,0.7112,0.7479,0.7609,0.7379,0.7458,0.7417,0.7873,0.7248,0.7338
"BR+-C5.0",0.7542,0.7312,0.7711,0.7441,0.7462,0.7642,0.745,0.7755,0.7232,0.7554
"CC-C5.0",0.7676,0.7262,0.7496,0.7492,0.7446,0.7508,0.7433,0.7722,0.7399,0.7454
"DBR-C5.0",0.7492,0.7312,0.7761,0.7441,0.7446,0.7592,0.745,0.7772,0.7265,0.7571
"EBR-C5.0",0.7191,0.6828,0.6816,0.7189,0.7062,0.704,0.7067,0.7152,0.6795,0.7022
"ECC-C5.0",0.6973,0.6878,0.7065,0.7155,0.7279,0.694,0.7333,0.6935,0.6913,0.6938
"MBR-C5.0",0.7408,0.7362,0.7745,0.7845,0.7496,0.7542,0.7633,0.8224,0.75,0.7571
"NS-C5.0",0.7642,0.7145,0.7529,0.7508,0.7429,0.7341,0.7383,0.7772,0.7215,0.7321
"PruDent-C5.0",0.7475,0.7112,0.7479,0.7609,0.7379,0.7458,0.7417,0.7873,0.7248,0.7338
"RDBR-C5.0",0.7492,0.7312,0.7778,0.7407,0.7496,0.7659,0.7467,0.7755,0.7198,0.7537
"BR-LR",0.6823,0.6711,0.675,0.6751,0.6761,0.6789,0.675,0.6734,0.6611,0.6672
"BR+-LR",0.6706,0.6745,0.675,0.6751,0.6845,0.6739,0.675,0.6767,0.6728,0.6755
"CC-LR",0.6856,0.6778,0.6866,0.67,0.6694,0.6806,0.675,0.6817,0.6628,0.6705
"DBR-LR",0.6823,0.6811,0.6766,0.6684,0.6778,0.6789,0.67,0.675,0.6594,0.6739
"EBR-LR",0.714,0.7145,0.6915,0.6785,0.6978,0.6823,0.7067,0.6918,0.6896,0.7038
"ECC-LR",0.699,0.7179,0.6998,0.6818,0.6995,0.7023,0.7067,0.7035,0.693,0.7138
"MBR-LR",0.6806,0.6778,0.6733,0.6785,0.6761,0.6839,0.6667,0.6918,0.656,0.6639
"NS-LR",0.6823,0.6761,0.6683,0.6734,0.6795,0.6773,0.67,0.6801,0.6628,0.6772
"PruDent-LR",0.6873,0.6661,0.6833,0.6734,0.6728,0.6706,0.67,0.6801,0.6594,0.6672
"RDBR-LR",0.6739,0.6711,0.6766,0.6785,0.6761,0.6706,0.6683,0.6667,0.6661,0.6622
