"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.7164,0.7229,0.7218,0.7176,0.7176,0.7218,0.7241,0.7152,0.7223,0.717
"baseline-HL",0.7164,0.7229,0.7218,0.7176,0.7176,0.7218,0.7241,0.7152,0.7223,0.717
"baseline-RL",0.7164,0.7229,0.7218,0.7176,0.7176,0.7218,0.7241,0.7152,0.7223,0.717
"baseline-SA",0.7164,0.7229,0.7218,0.7176,0.7176,0.7218,0.7241,0.7152,0.7223,0.717
"BR-C5.0",0.1962,0.1458,0.1757,0.1656,0.1932,0.1485,0.1867,0.1692,0.1712,0.166
"BR+-C5.0",0.2154,0.1438,0.1757,0.1614,0.1911,0.1506,0.1639,0.1649,0.1795,0.1574
"CC-C5.0",0.1919,0.1375,0.1715,0.1635,0.1975,0.1653,0.1722,0.1413,0.1816,0.1489
"DBR-C5.0",0.2132,0.1458,0.1736,0.1656,0.189,0.1527,0.168,0.182,0.1837,0.1723
"EBR-C5.0",0.1557,0.1458,0.1653,0.1486,0.1507,0.1318,0.1183,0.1499,0.1503,0.1638
"ECC-C5.0",0.1663,0.1312,0.1715,0.1571,0.1741,0.1423,0.1349,0.1478,0.1503,0.1468
"MBR-C5.0",0.2004,0.1625,0.182,0.1571,0.1953,0.1695,0.1784,0.1627,0.1587,0.166
"NS-C5.0",0.2004,0.1479,0.1778,0.1656,0.1953,0.1485,0.1743,0.1413,0.1754,0.1468
"PruDent-C5.0",0.1962,0.1458,0.1757,0.1656,0.1932,0.1485,0.1867,0.1692,0.1712,0.166
"RDBR-C5.0",0.2132,0.1417,0.1778,0.1614,0.1911,0.1506,0.1639,0.1649,0.1775,0.1574
"BR-LR",0.1301,0.1542,0.136,0.1571,0.1507,0.1402,0.139,0.1285,0.1273,0.1489
"BR+-LR",0.1279,0.1479,0.1402,0.1592,0.1507,0.1402,0.1349,0.1328,0.1294,0.1468
"CC-LR",0.1365,0.1542,0.1339,0.1592,0.1507,0.1485,0.1328,0.1413,0.1315,0.1511
"DBR-LR",0.1301,0.1479,0.1381,0.155,0.1423,0.1381,0.1328,0.1328,0.1273,0.1489
"EBR-LR",0.1855,0.1833,0.1862,0.1805,0.1932,0.205,0.2137,0.2313,0.3152,0.2596
"ECC-LR",0.1855,0.1729,0.2699,0.1783,0.1826,0.1715,0.1867,0.2099,0.2025,0.2064
"MBR-LR",0.1279,0.1438,0.1381,0.155,0.138,0.1444,0.139,0.1349,0.1294,0.1489
"NS-LR",0.1322,0.1521,0.1297,0.1571,0.1444,0.1402,0.1349,0.1349,0.1315,0.1426
"PruDent-LR",0.1365,0.1521,0.1318,0.1635,0.1444,0.1506,0.1349,0.1413,0.1378,0.1596
"RDBR-LR",0.1386,0.1479,0.1423,0.155,0.1444,0.1381,0.1369,0.1413,0.1378,0.1426
"BR-RF",0.1855,0.1896,0.2029,0.1741,0.1741,0.1946,0.1909,0.1842,0.2046,0.1553
"BR+-RF",0.1876,0.2,0.1946,0.1911,0.1847,0.205,0.1846,0.1884,0.2129,0.166
"CC-RF",0.1791,0.1854,0.2029,0.1762,0.1783,0.1715,0.1826,0.1606,0.1879,0.1617
"DBR-RF",0.1919,0.2021,0.2029,0.1826,0.1783,0.1967,0.1867,0.1906,0.215,0.1617
"EBR-RF",0.1898,0.2188,0.2176,0.1953,0.1911,0.2134,0.2365,0.1799,0.2046,0.1723
"ECC-RF",0.1855,0.2292,0.2197,0.2017,0.189,0.2134,0.2324,0.1906,0.2025,0.1787
"MBR-RF",0.1812,0.1688,0.1987,0.1953,0.1847,0.1904,0.1763,0.1756,0.1962,0.1638
"NS-RF",0.1834,0.1729,0.2029,0.1699,0.1847,0.1883,0.1992,0.167,0.1983,0.1574
"PruDent-RF",0.1706,0.1833,0.1904,0.172,0.1762,0.182,0.1846,0.1756,0.1962,0.1596
"RDBR-RF",0.1834,0.1896,0.1946,0.1911,0.1826,0.1946,0.1846,0.182,0.2046,0.1702
"BR-SVM",0.1322,0.1458,0.1318,0.1529,0.1465,0.1381,0.1286,0.1328,0.1315,0.1489
"BR+-SVM",0.1343,0.15,0.136,0.155,0.1444,0.1381,0.1349,0.137,0.1315,0.1511
