"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.8451,0.8433,0.8464,0.842,0.844,0.8444,0.8424,0.8459,0.8451,0.8433
"baseline-HL",0.7526,0.7497,0.7546,0.7476,0.7509,0.7514,0.7483,0.7539,0.7526,0.7497
"baseline-RL",0.7526,0.7497,0.7546,0.7476,0.7509,0.7514,0.7483,0.7539,0.7526,0.7497
"baseline-SA",0.7759,0.7732,0.7777,0.7713,0.7743,0.7748,0.772,0.7771,0.7759,0.7732
"BR-C5.0",0.7327,0.758,0.7566,0.7594,0.7267,0.7321,0.7238,0.7676,0.7375,0.7455
"BR+-C5.0",0.756,0.7774,0.7825,0.7706,0.7674,0.7638,0.7601,0.7532,0.7807,0.7614
"CC-C5.0",0.767,0.7684,0.7723,0.7503,0.7509,0.7486,0.7552,0.7546,0.7485,0.7628
"DBR-C5.0",0.7581,0.7732,0.7655,0.7741,0.7467,0.759,0.7531,0.7689,0.7663,0.749
"EBR-C5.0",0.7019,0.6831,0.7043,0.6797,0.6825,0.6749,0.6729,0.6885,0.682,0.6519
"ECC-C5.0",0.6964,0.6755,0.7043,0.6811,0.6881,0.7004,0.6883,0.6871,0.6799,0.6928
"MBR-C5.0",0.7519,0.7531,0.7627,0.7734,0.7295,0.772,0.7469,0.7771,0.769,0.7393
"NS-C5.0",0.7546,0.7531,0.7655,0.7084,0.7419,0.7245,0.7371,0.7205,0.73,0.733
"PruDent-C5.0",0.7347,0.7406,0.7607,0.7413,0.7115,0.7307,0.7134,0.7621,0.7272,0.7302
"RDBR-C5.0",0.7505,0.7594,0.7607,0.758,0.7474,0.7493,0.7371,0.7655,0.7738,0.7573
"BR-LR",0.6073,0.5811,0.6077,0.5965,0.5839,0.6109,0.5934,0.6053,0.6045,0.595
"BR+-LR",0.6011,0.5964,0.5962,0.6035,0.5956,0.6054,0.6046,0.6053,0.6004,0.6082
"CC-LR",0.6038,0.5881,0.5942,0.6049,0.5873,0.5978,0.5934,0.5896,0.6018,0.5964
"DBR-LR",0.6141,0.5867,0.601,0.6042,0.5942,0.6129,0.6046,0.6053,0.608,0.6033
"EBR-LR",0.6237,0.6075,0.6132,0.6028,0.6094,0.6219,0.6046,0.6135,0.6141,0.6054
"ECC-LR",0.6093,0.6137,0.6186,0.5958,0.5901,0.6143,0.606,0.6155,0.6121,0.6117
"MBR-LR",0.5977,0.5874,0.5955,0.5972,0.5811,0.6102,0.5976,0.604,0.6025,0.5964
"NS-LR",0.599,0.5908,0.6003,0.6014,0.5776,0.6088,0.5921,0.5965,0.7409,0.595
"PruDent-LR",0.5997,0.5895,0.6016,0.6,0.5783,0.6047,0.59,0.6033,0.6032,0.586
"RDBR-LR",0.5977,0.586,0.6044,0.5986,0.5804,0.6012,0.6011,0.5992,0.6045,0.611
"BR-RF",0.6292,0.6054,0.6383,0.6112,0.6142,0.6281,0.6248,0.6353,0.6333,0.6207
"BR+-RF",0.6313,0.6172,0.6567,0.6203,0.6294,0.6453,0.6283,0.638,0.6504,0.6442
