"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.8221,0.8231,0.8221,0.8231,0.8221,0.8231,0.8221,0.8231,0.8221,0.8231
"baselineHL",0.7781,0.7791,0.7781,0.7791,0.7781,0.7791,0.7781,0.7791,0.7781,0.7791
"baselineRL",0.7781,0.7791,0.7781,0.7791,0.7781,0.7791,0.7781,0.7791,0.7781,0.7791
"baselineSA",0.7781,0.8214,0.7781,0.8214,0.7781,0.8214,0.7781,0.8214,0.7781,0.8214
"BR-C5.0",0.3475,0.3455,0.3475,0.3455,0.3475,0.3455,0.3475,0.3455,0.3475,0.3455
"BR-LR",0.192,0.186,0.192,0.1877,0.1904,0.1852,0.1912,0.1869,0.1912,0.1852
"BR-RF",0.1845,0.196,0.1845,0.196,0.1845,0.196,0.1845,0.196,0.1845,0.196
"BR-SVM",0.192,0.186,0.192,0.186,0.192,0.186,0.192,0.186,0.192,0.186
"BR-SVMt",0.1887,0.1877,0.1887,0.1877,0.1887,0.1877,0.1887,0.1877,0.1887,0.1877
"BR-XGB",0.1987,0.1877,0.1987,0.1877,0.1987,0.1877,0.1987,0.1877,0.1987,0.1877
"BR+-C5.0",0.35,0.3895,0.35,0.3895,0.35,0.3895,0.35,0.3895,0.35,0.3895
"BR+-LR",0.1929,0.1827,0.1929,0.1827,0.1929,0.1827,0.1912,0.1852,0.1937,0.1827
"BR+-RF",0.1912,0.1919,0.1912,0.1919,0.1912,0.1919,0.1912,0.1919,0.1912,0.1919
"BR+-SVM",0.1937,0.1836,0.1937,0.1836,0.1937,0.1836,0.1937,0.1836,0.1937,0.1836
"BR+-SVMt",0.1879,0.1919,0.1879,0.1919,0.1804,0.1919,0.1879,0.1819,0.1879,0.1819
"BR+-XGB",0.2053,0.2027,0.2053,0.2027,0.2053,0.2027,0.2053,0.2027,0.2053,0.2027
"CC-C5.0",0.3392,0.397,0.3392,0.397,0.3392,0.397,0.3392,0.397,0.3392,0.397
"CC-LR",0.1929,0.1836,0.1895,0.1811,0.1937,0.1827,0.1895,0.1819,0.1912,0.1819
"CC-RF",0.192,0.1919,0.192,0.1919,0.192,0.1919,0.192,0.1919,0.192,0.1919
"CC-SVM",0.192,0.1819,0.192,0.1819,0.192,0.1819,0.192,0.1819,0.192,0.1819
"CC-SVMt",0.1879,0.1802,0.1879,0.1802,0.1879,0.1802,0.1879,0.1802,0.1879,0.1802
"CC-XGB",0.2086,0.2176,0.2086,0.2176,0.2086,0.2176,0.2086,0.2176,0.2086,0.2176
"DBR-C5.0",0.3682,0.3929,0.3682,0.3929,0.3682,0.3929,0.3682,0.3929,0.3682,0.3929
"DBR-LR",0.1945,0.186,0.1929,0.1852,0.1929,0.1836,0.192,0.1869,0.1945,0.186
"DBR-RF",0.1854,0.1968,0.1854,0.1968,0.1854,0.1968,0.1854,0.1968,0.1854,0.1968
"DBR-SVM",0.1937,0.186,0.1937,0.186,0.1937,0.186,0.1937,0.186,0.1937,0.186
"DBR-SVMt",0.1895,0.1877,0.1787,0.191,0.1895,0.1877,0.1787,0.1877,0.1787,0.191
"DBR-XGB",0.1962,0.1877,0.1962,0.1877,0.1962,0.1877,0.1962,0.1877,0.1962,0.1877
"EBR-C5.0",0.2552,0.2525,0.2552,0.2525,0.2552,0.2525,0.2552,0.2525,0.2552,0.2525
"EBR-LR",0.2012,0.206,0.2012,0.1968,0.1953,0.2035,0.2095,0.2027,0.2086,0.1944
"EBR-RF",0.1929,0.2018,0.1929,0.2018,0.1929,0.2018,0.1929,0.2018,0.1929,0.2018
"EBR-SVM",0.2053,0.1919,0.2053,0.1919,0.2053,0.1919,0.2053,0.1919,0.2053,0.1919
"EBR-SVMt",0.1953,0.1977,0.1962,0.186,0.1929,0.1869,0.202,0.1869,0.1962,0.1811
"EBR-XGB",0.1862,0.186,0.1862,0.186,0.1862,0.186,0.1862,0.186,0.1862,0.186
"ECC-C5.0",0.2693,0.2724,0.2693,0.2724,0.2693,0.2724,0.2693,0.2724,0.2693,0.2724
"ECC-LR",0.2003,0.201,0.2028,0.1844,0.202,0.1985,0.202,0.1919,0.2062,0.2027
"ECC-RF",0.202,0.201,0.202,0.201,0.202,0.201,0.202,0.201,0.202,0.201
"ECC-SVM",0.197,0.1894,0.197,0.1894,0.197,0.1894,0.197,0.1894,0.197,0.1894
"ECC-SVMt",0.1929,0.1877,0.187,0.1877,0.187,0.1977,0.1912,0.2068,0.1904,0.2093
