"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.8467,0.8487,0.849,0.8464,0.8473,0.8481,0.8489,0.8465,0.8483,0.8471
"baseline-HL",0.8446,0.8461,0.8464,0.8443,0.8452,0.8455,0.8463,0.8443,0.8457,0.845
"baseline-RL",0.8446,0.8461,0.8464,0.8443,0.8452,0.8455,0.8463,0.8443,0.8457,0.845
"baseline-SA",0.8446,0.8461,0.8464,0.8443,0.8452,0.8455,0.8463,0.8443,0.8457,0.845
"BR-C5.0",0.5769,0.5741,0.566,0.5824,0.5578,0.5704,0.5695,0.5762,0.5777,0.5759
"BR+-C5.0",0.5758,0.5756,0.5744,0.5744,0.5604,0.5836,0.5989,0.5762,0.5877,0.578
"CC-C5.0",0.5689,0.5825,0.566,0.5749,0.561,0.5783,0.5726,0.5704,0.5798,0.5658
"DBR-C5.0",0.5817,0.5783,0.576,0.5861,0.5647,0.5794,0.5853,0.5853,0.5899,0.5812
"EBR-C5.0",0.545,0.5683,0.566,0.5488,0.5445,0.5725,0.5679,0.5416,0.5455,0.5626
"ECC-C5.0",0.5572,0.5277,0.5565,0.5397,0.5424,0.563,0.5611,0.5517,0.5603,0.5547
"MBR-C5.0",0.5764,0.5751,0.5702,0.5819,0.5567,0.5746,0.57,0.5794,0.5735,0.5701
"NS-C5.0",0.5769,0.582,0.5571,0.5819,0.5578,0.564,0.5689,0.572,0.5793,0.5743
"PruDent-C5.0",0.5769,0.5741,0.566,0.5824,0.5578,0.5704,0.5695,0.5762,0.5777,0.5759
"RDBR-C5.0",0.5748,0.5772,0.5755,0.5733,0.5536,0.581,0.6005,0.5752,0.584,0.5812
"BR-LR",0.3832,0.3948,0.4114,0.3909,0.3818,0.4143,0.4063,0.3801,0.4001,0.3901
"BR+-LR",0.388,0.3901,0.4108,0.3963,0.3934,0.4106,0.4084,0.3865,0.4017,0.3928
"CC-LR",0.421,0.3938,0.4103,0.4155,0.4168,0.4159,0.4084,0.4211,0.399,0.4188
"DBR-LR",0.3832,0.3933,0.414,0.3899,0.3881,0.4159,0.4005,0.3779,0.4017,0.3885
"EBR-LR",0.4215,0.4117,0.4135,0.4277,0.4321,0.4132,0.4179,0.4078,0.416,0.4183
