"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.8795,0.8834,0.8827,0.8803,0.883,0.88,0.8834,0.8795,0.8804,0.8826
"baseline-HL",0.734,0.7399,0.7383,0.7357,0.7389,0.735,0.7399,0.734,0.736,0.7379
"baseline-RL",0.734,0.7399,0.7383,0.7357,0.7389,0.735,0.7399,0.734,0.736,0.7379
"baseline-SA",0.734,0.7399,0.7383,0.7357,0.7389,0.735,0.7399,0.734,0.736,0.7379
"BR-C5.0",0.5282,0.5411,0.5432,0.5611,0.5111,0.5512,0.5153,0.5496,0.5592,0.529
"BR+-C5.0",0.5709,0.5252,0.5457,0.5723,0.5665,0.5625,0.519,0.5935,0.5604,0.5538
"CC-C5.0",0.537,0.519,0.5531,0.5486,0.5357,0.5512,0.5141,0.5383,0.5455,0.5711
"DBR-C5.0",0.5583,0.535,0.5481,0.581,0.5665,0.5625,0.5202,0.5922,0.5716,0.5538
"EBR-C5.0",0.4755,0.4687,0.4802,0.5287,0.4815,0.4975,0.492,0.5069,0.5156,0.4883
"ECC-C5.0",0.4868,0.4724,0.4778,0.5274,0.4988,0.4962,0.4798,0.522,0.5106,0.5105
"MBR-C5.0",0.5609,0.5546,0.5617,0.5574,0.532,0.5462,0.5534,0.5533,0.5629,0.5464
"NS-C5.0",0.5282,0.5423,0.521,0.5561,0.5086,0.5575,0.5104,0.5558,0.5517,0.5389
"PruDent-C5.0",0.5282,0.5411,0.5432,0.5611,0.5111,0.5512,0.5153,0.5496,0.5592,0.529
"RDBR-C5.0",0.5621,0.519,0.5457,0.5661,0.5677,0.5675,0.5239,0.596,0.5666,0.555
"BR-LR",0.522,0.5325,0.5173,0.5499,0.5369,0.5262,0.5202,0.532,0.5193,0.5142
"BR+-LR",0.5144,0.5178,0.4951,0.5349,0.5209,0.5138,0.5092,0.5157,0.5106,0.5093
"CC-LR",0.5232,0.535,0.4938,0.5511,0.5283,0.5125,0.5202,0.5144,0.5056,0.5117
"DBR-LR",0.5207,0.5288,0.4988,0.5399,0.5234,0.5188,0.5117,0.5119,0.5081,0.5105
"EBR-LR",0.5621,0.5693,0.5667,0.5786,0.5874,0.5788,0.6098,0.5885,0.5716,0.5859
"ECC-LR",0.5834,0.5571,0.5309,0.5661,0.5493,0.535,0.584,0.5684,0.5604,0.5476
