"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.4123,0.4102,0.412,0.4105,0.4114,0.4112,0.4121,0.4104,0.4096,0.4129
"baselineHL",0.4123,0.4102,0.412,0.4105,0.4114,0.4112,0.4121,0.4104,0.4096,0.4129
"baselineRL",0.4123,0.4102,0.412,0.4105,0.4114,0.4112,0.4121,0.4104,0.4096,0.4129
"baselineSA",0.4123,0.4102,0.412,0.4105,0.4114,0.4112,0.4121,0.4104,0.4096,0.4129
"BR-C5.0",0.2568,0.2443,0.266,0.2588,0.2532,0.2574,0.2612,0.2704,0.2536,0.2621
"BR-LR",0.2588,0.25,0.2458,0.2592,0.2574,0.2596,0.2541,0.2622,0.2427,0.2586
"BR-RF",0.1746,0.1601,0.1693,0.1645,0.1593,0.1669,0.1623,0.1688,0.1607,0.1726
"BR-SVM",0.2579,0.2486,0.2451,0.2575,0.258,0.2578,0.2565,0.2604,0.2425,0.2579
"BR-SVMt",0.1594,0.1549,0.1632,0.1535,0.1545,0.1651,0.1628,0.166,0.1527,0.1676
"BR-XGB",0.1663,0.1646,0.1712,0.1794,0.1712,0.1727,0.1697,0.1749,0.1631,0.1637
"BR+-C5.0",0.2914,0.2818,0.3038,0.2818,0.2893,0.2895,0.2854,0.2925,0.2754,0.2913
"BR+-LR",0.2846,0.2694,0.2764,0.2844,0.2724,0.2902,0.2713,0.2864,0.2622,0.2815
"BR+-RF",0.1761,0.1631,0.1727,0.1675,0.1675,0.1695,0.173,0.1694,0.1655,0.1739
"BR+-SVM",0.284,0.2694,0.2755,0.2839,0.2747,0.2815,0.2725,0.283,0.264,0.2812
"BR+-SVMt",0.1726,0.1631,0.1725,0.1697,0.1684,0.1814,0.1641,0.1729,0.161,0.1693
"BR+-XGB",0.1813,0.1782,0.1712,0.1795,0.1771,0.1832,0.1845,0.189,0.1722,0.1794
"CC-C5.0",0.2946,0.3114,0.3122,0.3041,0.3086,0.2786,0.3067,0.2856,0.2943,0.2875
"CC-LR",0.3024,0.2892,0.2944,0.3058,0.3014,0.2964,0.2956,0.3014,0.2849,0.303
"CC-RF",0.1689,0.1559,0.1691,0.1576,0.1573,0.1621,0.1648,0.1617,0.1588,0.1659
"CC-SVM",0.3024,0.2905,0.2905,0.3039,0.3003,0.296,0.2951,0.3018,0.2821,0.3037
"CC-SVMt",0.1785,0.177,0.1777,0.1701,0.1797,0.1929,0.1691,0.1846,0.1703,0.1842
"CC-XGB",0.1839,0.1835,0.183,0.1911,0.1849,0.1858,0.191,0.1837,0.1748,0.1885
"DBR-C5.0",0.2907,0.2762,0.3009,0.28,0.301,0.2951,0.2895,0.2932,0.2845,0.2886
"DBR-LR",0.2859,0.2775,0.2801,0.2948,0.286,0.2838,0.2797,0.2917,0.2705,0.2925
"DBR-RF",0.1764,0.1648,0.1723,0.1673,0.1686,0.1714,0.1726,0.1714,0.1662,0.1757
"DBR-SVM",0.2862,0.2783,0.2795,0.2943,0.2847,0.2856,0.2815,0.2917,0.27,0.2928
"DBR-SVMt",0.1611,0.1609,0.1702,0.1626,0.1628,0.1751,0.1584,0.1695,0.1569,0.1683
"DBR-XGB",0.1705,0.1666,0.1639,0.1703,0.1678,0.1652,0.1739,0.1798,0.1705,0.1617
"EBR-C5.0",0.209,0.1991,0.2117,0.2013,0.2025,0.2081,0.2056,0.2098,0.2027,0.21
