"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.5032,0.5029,0.5028,0.5034,0.5028,0.5033,0.5028,0.5034,0.5028,0.5034
"baselineHL",0.5019,0.5017,0.5016,0.502,0.5016,0.502,0.5016,0.502,0.5016,0.502
"baselineRL",0.5053,0.5044,0.5044,0.5053,0.5043,0.5055,0.5043,0.5054,0.5043,0.5054
"baselineSA",0.5019,0.5017,0.5016,0.502,0.5016,0.5019,0.5016,0.502,0.5016,0.502
"BR-C5.0",0.1655,0.1612,0.1661,0.1714,0.1589,0.1633,0.1625,0.1623,0.165,0.1614
"BR-LR",0.0445,0.0459,0.0453,0.0457,0.0452,0.0456,0.0462,0.0452,0.0455,0.0457
"BR-RF",0.0376,0.0376,0.0372,0.0381,0.0369,0.0393,0.0382,0.0371,0.0374,0.0367
"BR-SVM",0.0446,0.0458,0.0453,0.0457,0.0451,0.0457,0.0463,0.0453,0.0455,0.0458
"BR-XGB",0.0457,0.0468,0.0462,0.0462,0.046,0.047,0.0478,0.0466,0.0463,0.0461
"BR+-C5.0",0.2095,0.204,0.186,0.2115,0.209,0.2205,0.2079,0.2178,0.1831,0.2244
"BR+-LR",0.0449,0.0461,0.0456,0.0457,0.0456,0.0459,0.0469,0.0458,0.046,0.046
"BR+-RF",0.0409,0.0413,0.0409,0.0402,0.0403,0.0424,0.0431,0.0391,0.0411,0.0385
"BR+-SVM",0.0451,0.0459,0.0454,0.0458,0.0457,0.046,0.0468,0.0455,0.046,0.0459
"BR+-XGB",0.0832,0.0704,0.0683,0.0796,0.0706,0.0835,0.0688,0.081,0.0691,0.0808
"CC-C5.0",0.1723,0.1704,0.1702,0.1735,0.1626,0.1675,0.1693,0.1804,0.1694,0.1693
"CC-LR",0.0446,0.0456,0.0451,0.0455,0.045,0.0455,0.046,0.0452,0.0454,0.0457
"CC-RF",0.0383,0.0369,0.0373,0.0382,0.0367,0.0401,0.0392,0.0371,0.0379,0.0377
"CC-SVM",0.0447,0.0456,0.0452,0.0455,0.045,0.0455,0.0461,0.0451,0.0454,0.0455
"CC-XGB",0.069,0.0651,0.0648,0.0693,0.0653,0.0687,0.067,0.07,0.0649,0.0693
"DBR-C5.0",0.2145,0.2129,0.2084,0.2155,0.2141,0.2241,0.2136,0.2224,0.2093,0.2277
"DBR-LR",0.0454,0.0467,0.0458,0.0463,0.0462,0.0463,0.0473,0.0459,0.0462,0.0464
"DBR-RF",0.0373,0.0374,0.0372,0.039,0.0364,0.0395,0.0387,0.0375,0.0379,0.0376
"DBR-SVM",0.0453,0.0466,0.0459,0.0463,0.0462,0.0464,0.0472,0.046,0.0462,0.0463
"DBR-XGB",0.0823,0.0694,0.0667,0.079,0.0694,0.0827,0.0679,0.0802,0.068,0.0796
"EBR-C5.0",0.1022,0.1032,0.1042,0.1019,0.1036,0.103,0.1052,0.0975,0.103,0.1019
"EBR-LR",0.0643,0.065,0.0634,0.0685,0.0642,0.0659,0.0648,0.0631,0.0688,0.0659
"EBR-RF",0.0827,0.083,0.082,0.0835,0.083,0.0843,0.0855,0.0821,0.083,0.0823
"EBR-SVM",0.0783,0.0773,0.0707,0.0779,0.0706,0.0787,0.0717,0.0713,0.0719,0.0766
"EBR-XGB",0.0759,0.074,0.0741,0.0745,0.0748,0.0764,0.0749,0.0729,0.0738,0.074
"ECC-C5.0",0.103,0.1022,0.1094,0.1088,0.1061,0.109,0.1033,0.1035,0.1053,0.1026
"ECC-LR",0.0664,0.0661,0.0649,0.0661,0.0671,0.0685,0.0647,0.0636,0.064,0.063
"ECC-RF",0.083,0.0834,0.082,0.0839,0.0824,0.0857,0.0847,0.0824,0.0832,0.0851
"ECC-SVM",0.0789,0.0769,0.0688,0.0701,0.0697,0.0799,0.0706,0.0761,0.0715,0.0701
"ECC-XGB",0.0966,0.0862,0.0836,0.0877,0.0883,0.092,0.0828,0.0909,0.0794,0.0948
"MBR-C5.0",0.1806,0.1759,0.1718,0.1797,0.1727,0.1766,0.1651,0.1747,0.175,0.1787
"MBR-LR",0.0456,0.0465,0.0461,0.0468,0.0462,0.0471,0.0472,0.0463,0.0462,0.0467
"MBR-RF",0.0393,0.0388,0.0384,0.0393,0.0387,0.0391,0.0391,0.0387,0.0395,0.0382
"MBR-SVM",0.0458,0.0465,0.0459,0.0469,0.0463,0.0472,0.0472,0.0462,0.0458,0.047
"MBR-XGB",0.0869,0.0879,0.0876,0.0887,0.0873,0.0865,0.0898,0.0862,0.0895,0.0854
"NS-C5.0",0.1683,0.1616,0.1657,0.1702,0.1619,0.166,0.1633,0.1649,0.1685,0.1624
"NS-LR",0.0446,0.0456,0.0451,0.0457,0.0452,0.0457,0.0461,0.0453,0.0454,0.0456
"NS-RF",0.0381,0.0376,0.0377,0.0383,0.0368,0.0389,0.0384,0.0376,0.0377,0.0377
"NS-SVM",0.0446,0.0457,0.0453,0.0456,0.0451,0.0457,0.0461,0.0453,0.0454,0.0457
"NS-XGB",0.0525,0.0515,0.0502,0.0526,0.0512,0.0538,0.0525,0.0525,0.0512,0.0529
"PruDent-C5.0",0.1655,0.1612,0.1661,0.1714,0.1589,0.1633,0.1625,0.1623,0.165,0.1614
"PruDent-LR",0.0481,0.048,0.0472,0.0491,0.0475,0.0496,0.049,0.0482,0.0477,0.0487
"PruDent-RF",0.0379,0.0373,0.0377,0.0385,0.0365,0.0389,0.0382,0.0375,0.0367,0.0378
"PruDent-SVM",0.0446,0.0459,0.0453,0.0457,0.0453,0.0455,0.0462,0.0453,0.0455,0.0457
"PruDent-XGB",0.0457,0.0468,0.0462,0.0462,0.046,0.047,0.0478,0.0466,0.0463,0.0461
"RDBR-C5.0",0.2106,0.2084,0.2014,0.2131,0.2076,0.2191,0.2101,0.2189,0.2004,0.224
"RDBR-LR",0.0446,0.0456,0.0451,0.0454,0.0448,0.0455,0.046,0.045,0.0453,0.0455
"RDBR-RF",0.0398,0.0411,0.0414,0.0401,0.0406,0.0408,0.0437,0.0387,0.042,0.0392
"RDBR-SVM",0.0444,0.0456,0.045,0.0453,0.0449,0.0453,0.046,0.045,0.0454,0.0454
"RDBR-XGB",0.0838,0.0708,0.0682,0.08,0.0701,0.084,0.0691,0.0817,0.0695,0.0815
