"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.3918,0.3742,0.388,0.3782,0.3773,0.3886,0.3953,0.3708,0.3876,0.3789
"baselineHL",0.4287,0.4195,0.4282,0.42,0.4211,0.427,0.4296,0.4186,0.4212,0.4268
"baselineRL",0.323,0.309,0.3218,0.3111,0.3129,0.3189,0.3249,0.3079,0.3214,0.3117
"baselineSA",0.4801,0.466,0.4716,0.4745,0.4667,0.4792,0.4845,0.4186,0.4723,0.4738
"BR-C5.0",0.297,0.2607,0.2735,0.2708,0.2349,0.2238,0.2868,0.2181,0.2517,0.262
"BR-LR",0.1855,0.3133,0.1759,0.1739,0.1798,0.1865,0.1734,0.3106,0.1817,0.1605
"BR-RF",0.1306,0.1356,0.11,0.1124,0.1141,0.1304,0.1362,0.127,0.1226,0.1072
"BR-SVM",0.1783,0.313,0.1839,0.1814,0.1842,0.1863,0.1702,0.313,0.2011,0.1668
"BR-SVMt",0.2122,0.3254,0.2179,0.1766,0.1943,0.1863,0.1873,0.3176,0.185,0.1677
"BR-XGB",0.1641,0.1599,0.1438,0.1472,0.1395,0.1551,0.1654,0.1483,0.1415,0.1419
"BR+-C5.0",0.2885,0.2644,0.2761,0.274,0.2435,0.2158,0.3005,0.2087,0.2578,0.2855
"BR+-LR",0.1895,0.316,0.1816,0.1734,0.1795,0.1777,0.1757,0.309,0.1904,0.167
"BR+-RF",0.1235,0.1358,0.11,0.1122,0.1104,0.129,0.1334,0.1222,0.123,0.1048
"BR+-SVM",0.1767,0.3134,0.1783,0.1793,0.1776,0.1815,0.1657,0.313,0.1981,0.1597
"BR+-SVMt",0.1975,0.3217,0.2062,0.184,0.1896,0.1904,0.2107,0.3095,0.1992,0.163
"BR+-XGB",0.1605,0.1582,0.1459,0.1463,0.1353,0.1571,0.1658,0.1468,0.1405,0.1427
"CC-C5.0",0.311,0.2636,0.2744,0.2786,0.2311,0.2287,0.2954,0.2188,0.2553,0.2908
"CC-LR",0.1814,0.3143,0.1782,0.1735,0.1786,0.187,0.1747,0.3078,0.1847,0.1635
"CC-RF",0.1268,0.1326,0.1163,0.1141,0.1117,0.1296,0.1323,0.1295,0.1323,0.1088
"CC-SVM",0.1794,0.313,0.1774,0.1822,0.183,0.1841,0.1718,0.313,0.204,0.1599
"CC-SVMt",0.2173,0.3212,0.221,0.1817,0.1976,0.1821,0.1813,0.3025,0.1825,0.1598
"CC-XGB",0.1598,0.163,0.142,0.1496,0.1393,0.1547,0.1664,0.1478,0.1397,0.1398
"DBR-C5.0",0.2899,0.2644,0.2765,0.2777,0.2435,0.2167,0.3008,0.2083,0.2576,0.2864
"DBR-LR",0.1838,0.3135,0.1692,0.1791,0.1769,0.1788,0.1774,0.3091,0.1853,0.1694
"DBR-RF",0.1235,0.1358,0.11,0.1121,0.1104,0.1288,0.1342,0.1224,0.1234,0.1048
"DBR-SVM",0.1749,0.3134,0.178,0.1822,0.1785,0.1824,0.1657,0.313,0.1974,0.1617
"DBR-SVMt",0.2112,0.3259,0.2103,0.1747,0.1886,0.1821,0.1859,0.3112,0.1982,0.1559
"DBR-XGB",0.1605,0.1591,0.1461,0.1456,0.1348,0.1571,0.1658,0.1468,0.1407,0.1429
