"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.2721,0.2695,0.2725,0.272,0.2728,0.2756,0.2726,0.2777,0.2713,0.2746
"baselineHL",0.312,0.3165,0.3204,0.3184,0.3188,0.32,0.3182,0.3206,0.3197,0.3191
"baselineRL",0.215,0.2094,0.2105,0.2132,0.2135,0.2106,0.2137,0.2109,0.214,0.2105
"baselineSA",0.368,0.3204,0.3271,0.3257,0.3251,0.3297,0.3252,0.3279,0.3664,0.326
"BR-C5.0",0.3188,0.3085,0.3112,0.3092,0.3119,0.3105,0.3177,0.3034,0.311,0.3066
"BR-LR",0.2162,0.2117,0.2103,0.2137,0.2146,0.2117,0.2147,0.2122,0.2154,0.2115
"BR-RF",0.2219,0.217,0.2158,0.2165,0.2194,0.2169,0.2184,0.2144,0.2227,0.2169
"BR-SVM",0.2158,0.2109,0.211,0.2132,0.2138,0.2113,0.215,0.211,0.215,0.2111
"BR-SVMt",0.2196,0.2116,0.2116,0.2133,0.2135,0.2135,0.2154,0.2117,0.2144,0.2105
"BR-XGB",0.2612,0.26,0.2565,0.2567,0.2586,0.2529,0.2544,0.2544,0.2563,0.2576
"BR+-C5.0",0.3072,0.2933,0.2853,0.2979,0.3013,0.299,0.3056,0.2947,0.2926,0.3036
"BR+-LR",0.267,0.2795,0.2758,0.2672,0.2627,0.2815,0.2616,0.2758,0.2678,0.2781
"BR+-RF",0.2237,0.2159,0.2186,0.2164,0.221,0.2155,0.2195,0.2154,0.2241,0.2165
"BR+-SVM",0.2667,0.2809,0.2796,0.262,0.265,0.2789,0.2606,0.2802,0.2686,0.2783
"BR+-SVMt",0.3111,0.3126,0.3368,0.3085,0.3235,0.3111,0.3122,0.3319,0.2995,0.3267
"BR+-XGB",0.2863,0.2775,0.2731,0.2757,0.2813,0.2699,0.2819,0.2755,0.2776,0.2787
"CC-C5.0",0.332,0.3149,0.315,0.3206,0.3188,0.3002,0.318,0.3122,0.3309,0.3061
"CC-LR",0.2467,0.2538,0.2556,0.2417,0.2545,0.2451,0.2466,0.2521,0.2455,0.2468
"CC-RF",0.2241,0.218,0.2202,0.2172,0.2215,0.22,0.2199,0.2176,0.2254,0.2195
"CC-SVM",0.2471,0.2562,0.2579,0.2407,0.2545,0.2475,0.2458,0.2525,0.2455,0.2474
"CC-SVMt",0.2633,0.2662,0.2431,0.254,0.2789,0.2651,0.2624,0.2665,0.2584,0.2568
"CC-XGB",0.2793,0.2771,0.2733,0.267,0.2756,0.267,0.2761,0.2706,0.2742,0.2776
"DBR-C5.0",0.3044,0.2901,0.2846,0.2922,0.2991,0.3014,0.3017,0.2948,0.2952,0.302
"DBR-LR",0.264,0.2837,0.2765,0.2651,0.2658,0.2775,0.2625,0.2799,0.2693,0.2758
"DBR-RF",0.2235,0.2161,0.2188,0.2164,0.2206,0.2152,0.2189,0.2151,0.2241,0.2165
"DBR-SVM",0.2659,0.2797,0.2776,0.2613,0.2639,0.2775,0.2608,0.2799,0.2677,0.277
"DBR-SVMt",0.3172,0.3253,0.346,0.3167,0.3228,0.3274,0.3172,0.3315,0.2996,0.3381
"DBR-XGB",0.2837,0.2756,0.2704,0.2716,0.2769,0.2666,0.2769,0.2712,0.275,0.2759
"EBR-C5.0",0.2568,0.2564,0.2525,0.252,0.2536,0.2507,0.2574,0.2504,0.2542,0.2548
"EBR-LR",0.2604,0.2589,0.2594,0.2547,0.2586,0.2601,0.2578,0.2655,0.2577,0.2674
"EBR-RF",0.2795,0.2747,0.2775,0.2728,0.2764,0.2798,0.2748,0.281,0.2789,0.277
"EBR-SVM",0.2674,0.2638,0.2682,0.2618,0.2683,0.271,0.2672,0.2685,0.2652,0.2697
"EBR-SVMt",0.275,0.2731,0.2717,0.2744,0.2654,0.2708,0.268,0.277,0.2732,0.2803
"EBR-XGB",0.2608,0.2612,0.2607,0.2558,0.2605,0.2574,0.2577,0.2571,0.2578,0.2602
"ECC-C5.0",0.2464,0.2438,0.2428,0.2433,0.2508,0.2463,0.253,0.2484,0.2492,0.2457
