"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.2675,0.2617,0.2643,0.2648,0.2656,0.2635,0.2645,0.2645,0.264,0.265
"baseline-HL",0.3438,0.3407,0.343,0.3415,0.3429,0.3415,0.3734,0.3435,0.3421,0.3423
"baseline-RL",0.1403,0.1409,0.1389,0.1423,0.139,0.1423,0.1423,0.139,0.1395,0.1417
"baseline-SA",0.3661,0.2949,0.3586,0.3617,0.3616,0.3586,0.361,0.3592,0.3593,0.3609
"BR-C5.0",0.1296,0.1269,0.1229,0.1335,0.1235,0.1291,0.1308,0.1236,0.1198,0.1286
"BR+-C5.0",0.1519,0.14,0.1357,0.1487,0.1487,0.1425,0.1704,0.1416,0.1425,0.1464
"CC-C5.0",0.1409,0.1399,0.1321,0.1428,0.1391,0.1341,0.1416,0.1419,0.1367,0.1338
"DBR-C5.0",0.1497,0.1401,0.1361,0.1486,0.1481,0.1432,0.167,0.1411,0.1443,0.1431
"EBR-C5.0",0.128,0.1312,0.13,0.1349,0.1323,0.1299,0.1288,0.132,0.1344,0.1292
"ECC-C5.0",0.1296,0.1341,0.128,0.1333,0.1309,0.1312,0.1294,0.1294,0.1326,0.1258
"MBR-C5.0",0.1315,0.1316,0.1324,0.1517,0.1266,0.1312,0.1443,0.1278,0.1259,0.1563
"NS-C5.0",0.1292,0.128,0.1273,0.1352,0.1243,0.126,0.1297,0.1211,0.1238,0.1338
"PruDent-C5.0",0.1504,0.1353,0.1312,0.1431,0.1292,0.1381,0.1476,0.1293,0.1256,0.134
"RDBR-C5.0",0.1524,0.135,0.1395,0.1558,0.1488,0.1425,0.1674,0.1441,0.1464,0.1469
"BR-LR",0.1014,0.1019,0.1011,0.1002,0.1012,0.1013,0.1033,0.0991,0.1012,0.103
"BR+-LR",0.1032,0.1018,0.1004,0.101,0.0989,0.0995,0.1048,0.1001,0.1007,0.1036
"CC-LR",0.1004,0.1006,0.099,0.1013,0.0986,0.0996,0.1033,0.0986,0.0992,0.1041
"DBR-LR",0.1033,0.1006,0.0991,0.1008,0.0983,0.1006,0.1046,0.1003,0.1011,0.1033
"EBR-LR",0.169,0.1734,0.1692,0.1708,0.1678,0.1692,0.168,0.1673,0.1728,0.1692
"ECC-LR",0.1665,0.1676,0.1694,0.1672,0.174,0.1683,0.1712,0.1722,0.1621,0.1682
"MBR-LR",0.1015,0.1011,0.1,0.1012,0.0998,0.0989,0.1022,0.1004,0.1008,0.103
"NS-LR",0.1009,0.101,0.1008,0.1019,0.1008,0.1006,0.1036,0.1008,0.1005,0.1018
"PruDent-LR",0.1657,0.1553,0.156,0.1566,0.1518,0.1535,0.1563,0.1572,0.148,0.1597
"RDBR-LR",0.1033,0.0994,0.099,0.1011,0.0994,0.1004,0.1045,0.0991,0.0997,0.1044
"BR-RF",0.0852,0.0828,0.0819,0.0853,0.0832,0.0811,0.0848,0.0836,0.0833,0.0841
"BR+-RF",0.0833,0.0835,0.0821,0.0833,0.0849,0.0805,0.0844,0.0852,0.0834,0.083
