"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.2593,0.2602,0.2605,0.259,0.2599,0.2597,0.2606,0.259,0.2607,0.2589
"baseline-HL",0.3783,0.3788,0.3793,0.3778,0.3786,0.3785,0.3788,0.3783,0.379,0.3781
"baseline-RL",0.0679,0.0681,0.0681,0.0678,0.068,0.0679,0.0682,0.0677,0.0682,0.0677
"baseline-SA",0.365,0.3656,0.3662,0.3644,0.3653,0.3653,0.3657,0.3649,0.3658,0.3648
"BR-C5.0",0.0587,0.0591,0.0593,0.0593,0.059,0.0591,0.06,0.0583,0.0596,0.0586
"BR+-C5.0",0.1248,0.1294,0.1236,0.1271,0.1232,0.1234,0.127,0.121,0.1299,0.1282
"CC-C5.0",0.1158,0.1103,0.108,0.1094,0.108,0.1049,0.1077,0.1046,0.1111,0.114
"DBR-C5.0",0.1211,0.1259,0.1206,0.1231,0.1207,0.119,0.1235,0.1168,0.1262,0.1203
"EBR-C5.0",0.0999,0.1019,0.1025,0.1005,0.1014,0.1001,0.1012,0.101,0.1014,0.1001
"ECC-C5.0",0.1088,0.109,0.1099,0.1081,0.108,0.1075,0.108,0.1075,0.1087,0.108
"MBR-C5.0",0.0591,0.0605,0.06,0.0601,0.0603,0.0601,0.0606,0.0597,0.0607,0.0597
"NS-C5.0",0.0586,0.0598,0.0599,0.0592,0.0606,0.0592,0.0602,0.0595,0.0594,0.0591
"PruDent-C5.0",0.1155,0.1186,0.1167,0.1182,0.1186,0.1182,0.1198,0.1136,0.1202,0.1175
"RDBR-C5.0",0.1348,0.1423,0.1333,0.1409,0.1359,0.1336,0.138,0.1431,0.1443,0.1453
"BR-LR",0.0391,0.0393,0.0396,0.0392,0.0392,0.039,0.0394,0.0389,0.0396,0.039
"BR+-LR",0.0613,0.0611,0.0612,0.0616,0.0618,0.0612,0.0622,0.061,0.0618,0.0612
"CC-LR",0.057,0.0576,0.0578,0.0574,0.0574,0.0573,0.058,0.0566,0.0578,0.0572
"DBR-LR",0.0602,0.0605,0.0601,0.0609,0.0605,0.06,0.061,0.0601,0.0605,0.0604
"EBR-LR",0.222,0.2246,0.2251,0.2221,0.2246,0.223,0.2243,0.225,0.2233,0.2248
"ECC-LR",0.2039,0.2121,0.2071,0.2044,0.2122,0.2088,0.2036,0.212,0.2062,0.2059
"MBR-LR",0.0454,0.0457,0.046,0.0457,0.0458,0.0457,0.0459,0.0457,0.0459,0.0457
"NS-LR",0.0403,0.0411,0.0414,0.0406,0.0412,0.0407,0.0411,0.0404,0.0411,0.0407
"PruDent-LR",0.1454,0.0863,0.1095,0.142,0.091,0.1388,0.1103,0.1393,0.1108,0.1402
"RDBR-LR",0.0634,0.0625,0.0625,0.064,0.0638,0.063,0.0633,0.0627,0.0628,0.0632
"BR-RF",0.0336,0.034,0.0342,0.0336,0.0338,0.0336,0.0339,0.0335,0.0339,0.0336
"BR+-RF",0.0416,0.0421,0.0424,0.0417,0.0421,0.0413,0.0423,0.0412,0.0421,0.0413
"CC-RF",0.0398,0.0401,0.0406,0.0399,0.0404,0.0394,0.0404,0.0397,0.0404,0.0396
"DBR-RF",0.0413,0.0421,0.0423,0.0413,0.0418,0.0412,0.0424,0.0415,0.042,0.0415
"EBR-RF",0.2258,0.2294,0.229,0.2263,0.2272,0.2269,0.2277,0.2268,0.228,0.2279
"ECC-RF",0.221,0.2223,0.2247,0.223,0.2257,0.2259,0.2262,0.2239,0.2287,0.2209
"MBR-RF",0.0537,0.0554,0.0546,0.0543,0.0551,0.0548,0.0552,0.0538,0.0545,0.0539
"NS-RF",0.0399,0.0402,0.0405,0.0398,0.0403,0.0396,0.0404,0.0395,0.0403,0.0395
"PruDent-RF",0.0374,0.0383,0.0382,0.0372,0.0379,0.0375,0.0383,0.0372,0.0379,0.0375
"RDBR-RF",0.0424,0.0434,0.0435,0.0436,0.0432,0.0433,0.0449,0.0434,0.0436,0.0432
"BR-SVM",0.039,0.0394,0.0396,0.0392,0.0392,0.0391,0.0395,0.0389,0.0395,0.0391
"BR+-SVM",0.0615,0.0613,0.061,0.0616,0.0617,0.0613,0.0624,0.061,0.0619,0.0611
"CC-SVM",0.0569,0.0576,0.0578,0.0573,0.0579,0.0569,0.058,0.0565,0.0579,0.0571
"DBR-SVM",0.0604,0.0602,0.0599,0.0607,0.0608,0.0599,0.0609,0.0598,0.061,0.0602
"EBR-SVM",0.2164,0.2202,0.2188,0.2181,0.2183,0.2183,0.2172,0.2192,0.2172,0.2186
"ECC-SVM",0.1898,0.1977,0.1981,0.1918,0.1905,0.1962,0.201,0.2023,0.195,0.1973
