"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.3887,0.385,0.3863,0.3873,0.3889,0.3848,0.3881,0.3855,0.3872,0.3865
"baselineHL",0.4178,0.4144,0.4161,0.4161,0.4179,0.4143,0.4174,0.4148,0.4168,0.4155
"baselineRL",0.255,0.2538,0.2541,0.2547,0.255,0.2537,0.2548,0.254,0.2544,0.2544
"baselineSA",0.4748,0.4724,0.4722,0.475,0.4751,0.4721,0.4746,0.4726,0.4735,0.4738
"BR-C5.0",0.1598,0.1605,0.1507,0.1693,0.1592,0.1558,0.1626,0.1614,0.1582,0.1602
"BR-LR",0.0904,0.091,0.0904,0.0907,0.0911,0.0918,0.0898,0.0906,0.089,0.0918
"BR-RF",0.0862,0.0855,0.0856,0.0848,0.0853,0.0843,0.0853,0.0853,0.0841,0.0849
"BR-SVM",0.0904,0.0909,0.0904,0.0909,0.0911,0.0917,0.0897,0.0904,0.0894,0.0919
"BR-XGB",0.0933,0.0944,0.0944,0.0946,0.0945,0.095,0.0933,0.0942,0.093,0.0952
"BR+-C5.0",0.1586,0.1556,0.1497,0.1632,0.161,0.1517,0.157,0.1511,0.1602,0.1568
"BR+-LR",0.0904,0.0909,0.0905,0.0907,0.0913,0.092,0.0896,0.0907,0.0891,0.0922
"BR+-RF",0.0861,0.0858,0.0852,0.0851,0.0864,0.0844,0.0855,0.0853,0.0839,0.0857
"BR+-SVM",0.0903,0.0909,0.0905,0.0905,0.0913,0.092,0.0894,0.0907,0.0891,0.092
"BR+-XGB",0.0947,0.0955,0.0947,0.0939,0.0968,0.0973,0.0955,0.0959,0.0936,0.0958
"CC-C5.0",0.1587,0.1555,0.1503,0.1652,0.1601,0.1508,0.1618,0.1534,0.1589,0.1595
"CC-LR",0.0904,0.0911,0.0904,0.0907,0.0911,0.0919,0.0898,0.0904,0.0891,0.0919
"CC-RF",0.086,0.0856,0.0855,0.0856,0.0864,0.0847,0.0844,0.0859,0.0837,0.0849
"CC-SVM",0.0904,0.091,0.0905,0.0906,0.0912,0.092,0.0897,0.0905,0.0892,0.0919
"CC-XGB",0.0955,0.0936,0.0943,0.0954,0.0946,0.0952,0.0952,0.0947,0.0945,0.0948
"DBR-C5.0",0.1584,0.1551,0.1497,0.1631,0.1604,0.1517,0.157,0.1511,0.1592,0.1567
"DBR-LR",0.0903,0.091,0.0905,0.0906,0.091,0.0917,0.0896,0.0907,0.0888,0.092
"DBR-RF",0.086,0.0851,0.0853,0.0839,0.0862,0.084,0.0838,0.0851,0.0839,0.0859
"DBR-SVM",0.0902,0.0909,0.0906,0.0906,0.0912,0.0918,0.0897,0.0906,0.089,0.0919
"DBR-XGB",0.0939,0.0949,0.0943,0.0929,0.0957,0.0972,0.0948,0.095,0.0925,0.0953
"EBR-C5.0",0.1474,0.1512,0.1498,0.149,0.1472,0.1511,0.1477,0.1502,0.1461,0.15
"EBR-LR",0.1603,0.1555,0.1575,0.159,0.1588,0.1579,0.1595,0.1579,0.1557,0.1591
"EBR-RF",0.2591,0.2545,0.26,0.2584,0.2608,0.2558,0.2591,0.258,0.2577,0.2597
"EBR-SVM",0.1861,0.1862,0.1837,0.1869,0.1876,0.1832,0.1858,0.1838,0.1836,0.1858
"EBR-XGB",0.175,0.174,0.1753,0.1728,0.1768,0.1748,0.1728,0.1737,0.1712,0.1746
"ECC-C5.0",0.1497,0.1499,0.152,0.1477,0.1488,0.1472,0.1443,0.1523,0.1503,0.1487
"ECC-LR",0.1569,0.157,0.1574,0.1558,0.159,0.1589,0.1578,0.1594,0.1579,0.1628
"ECC-RF",0.2612,0.2559,0.2604,0.2565,0.2598,0.2568,0.2588,0.2593,0.257,0.2589
"ECC-SVM",0.1857,0.1863,0.1854,0.1871,0.1879,0.1839,0.1835,0.1827,0.1843,0.1844
"ECC-XGB",0.1722,0.171,0.175,0.1701,0.1771,0.1704,0.171,0.1696,0.1712,0.1724
"MBR-C5.0",0.169,0.1738,0.1668,0.1713,0.1744,0.1662,0.168,0.1732,0.1677,0.1694
"MBR-LR",0.0905,0.0916,0.0906,0.091,0.0915,0.0926,0.0894,0.0916,0.0896,0.0926
"MBR-RF",0.0843,0.0845,0.0845,0.0845,0.0849,0.085,0.0838,0.0854,0.0834,0.0853
"MBR-SVM",0.0922,0.0931,0.0923,0.0926,0.0929,0.0939,0.0912,0.0927,0.0908,0.0938
"MBR-XGB",0.1651,0.164,0.1638,0.1642,0.1669,0.1622,0.1635,0.1628,0.1641,0.1635
"NS-C5.0",0.1599,0.1606,0.1507,0.1672,0.1612,0.1539,0.1606,0.159,0.1616,0.161
"NS-LR",0.0904,0.091,0.0905,0.0906,0.0912,0.0919,0.0897,0.0906,0.089,0.0918
"NS-RF",0.0855,0.0846,0.0848,0.0853,0.0862,0.0847,0.0857,0.0858,0.0846,0.0857
"NS-SVM",0.0904,0.091,0.0904,0.0907,0.0911,0.0918,0.0897,0.0905,0.089,0.092
"NS-XGB",0.0939,0.0946,0.0938,0.0936,0.095,0.0957,0.0931,0.0933,0.0928,0.0937
"PruDent-C5.0",0.1598,0.1605,0.1507,0.1693,0.1592,0.1558,0.1626,0.1614,0.1582,0.1602
"PruDent-LR",0.1016,0.1036,0.1036,0.1046,0.1036,0.105,0.1007,0.1032,0.1011,0.1056
"PruDent-RF",0.0857,0.0849,0.0848,0.0835,0.0863,0.0845,0.0856,0.0847,0.0842,0.0853
"PruDent-SVM",0.0904,0.0909,0.0905,0.0908,0.0911,0.0919,0.0897,0.0905,0.0889,0.092
"PruDent-XGB",0.0933,0.0944,0.0944,0.0946,0.0945,0.095,0.0933,0.0942,0.093,0.0952
"RDBR-C5.0",0.1589,0.1569,0.1497,0.1631,0.1629,0.1516,0.1571,0.151,0.1623,0.1568
"RDBR-LR",0.0904,0.0908,0.0906,0.0906,0.0913,0.0919,0.0897,0.0907,0.089,0.092
"RDBR-RF",0.086,0.0859,0.0848,0.0853,0.0863,0.0847,0.0847,0.0852,0.0841,0.0857
"RDBR-SVM",0.0903,0.091,0.0905,0.0907,0.0912,0.0919,0.0897,0.0907,0.0891,0.0919
"RDBR-XGB",0.0946,0.0951,0.0942,0.094,0.0959,0.0972,0.0962,0.0953,0.0941,0.095
