"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.5191,0.5186,0.5191,0.5186,0.5191,0.5186,0.5191,0.5186,0.5191,0.5186
"baseline-HL",0.4858,0.4863,0.4858,0.4863,0.4858,0.4863,0.4858,0.4863,0.4858,0.4863
"baseline-RL",0.4724,0.4735,0.4724,0.4735,0.4724,0.4735,0.4724,0.4735,0.4724,0.4735
"baseline-SA",0.4858,0.5131,0.4858,0.5131,0.4858,0.5131,0.4858,0.5131,0.4858,0.5131
"BR-C5.0",0.1339,0.1441,0.1339,0.1441,0.1339,0.1441,0.1339,0.1441,0.1339,0.1441
"BR+-C5.0",0.1645,0.2346,0.1645,0.2346,0.1645,0.2346,0.1645,0.2346,0.1645,0.2346
"CC-C5.0",0.1579,0.2063,0.1579,0.2063,0.1579,0.2063,0.1579,0.2063,0.1579,0.2063
"DBR-C5.0",0.1663,0.2454,0.1663,0.2454,0.1663,0.2454,0.1663,0.2454,0.1663,0.2454
"EBR-C5.0",0.0904,0.0891,0.0904,0.0891,0.0904,0.0891,0.0904,0.0891,0.0904,0.0891
"ECC-C5.0",0.0958,0.097,0.0958,0.097,0.0958,0.097,0.0958,0.097,0.0958,0.097
"MBR-C5.0",0.183,0.2003,0.183,0.2003,0.183,0.2003,0.183,0.2003,0.183,0.2003
"NS-C5.0",0.1546,0.1897,0.1546,0.1897,0.1546,0.1897,0.1546,0.1897,0.1546,0.1897
"PruDent-C5.0",0.1339,0.1441,0.1339,0.1441,0.1339,0.1441,0.1339,0.1441,0.1339,0.1441
"RDBR-C5.0",0.1622,0.2346,0.1622,0.2346,0.1622,0.2346,0.1622,0.2346,0.1622,0.2346
"BR-LR",0.0617,0.0604,0.0616,0.061,0.0612,0.0605,0.0614,0.0607,0.0614,0.06
"BR+-LR",0.0612,0.0598,0.0612,0.0602,0.062,0.0598,0.0613,0.0603,0.062,0.0602
"CC-LR",0.061,0.0604,0.0605,0.06,0.061,0.0602,0.0605,0.06,0.0608,0.0598
"DBR-LR",0.0617,0.0602,0.0617,0.06,0.0622,0.0595,0.0617,0.0607,0.0622,0.0601
"EBR-LR",0.0984,0.0919,0.0993,0.0885,0.0962,0.0923,0.1007,0.0869,0.0984,0.0895
"ECC-LR",0.0954,0.0918,0.0985,0.0821,0.0953,0.0887,0.0993,0.0843,0.0994,0.0856
