"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.3389,0.3382,0.339,0.3381,0.3379,0.3392,0.339,0.3381,0.3388,0.3383
"baselineHL",0.4982,0.4983,0.4982,0.4983,0.4978,0.4987,0.4981,0.4984,0.4977,0.4987
"baselineRL",0.2697,0.2706,0.2709,0.2693,0.2693,0.271,0.2717,0.2685,0.271,0.2693
"baselineSA",0.4982,0.4983,0.4982,0.4983,0.4978,0.4987,0.4981,0.4984,0.4977,0.4987
"BR-C5.0",0.1989,0.1933,0.1909,0.1985,0.1912,0.1953,0.1933,0.2008,0.1983,0.1972
"BR-LR",0.1042,0.1145,0.1165,0.1097,0.1076,0.1147,0.1157,0.1069,0.1153,0.1085
"BR-RF",0.11,0.112,0.113,0.1125,0.1108,0.1096,0.1122,0.1123,0.1131,0.1101
"BR-SVM",0.1052,0.1148,0.117,0.1096,0.1054,0.1159,0.1165,0.1072,0.1149,0.1086
"BR-SVMt",0.105,0.2708,0.1261,0.1034,0.1009,0.2717,0.2611,0.1029,0.2137,0.104
"BR-XGB",0.1184,0.1184,0.1213,0.1227,0.1179,0.12,0.1192,0.1186,0.1215,0.1211
"BR+-C5.0",0.2593,0.2281,0.2507,0.2477,0.2425,0.262,0.2444,0.2649,0.2387,0.2582
"BR+-LR",0.1157,0.1149,0.116,0.1196,0.1151,0.1149,0.1163,0.1192,0.1155,0.1223
"BR+-RF",0.1131,0.1152,0.1138,0.1141,0.1141,0.1118,0.1125,0.1126,0.1117,0.1149
"BR+-SVM",0.1176,0.1143,0.1167,0.1194,0.1157,0.1156,0.1161,0.1199,0.1152,0.1216
"BR+-SVMt",0.113,0.2709,0.2713,0.1184,0.1082,0.2719,0.2722,0.1093,0.2714,0.1128
"BR+-XGB",0.141,0.1326,0.1381,0.1416,0.1339,0.1405,0.1374,0.1354,0.1322,0.1413
"CC-C5.0",0.1927,0.1969,0.1924,0.1969,0.1861,0.1991,0.197,0.1983,0.1997,0.1923
"CC-LR",0.1122,0.1146,0.1164,0.1183,0.1124,0.115,0.1162,0.1166,0.1147,0.1152
"CC-RF",0.107,0.1095,0.1099,0.114,0.1114,0.1077,0.1085,0.1115,0.1125,0.1105
"CC-SVM",0.1123,0.1146,0.1171,0.1185,0.1133,0.1151,0.1166,0.1164,0.1146,0.1167
"CC-SVMt",0.1057,0.2709,0.2682,0.1169,0.1056,0.2581,0.2685,0.1093,0.2716,0.108
"CC-XGB",0.1312,0.131,0.1325,0.1332,0.1294,0.1299,0.1354,0.1276,0.1325,0.1313
"DBR-C5.0",0.2576,0.2289,0.251,0.2494,0.2434,0.2622,0.2435,0.2655,0.2393,0.261
"DBR-LR",0.1149,0.115,0.117,0.1184,0.1152,0.1156,0.1156,0.1172,0.1155,0.1205
"DBR-RF",0.1063,0.112,0.1098,0.1094,0.1062,0.1078,0.1099,0.1096,0.1101,0.1095
"DBR-SVM",0.116,0.1147,0.1166,0.1189,0.1141,0.1152,0.1157,0.1181,0.1154,0.1203
"DBR-SVMt",0.1116,0.2714,0.2713,0.1108,0.1058,0.2715,0.2683,0.1055,0.2718,0.1112
"DBR-XGB",0.1416,0.1326,0.1377,0.1412,0.1338,0.1377,0.137,0.1353,0.1313,0.1407
"EBR-C5.0",0.2425,0.255,0.25,0.2422,0.2329,0.2573,0.2581,0.2389,0.2413,0.2533
"EBR-LR",0.1547,0.157,0.1599,0.1611,0.1608,0.1648,0.1588,0.1523,0.1535,0.1611
"EBR-RF",0.1958,0.1914,0.1945,0.1949,0.1904,0.1917,0.1912,0.1913,0.189,0.1919
"EBR-SVM",0.1651,0.1688,0.1787,0.1667,0.1706,0.178,0.1751,0.1674,0.1711,0.1656
"EBR-SVMt",0.1766,0.1741,0.1726,0.1655,0.1667,0.1701,0.173,0.1611,0.1688,0.169
"EBR-XGB",0.1816,0.1813,0.1875,0.1784,0.1729,0.1819,0.1807,0.1764,0.1713,0.1833
"ECC-C5.0",0.2301,0.2338,0.2302,0.2258,0.2313,0.245,0.2355,0.2369,0.2534,0.2346
"ECC-LR",0.1612,0.162,0.1676,0.1589,0.1654,0.1644,0.1646,0.1623,0.1655,0.1764
"ECC-RF",0.1981,0.196,0.1908,0.1947,0.1951,0.1945,0.1951,0.1915,0.1912,0.1968
"ECC-SVM",0.1695,0.1654,0.1691,0.1668,0.1665,0.1686,0.1701,0.1634,0.1725,0.1724
"ECC-SVMt",0.1605,0.1677,0.1702,0.165,0.1625,0.1682,0.1675,0.1577,0.1636,0.1592
"ECC-XGB",0.1766,0.18,0.1825,0.173,0.1848,0.1842,0.179,0.1799,0.1851,0.1795
"MBR-C5.0",0.1993,0.1954,0.1919,0.2005,0.1899,0.1961,0.1933,0.1989,0.1949,0.1973
"MBR-LR",0.1253,0.1147,0.1165,0.1286,0.1234,0.1156,0.1152,0.1223,0.1146,0.1267
"MBR-RF",0.1094,0.114,0.1111,0.1133,0.1127,0.1112,0.1128,0.114,0.1144,0.1146
"MBR-SVM",0.126,0.115,0.1171,0.1287,0.1241,0.1162,0.1159,0.1237,0.1149,0.1275
"MBR-SVMt",0.1311,0.2685,0.2685,0.1495,0.1629,0.2716,0.1173,0.1456,0.2717,0.1417
"MBR-XGB",0.1562,0.1497,0.1452,0.1588,0.16,0.1526,0.1529,0.1526,0.148,0.1505
"NS-C5.0",0.1989,0.1919,0.1881,0.1986,0.1911,0.192,0.193,0.2001,0.1976,0.1976
"NS-LR",0.1068,0.1148,0.1168,0.1111,0.1075,0.1153,0.1155,0.1088,0.1151,0.1108
"NS-RF",0.1086,0.1101,0.1117,0.1124,0.1086,0.1085,0.1123,0.109,0.113,0.112
"NS-SVM",0.1064,0.1145,0.1166,0.1102,0.1079,0.1148,0.1163,0.1077,0.1151,0.1102
"NS-SVMt",0.1043,0.2682,0.2592,0.1055,0.1028,0.2685,0.1465,0.1031,0.2715,0.1097
"NS-XGB",0.1236,0.1234,0.1242,0.1287,0.1221,0.1226,0.1238,0.1212,0.1239,0.1252
"PruDent-C5.0",0.1989,0.1933,0.1909,0.1985,0.1912,0.1953,0.1933,0.2008,0.1983,0.1972
"PruDent-LR",0.148,0.1156,0.1167,0.1491,0.1518,0.1151,0.1158,0.1369,0.1146,0.1541
"PruDent-RF",0.1077,0.1111,0.1117,0.1125,0.1102,0.11,0.1138,0.1101,0.1114,0.1116
"PruDent-SVM",0.1043,0.1146,0.1174,0.1096,0.1057,0.1155,0.1159,0.1062,0.1145,0.1083
"PruDent-SVMt",0.1049,0.1469,0.2683,0.1013,0.0988,0.2716,0.1174,0.0992,0.1199,0.1025
"PruDent-XGB",0.1184,0.1184,0.1213,0.1227,0.1179,0.12,0.1192,0.1186,0.1215,0.1211
"RDBR-C5.0",0.2585,0.2296,0.2503,0.2477,0.2396,0.262,0.2451,0.2628,0.2367,0.26
"RDBR-LR",0.1176,0.1147,0.1171,0.119,0.1142,0.115,0.1157,0.1183,0.1158,0.122
"RDBR-RF",0.112,0.1133,0.1115,0.1134,0.1138,0.1103,0.1119,0.1113,0.1107,0.1149
"RDBR-SVM",0.1171,0.1145,0.1163,0.1192,0.1155,0.1154,0.1161,0.1193,0.1152,0.1206
"RDBR-SVMt",0.1085,0.2713,0.2711,0.1171,0.1131,0.2721,0.272,0.1066,0.2718,0.1115
"RDBR-XGB",0.1411,0.1321,0.1367,0.1407,0.1345,0.1402,0.1378,0.1348,0.1319,0.1411
