"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.3269,0.3266,0.327,0.3265,0.3266,0.3269,0.3268,0.3267,0.3272,0.3263
"baselineHL",0.3556,0.3547,0.3552,0.355,0.3545,0.3558,0.3548,0.3555,0.3553,0.355
"baselineRL",0.2967,0.2962,0.2967,0.2961,0.2962,0.2966,0.2964,0.2965,0.2968,0.2961
"baselineSA",0.3431,0.3433,0.3435,0.343,0.3435,0.343,0.3436,0.3428,0.3439,0.3425
"BR-C5.0",0.1653,0.1611,0.1706,0.1653,0.1639,0.166,0.1654,0.1685,0.1569,0.1626
"BR-LR",0.1575,0.1505,0.153,0.156,0.1527,0.156,0.1519,0.1573,0.1498,0.1559
"BR-RF",0.1169,0.1102,0.1112,0.1139,0.1127,0.1126,0.113,0.1131,0.111,0.1158
"BR-SVM",0.1577,0.1509,0.1528,0.1558,0.1528,0.1552,0.1521,0.1566,0.1501,0.156
"BR-SVMt",0.1104,0.1052,0.109,0.1078,0.1051,0.1108,0.1089,0.11,0.1055,0.1133
"BR-XGB",0.108,0.1056,0.1076,0.1105,0.1069,0.1074,0.1075,0.1083,0.1081,0.1072
"BR+-C5.0",0.1868,0.1834,0.1935,0.1877,0.1881,0.188,0.1854,0.1889,0.1785,0.1865
"BR+-LR",0.1751,0.1727,0.172,0.1785,0.1717,0.1778,0.1733,0.1762,0.17,0.1735
"BR+-RF",0.1217,0.1145,0.1169,0.1192,0.1183,0.1179,0.1173,0.1158,0.1151,0.1211
"BR+-SVM",0.1752,0.1725,0.1721,0.1778,0.172,0.1768,0.1736,0.1766,0.1708,0.174
"BR+-SVMt",0.1226,0.115,0.1206,0.1225,0.1219,0.1297,0.1197,0.1235,0.1165,0.1222
"BR+-XGB",0.1339,0.1303,0.1311,0.1353,0.1354,0.1299,0.1349,0.1318,0.128,0.1293
"CC-C5.0",0.1792,0.1858,0.1885,0.1855,0.184,0.1721,0.1855,0.1757,0.1752,0.174
"CC-LR",0.1705,0.1695,0.1675,0.1742,0.1706,0.1724,0.1712,0.1722,0.1672,0.1705
"CC-RF",0.1202,0.1158,0.1175,0.1167,0.1189,0.1172,0.1196,0.1166,0.1158,0.1185
"CC-SVM",0.1704,0.1698,0.167,0.1741,0.1698,0.172,0.1706,0.1719,0.1666,0.1708
"CC-SVMt",0.1196,0.1148,0.1156,0.1154,0.1147,0.1245,0.1132,0.1174,0.1133,0.1162
"CC-XGB",0.1223,0.1214,0.1214,0.1267,0.1228,0.1218,0.1251,0.1206,0.1192,0.1228
"DBR-C5.0",0.186,0.1797,0.1927,0.1817,0.189,0.1882,0.1882,0.1848,0.178,0.1862
"DBR-LR",0.1702,0.1676,0.1687,0.1741,0.1693,0.1702,0.1701,0.1715,0.1653,0.1715
"DBR-RF",0.1216,0.1147,0.1168,0.1189,0.1182,0.1181,0.1171,0.1161,0.1151,0.1212
"DBR-SVM",0.1702,0.1675,0.1689,0.1737,0.1692,0.1708,0.1697,0.1712,0.1655,0.1712
"DBR-SVMt",0.1132,0.1121,0.115,0.1152,0.1151,0.1202,0.1135,0.117,0.1105,0.1158
"DBR-XGB",0.1252,0.1221,0.1248,0.1254,0.1244,0.123,0.1267,0.1248,0.1238,0.1225
"EBR-C5.0",0.1332,0.1307,0.1345,0.1324,0.1323,0.132,0.1346,0.1318,0.1326,0.1299
"EBR-LR",0.1899,0.1857,0.1866,0.1902,0.1866,0.1878,0.188,0.1889,0.1812,0.1907
"EBR-RF",0.1965,0.1902,0.1968,0.1905,0.1915,0.1945,0.1941,0.1954,0.1932,0.196
"EBR-SVM",0.1846,0.1809,0.1786,0.186,0.1795,0.1838,0.1818,0.1831,0.1766,0.1854
"EBR-SVMt",0.1316,0.1349,0.1353,0.1306,0.1391,0.13,0.1248,0.1286,0.1356,0.1302
"EBR-XGB",0.1188,0.1165,0.1187,0.1219,0.1187,0.1186,0.1194,0.119,0.1165,0.119
"ECC-C5.0",0.1266,0.122,0.1255,0.1296,0.1277,0.1259,0.1316,0.1279,0.1267,0.1306
"ECC-LR",0.187,0.1841,0.1803,0.1872,0.1811,0.1762,0.1829,0.1816,0.1784,0.1838
"ECC-RF",0.1666,0.1627,0.1704,0.164,0.1604,0.1626,0.1646,0.1664,0.1666,0.1701
"ECC-SVM",0.1787,0.1748,0.172,0.1817,0.1767,0.1817,0.1765,0.1762,0.1731,0.1831
"ECC-SVMt",0.1291,0.1251,0.1274,0.1277,0.1205,0.1219,0.129,0.1227,0.1282,0.1283
"ECC-XGB",0.111,0.1055,0.1051,0.1102,0.1101,0.1077,0.1119,0.1087,0.1077,0.1104
"MBR-C5.0",0.177,0.1806,0.1935,0.1733,0.177,0.1778,0.1764,0.1811,0.1704,0.1794
"MBR-LR",0.1744,0.1696,0.1719,0.1741,0.1707,0.1735,0.1737,0.1743,0.1695,0.1731
"MBR-RF",0.1161,0.1103,0.1106,0.1134,0.1125,0.1116,0.1134,0.1116,0.1102,0.1127
"MBR-SVM",0.1745,0.1692,0.1732,0.1743,0.1726,0.1741,0.1735,0.1754,0.1692,0.1732
"MBR-XGB",0.1478,0.1458,0.1446,0.1547,0.1444,0.1516,0.1448,0.153,0.1473,0.1442
"NS-C5.0",0.1719,0.1615,0.1683,0.1603,0.161,0.1663,0.1654,0.1675,0.1578,0.1675
"NS-LR",0.1575,0.1511,0.1538,0.1577,0.1527,0.1577,0.153,0.1579,0.15,0.1577
"NS-RF",0.1196,0.1154,0.1166,0.1174,0.1184,0.117,0.1196,0.1145,0.1159,0.118
"NS-SVM",0.1574,0.1511,0.1539,0.1582,0.1529,0.158,0.1531,0.1581,0.1501,0.158
"NS-SVMt",0.117,0.1119,0.1135,0.1141,0.1129,0.1191,0.1122,0.117,0.1125,0.1137
"NS-XGB",0.1155,0.1162,0.1169,0.1188,0.1146,0.1176,0.114,0.115,0.1162,0.1125
"PruDent-C5.0",0.1769,0.1658,0.1733,0.1733,0.1681,0.1676,0.1686,0.1719,0.1612,0.1707
"PruDent-LR",0.1819,0.2188,0.1957,0.2201,0.2186,0.2031,0.219,0.1857,0.2204,0.2165
"PruDent-RF",0.1269,0.1195,0.122,0.123,0.1223,0.1229,0.1231,0.1223,0.1213,0.1233
"PruDent-SVM",0.1653,0.1584,0.161,0.1655,0.1598,0.1636,0.16,0.1647,0.1568,0.1648
"PruDent-SVMt",0.1137,0.1097,0.1112,0.1112,0.1103,0.1142,0.1114,0.1145,0.1111,0.1135
"PruDent-XGB",0.1157,0.1105,0.1143,0.1171,0.1126,0.1146,0.1126,0.1159,0.1126,0.1121
"RDBR-C5.0",0.193,0.1828,0.1953,0.1965,0.1935,0.1977,0.1919,0.1894,0.1874,0.1936
"RDBR-LR",0.1792,0.1787,0.1761,0.1855,0.1774,0.1806,0.1787,0.1808,0.1741,0.1831
"RDBR-RF",0.1261,0.1185,0.1207,0.1236,0.1218,0.1214,0.1213,0.1202,0.1183,0.1251
"RDBR-SVM",0.1796,0.1795,0.1774,0.184,0.1772,0.181,0.1801,0.1813,0.176,0.1819
"RDBR-SVMt",0.1238,0.1183,0.12,0.1266,0.1193,0.1191,0.1178,0.1211,0.115,0.1203
"RDBR-XGB",0.1335,0.1298,0.1324,0.1341,0.1341,0.1332,0.135,0.1354,0.132,0.1302
