"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0,0,0,0,0,0,0,0,0,0
"baselineHL",0.0517,0.0516,0.0516,0.0517,0.0515,0.0518,0.0516,0.0517,0.0516,0.0517
"baselineRL",0.0517,0.0516,0.0516,0.0517,0.0515,0.0518,0.0516,0.0517,0.0516,0.0517
"baselineSA",0.0517,0.0515,0.0515,0.0517,0.0515,0.0518,0.0515,0.0517,0.0515,0.0517
"BR-C5.0",0.5245,0.5249,0.5225,0.517,0.5333,0.52,0.5253,0.52,0.5267,0.5146
"BR-LR",0.7284,0.7181,0.7218,0.7245,0.7246,0.7191,0.7179,0.7287,0.7194,0.7289
"BR-RF",0.7648,0.7635,0.7638,0.76,0.7644,0.7564,0.762,0.764,0.7652,0.7636
"BR-SVM",0.7279,0.719,0.721,0.7246,0.7247,0.719,0.7168,0.7287,0.7197,0.7282
"BR-XGB",0.7206,0.7197,0.7256,0.7199,0.7225,0.7181,0.7194,0.72,0.7227,0.7212
"BR+-C5.0",0.5302,0.5283,0.5145,0.5304,0.5259,0.5249,0.5192,0.5256,0.5206,0.5173
"BR+-LR",0.7281,0.7196,0.7215,0.7251,0.7233,0.7197,0.7177,0.7283,0.7197,0.729
"BR+-RF",0.7579,0.7483,0.7478,0.7548,0.7476,0.7489,0.7432,0.7542,0.7479,0.7564
"BR+-SVM",0.7269,0.7183,0.7216,0.7252,0.7245,0.719,0.7177,0.7292,0.7201,0.7288
"BR+-XGB",0.7365,0.7385,0.74,0.7372,0.7373,0.7369,0.7358,0.7395,0.7424,0.7404
"CC-C5.0",0.533,0.535,0.5336,0.5259,0.551,0.5313,0.5357,0.4715,0.5339,0.5214
"CC-LR",0.7282,0.7182,0.7203,0.7248,0.723,0.7197,0.7176,0.728,0.7182,0.7294
"CC-RF",0.7569,0.7609,0.7616,0.7549,0.7647,0.7521,0.7565,0.7577,0.7565,0.7564
"CC-SVM",0.7271,0.7191,0.7204,0.7252,0.7235,0.7202,0.7182,0.728,0.7186,0.7298
"CC-XGB",0.6462,0.665,0.6642,0.6533,0.6601,0.6559,0.6615,0.6527,0.6648,0.6546
"DBR-C5.0",0.5322,0.5264,0.5369,0.5232,0.5388,0.533,0.5252,0.526,0.537,0.5291
