"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0,0,0,0,0,0,0,0,0,0
"baselineHL",0.0588,0.0479,0.0357,0.071,0.0424,0.064,0.071,0.0357,0.0432,0.0629
"baselineRL",0.0235,0.0299,0.0238,0.0296,0.0303,0.0233,0.0296,0.0238,0.0309,0.0229
"baselineSA",0.0882,0.1018,0.1071,0.0828,0.1091,0.0814,0.071,0.0357,0.0679,0.12
"BR-C5.0",0.1353,0.1677,0.1667,0.142,0.1636,0.186,0.1775,0.1786,0.142,0.16
"BR-LR",0.1941,0.0479,0.2202,0.2012,0.2,0.2093,0.213,0.0417,0.179,0.2857
"BR-RF",0.2471,0.2874,0.2798,0.3136,0.2848,0.2616,0.2663,0.2976,0.2778,0.3143
"BR-SVM",0.2059,0.0479,0.1905,0.213,0.2061,0.1919,0.2544,0.0357,0.1728,0.2914
"BR-SVMt",0.1765,0.0359,0.1726,0.2249,0.2,0.2326,0.2012,0.0357,0.1667,0.2457
"BR-XGB",0.2412,0.2934,0.2619,0.2959,0.297,0.2965,0.2663,0.2738,0.3272,0.3486
"BR+-C5.0",0.1353,0.1856,0.1845,0.1893,0.1515,0.1802,0.142,0.1905,0.1481,0.1486
"BR+-LR",0.2118,0.0479,0.2083,0.2249,0.2121,0.2035,0.2485,0.0357,0.1728,0.2857
"BR+-RF",0.2471,0.2874,0.2798,0.3136,0.2788,0.2733,0.2722,0.2857,0.2716,0.3429
"BR+-SVM",0.2176,0.0479,0.2024,0.2249,0.2121,0.2093,0.2722,0.0357,0.1728,0.2914
"BR+-SVMt",0.1941,0.0539,0.2321,0.213,0.2,0.1919,0.1775,0.0595,0.179,0.2571
"BR+-XGB",0.2471,0.2814,0.2679,0.284,0.297,0.2849,0.2663,0.2619,0.321,0.3314
"CC-C5.0",0.1294,0.1856,0.1845,0.1834,0.1697,0.1744,0.1657,0.1905,0.142,0.1429
"CC-LR",0.2118,0.0479,0.1845,0.2189,0.1939,0.1919,0.2544,0.0357,0.1728,0.2971
"CC-RF",0.2412,0.2934,0.2738,0.3254,0.2788,0.2849,0.2722,0.2798,0.2593,0.32
"CC-SVM",0.2118,0.0479,0.1964,0.2189,0.2,0.2035,0.2367,0.0357,0.1728,0.2971
"CC-SVMt",0.1824,0.0539,0.1786,0.2189,0.2121,0.2326,0.1953,0.0655,0.2037,0.2229
"CC-XGB",0.2412,0.2814,0.2619,0.2899,0.2909,0.2965,0.2663,0.2679,0.321,0.3429
"DBR-C5.0",0.1294,0.1856,0.1786,0.1893,0.1515,0.1802,0.142,0.1905,0.1358,0.1486
"DBR-LR",0.2176,0.0479,0.1905,0.2189,0.2121,0.2093,0.2604,0.0357,0.1728,0.2857
"DBR-RF",0.2471,0.2874,0.2798,0.3136,0.2788,0.2733,0.2722,0.2857,0.2716,0.3429
"DBR-SVM",0.2176,0.0479,0.2083,0.2249,0.2061,0.2093,0.2663,0.0357,0.1728,0.2914
"DBR-SVMt",0.1824,0.0359,0.2202,0.2071,0.2061,0.2151,0.1716,0.0536,0.1852,0.2457
"DBR-XGB",0.2471,0.2814,0.2679,0.284,0.297,0.2849,0.2663,0.2619,0.321,0.3314
"EBR-C5.0",0.1824,0.1796,0.2024,0.1775,0.1879,0.2326,0.1716,0.2202,0.1667,0.1829
"EBR-LR",0.0294,0.0299,0.0179,0.071,0.0121,0.0523,0.0237,0.0238,0.0741,0.0343
"EBR-RF",0.2059,0.2335,0.2083,0.1953,0.1879,0.2558,0.2012,0.2143,0.2222,0.2114
"EBR-SVM",0.0412,0.018,0.0357,0.0296,0.0364,0.0291,0.0592,0.0179,0.037,0.0343
"EBR-SVMt",0.0471,0.024,0.0357,0.0533,0.0303,0.0174,0.0178,0.0476,0.0309,0.0629
"EBR-XGB",0.2471,0.2455,0.2619,0.2544,0.2424,0.1628,0.1775,0.2143,0.2469,0.1429
"ECC-C5.0",0.2235,0.1677,0.2679,0.1834,0.2121,0.186,0.1953,0.1905,0.1728,0.1714
"ECC-LR",0.0471,0.0419,0.0357,0.071,0.0303,0.064,0.0592,0.0417,0.0494,0.0229
"ECC-RF",0.1882,0.2515,0.2024,0.1953,0.1939,0.2093,0.1893,0.2083,0.2469,0.2171
"ECC-SVM",0.0471,0.0359,0.0357,0.0769,0.0364,0.0407,0.0296,0.0238,0.0494,0.0571
"ECC-SVMt",0.0471,0.018,0.0238,0.0237,0.0303,0.0349,0.0355,0.0357,0.0247,0.0171
"ECC-XGB",0.2235,0.1796,0.256,0.2604,0.1879,0.2093,0.2485,0.2202,0.2099,0.2
"MBR-C5.0",0.1471,0.1617,0.1607,0.1479,0.1576,0.1628,0.1657,0.1726,0.1358,0.1543
"MBR-LR",0.1941,0.0479,0.2024,0.213,0.0485,0.2035,0.2485,0.0357,0.1728,0.2686
"MBR-RF",0.2529,0.2754,0.2798,0.3254,0.2727,0.2733,0.2663,0.2857,0.2716,0.3371
"MBR-SVM",0.1941,0.0479,0.2083,0.2071,0.1697,0.1977,0.2308,0.0417,0.1852,0.2
"MBR-SVMt",0.1765,0.0719,0.1845,0.213,0.2242,0.1686,0.0947,0.0476,0.1852,0.28
"MBR-XGB",0.2412,0.2934,0.2619,0.2959,0.297,0.2965,0.2663,0.2738,0.3272,0.3486
"NS-C5.0",0.1412,0.1976,0.1786,0.2189,0.1636,0.2151,0.1716,0.1726,0.1914,0.1771
"NS-LR",0.2059,0.0479,0.1905,0.2249,0.1212,0.1744,0.2367,0.0357,0.1358,0.2743
"NS-RF",0.2412,0.2874,0.2738,0.3195,0.2727,0.2907,0.2722,0.2798,0.2593,0.32
"NS-SVM",0.2118,0.0479,0.1786,0.1361,0.1212,0.1919,0.2367,0.0357,0.0926,0.28
"NS-SVMt",0.1353,0.0539,0.1071,0.2249,0.1152,0.1395,0.1183,0.0655,0.1914,0.1486
"NS-XGB",0.2353,0.2814,0.2738,0.284,0.2909,0.3023,0.2604,0.2738,0.321,0.3429
