"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0,4e-04,0,4e-04,4e-04,0,4e-04,0,4e-04,0
"baseline-HL",0.002,0,0,0.002,0,0.002,8e-04,0.0012,0.002,0
"baseline-RL",0,0.0016,0.0016,0,0.0016,0,0,0.0016,0,0.0016
"baseline-SA",0.0116,0.0088,0.0091,0.0113,0.0092,0.012,0.0108,0.0048,0.0117,0.008
"BR-C5.0",0.0024,0.0012,4e-04,0.0028,8e-04,0.0024,0.0016,0.0016,0.0024,0
"BR+-C5.0",0.0032,0.0068,0.0016,0.0028,0.0052,0.0012,0.0016,0.002,0.002,0.0028
"CC-C5.0",0.0032,0.0024,0.0012,0.0052,0.0016,0.004,0.0032,0.0044,0.0044,0.0048
"DBR-C5.0",0.0024,0.002,8e-04,0.0012,0.0024,8e-04,0.0016,0.0016,0.002,0.0016
"EBR-C5.0",0.0048,0.0032,0.0048,0.0036,0.0024,0.0068,0.0056,0.004,0.0073,0.0056
"ECC-C5.0",0.0012,0.0032,0.0044,0.004,0.004,0.0036,0.0056,0.0052,0.004,0.004
"MBR-C5.0",0.0024,8e-04,8e-04,0.0052,0.0032,0.0024,0.0016,0.0012,0.0044,0.0012
"NS-C5.0",0.0024,0.0036,0.0036,0.002,0.0032,0.004,0.004,0.0056,0.0016,0.0024
"PruDent-C5.0",0.0024,0.0012,4e-04,0.0028,8e-04,0.0024,0.0016,0.0016,0.0024,0
"RDBR-C5.0",0.0048,0.0028,0.0016,0.004,0.0048,0.004,0.0012,0.0048,0.002,0.0024
"BR-LR",0.0048,0.0048,0.0028,0.0065,0.0056,0.0048,0.0052,0.0048,0.0056,0.0036
"BR+-LR",0.0149,0.0156,0.0135,0.0161,0.016,0.0172,0.0152,0.0172,0.0133,0.0195
"CC-LR",0.01,0.0124,0.0115,0.0125,0.0112,0.0096,0.0128,0.0148,0.0157,0.0115
"DBR-LR",0.0108,0.014,0.0107,0.0121,0.0112,0.0148,0.0112,0.014,0.0101,0.0127
"EBR-LR",0.0056,0.006,0.0056,0.0073,0.0048,0.0068,0.0088,0.0076,0.0064,0.0064
"ECC-LR",0.0052,0.0072,0.0076,0.0052,0.0064,0.0072,0.0068,0.008,0.006,0.0084
"MBR-LR",0.012,0.012,0.0087,0.0149,0.016,0.0152,0.0116,0.0144,0.0133,0.0111
"NS-LR",0.0096,0.0104,0.0091,0.0117,0.0116,0.014,0.0136,0.01,0.0113,0.0107
"PruDent-LR",0.0084,0.0068,0.0064,0.0052,0.0068,0.0064,0.0068,0.0068,0.0089,0.0044
"RDBR-LR",0.0161,0.0196,0.0207,0.0198,0.0192,0.0184,0.0192,0.0188,0.0185,0.0215
"BR-RF",0.0036,0.0052,0.002,0.0052,0.0048,0.004,0.0052,0.0036,0.0048,0.0024
"BR+-RF",0.0036,0.0056,0.0016,0.0052,0.0048,0.004,0.0052,0.0036,0.0048,0.0036
"CC-RF",0.0036,0.0084,0.0036,0.0069,0.0064,0.0052,0.0052,0.0064,0.0056,0.0052
"DBR-RF",0.0028,0.0048,0.0024,0.0052,0.004,0.004,0.004,0.0036,0.0044,0.0044
"EBR-RF",0.002,0.0028,0.0024,0.0048,0.0024,0.0044,0.0048,0.004,0.004,0.0032
"ECC-RF",0.0044,0.0036,0.0032,0.0048,0.0064,0.0072,0.0048,0.0028,0.0077,0.0052
"MBR-RF",0.0024,0.0044,0.0024,0.006,0.0052,0.0048,0.0056,0.0052,0.0048,0.0032
"NS-RF",0.0028,0.0084,0.0044,0.0077,0.0096,0.0048,0.0068,0.0068,0.0048,0.0076
"PruDent-RF",0.0024,0.006,0.0012,0.0048,0.004,0.004,0.0048,0.0036,0.0048,0.0024
"RDBR-RF",0.004,0.006,0.002,0.0065,0.0048,0.0048,0.0048,0.0044,0.0052,0.0028
"BR-SVM",0.004,0.0048,0.0036,0.0052,0.0048,0.0052,0.0056,0.0048,0.0081,0.004
"BR+-SVM",0.0129,0.0144,0.0171,0.0169,0.0176,0.0156,0.016,0.018,0.0133,0.0187
"CC-SVM",0.01,0.0112,0.0103,0.0109,0.0116,0.0096,0.0124,0.0144,0.0149,0.0139
"DBR-SVM",0.0088,0.0124,0.0111,0.0117,0.012,0.014,0.0112,0.0128,0.0097,0.0131
"EBR-SVM",0.0116,0.0116,0.0131,0.0125,0.0152,0.0112,0.0104,0.014,0.0105,0.0151
"ECC-SVM",0.0133,0.016,0.0143,0.0153,0.0116,0.0128,0.0092,0.0144,0.0093,0.0119
"MBR-SVM",0.0116,0.0112,0.0107,0.0137,0.014,0.0132,0.0116,0.0144,0.0129,0.0115
"NS-SVM",0.0108,0.0104,0.0103,0.0125,0.0108,0.0136,0.0136,0.0096,0.0109,0.0096
"PruDent-SVM",0.0052,0.0052,0.004,0.0056,0.0052,0.006,0.0048,0.0048,0.0081,0.0036
"RDBR-SVM",0.0157,0.0212,0.0167,0.0173,0.0192,0.02,0.0192,0.0244,0.0161,0.0179
"BR-SVMt",0.0133,0.0116,0.0107,0.0137,0.0144,0.0104,0.0128,0.0096,0.0157,0.0115
"BR+-SVMt",0.0217,0.022,0.0215,0.0242,0.0228,0.0256,0.0224,0.0224,0.0258,0.0227
"CC-SVMt",0.0257,0.0259,0.0223,0.0246,0.028,0.0252,0.0244,0.0228,0.0274,0.0231
"DBR-SVMt",0.0177,0.0172,0.0167,0.0157,0.0184,0.0164,0.0148,0.0188,0.0218,0.0175
"EBR-SVMt",0.0096,0.0096,0.0076,0.0113,0.0092,0.01,0.01,0.0148,0.0101,0.0115
"ECC-SVMt",0.0112,0.0204,0.0155,0.0125,0.012,0.0172,0.0088,0.0128,0.0145,0.0191
"MBR-SVMt",0.0181,0.0164,0.0155,0.0185,0.0224,0.0168,0.0172,0.014,0.0177,0.0135
"NS-SVMt",0.0273,0.0291,0.0171,0.0254,0.0296,0.0272,0.0272,0.022,0.029,0.0259
"PruDent-SVMt",0.0104,0.014,0.0111,0.0141,0.0136,0.0108,0.0112,0.0108,0.0169,0.0155
"RDBR-SVMt",0.0313,0.0287,0.0254,0.0306,0.0304,0.0268,0.03,0.0272,0.029,0.0318
"BR-XGB",0.0072,0.0056,0.0048,0.0069,0.0076,0.0088,0.0048,0.0088,0.006,0.0076
"BR+-XGB",0.0108,0.0116,0.0095,0.0093,0.0112,0.01,0.0092,0.0136,0.0113,0.0123
"CC-XGB",0.0137,0.0164,0.0139,0.0149,0.0172,0.0132,0.014,0.0152,0.0129,0.0187
"DBR-XGB",0.008,0.0088,0.0036,0.0069,0.008,0.008,0.0068,0.0092,0.0089,0.0099
"EBR-XGB",0.0068,0.0068,0.0095,0.0089,0.0088,0.0076,0.0076,0.0076,0.0105,0.0076
"ECC-XGB",0.0076,0.0096,0.0083,0.0109,0.01,0.0072,0.0084,0.0064,0.0117,0.0084
"MBR-XGB",0.0092,0.0088,0.0087,0.0097,0.0128,0.01,0.0072,0.0104,0.0064,0.0107
"NS-XGB",0.0133,0.0184,0.0151,0.0125,0.0144,0.014,0.016,0.016,0.0121,0.0175
"PruDent-XGB",0.0072,0.0056,0.0048,0.0069,0.0076,0.0088,0.0048,0.0088,0.006,0.0076
"RDBR-XGB",0.0133,0.0144,0.0111,0.0121,0.014,0.0128,0.012,0.012,0.0105,0.0139
