"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0012,0,0.0012,0,0,0.0012,0,0.0012,0,0.0012
"baseline-HL",0.0024,0,0,0.0023,0.0023,0,0,0.0023,0.0024,0
"baseline-RL",0,0,0,0,0,0,0,0,0,0
"baseline-SA",0.0716,0.0347,0.105,0.089,0.0915,0.1024,0.0865,0.1072,0.1037,0.0903
"BR-C5.0",0.1038,0.1377,0.1285,0.0902,0.1185,0.1318,0.0948,0.1364,0.1343,0.0985
"BR+-C5.0",0.1134,0.147,0.1592,0.1347,0.1385,0.1565,0.1256,0.1573,0.1508,0.1079
"CC-C5.0",0.1122,0.1447,0.1439,0.103,0.1502,0.1424,0.1173,0.1503,0.1461,0.1043
"DBR-C5.0",0.0955,0.1389,0.1415,0.1124,0.1197,0.1353,0.1078,0.1305,0.1366,0.095
"EBR-C5.0",0.111,0.1366,0.1392,0.1206,0.1068,0.1494,0.1126,0.1317,0.1366,0.1114
"ECC-C5.0",0.148,0.1574,0.1344,0.1393,0.1362,0.1553,0.1232,0.1527,0.1673,0.1348
"MBR-C5.0",0.105,0.1389,0.1321,0.0913,0.1185,0.1329,0.0983,0.1364,0.1331,0.0996
"NS-C5.0",0.1372,0.1586,0.1368,0.1382,0.1397,0.1494,0.128,0.141,0.1649,0.1208
"PruDent-C5.0",0.099,0.1412,0.1285,0.0984,0.1209,0.1365,0.1078,0.1457,0.1413,0.102
"RDBR-C5.0",0.1134,0.147,0.1604,0.13,0.1455,0.1447,0.1185,0.155,0.1508,0.1172
"BR-LR",0.0955,0.1262,0.1238,0.1112,0.1232,0.1294,0.1173,0.1247,0.1307,0.1125
"BR+-LR",0.1169,0.1273,0.1403,0.1253,0.1385,0.1494,0.1232,0.1352,0.1461,0.1219
"CC-LR",0.111,0.1192,0.1238,0.1183,0.1256,0.1365,0.1209,0.1224,0.1307,0.1161
"DBR-LR",0.1169,0.125,0.138,0.1253,0.1326,0.1435,0.1232,0.134,0.1437,0.1208
"EBR-LR",0.1014,0.0718,0.0566,0.0855,0.088,0.0965,0.0972,0.0862,0.1025,0.0903
"ECC-LR",0.099,0.0845,0.0708,0.1112,0.1174,0.1059,0.09,0.1387,0.1307,0.1149
"MBR-LR",0.099,0.1215,0.1262,0.1148,0.1244,0.1353,0.1197,0.127,0.1272,0.1125
"NS-LR",0.1265,0.1308,0.1509,0.1311,0.1408,0.16,0.1327,0.141,0.1508,0.1407
"PruDent-LR",0.1062,0.125,0.1226,0.1206,0.1244,0.1424,0.122,0.12,0.1331,0.1208
"RDBR-LR",0.1169,0.147,0.1474,0.1288,0.1385,0.1494,0.128,0.141,0.1543,0.1325
"BR-RF",0.1205,0.1574,0.1533,0.1241,0.1385,0.1424,0.1315,0.1515,0.1484,0.1208
"BR+-RF",0.1289,0.1667,0.1663,0.1323,0.1444,0.1541,0.1422,0.169,0.1673,0.136
"CC-RF",0.1181,0.1586,0.1568,0.123,0.1397,0.1447,0.1303,0.1562,0.1543,0.1266
"DBR-RF",0.1301,0.1655,0.1639,0.1347,0.1432,0.1518,0.1398,0.1678,0.1661,0.1325
"EBR-RF",0.0979,0.1273,0.1368,0.1019,0.1185,0.1294,0.1209,0.1399,0.1366,0.1137
"ECC-RF",0.1014,0.1447,0.145,0.1148,0.1232,0.14,0.1185,0.1469,0.1519,0.1196
"MBR-RF",0.1158,0.1609,0.1521,0.1241,0.1373,0.1494,0.1339,0.1492,0.1543,0.1266
"NS-RF",0.148,0.1701,0.1804,0.1534,0.1596,0.1706,0.1576,0.1783,0.1837,0.1489
"PruDent-RF",0.1134,0.1644,0.158,0.1253,0.1385,0.1471,0.1291,0.1515,0.1519,0.1278
"RDBR-RF",0.1289,0.169,0.1675,0.1323,0.1491,0.1541,0.1445,0.1725,0.1673,0.1383
"BR-SVM",0.0931,0.1227,0.1191,0.1124,0.1244,0.1306,0.1197,0.1154,0.1272,0.1125
"BR+-SVM",0.111,0.1296,0.1392,0.1183,0.1362,0.1459,0.1315,0.1294,0.1461,0.1219
"CC-SVM",0.1062,0.1157,0.1226,0.1183,0.1244,0.1365,0.1244,0.12,0.1296,0.1161
"DBR-SVM",0.1098,0.1285,0.1368,0.1206,0.1338,0.1435,0.1303,0.1282,0.1437,0.1231
"EBR-SVM",0.0871,0.103,0.1262,0.0972,0.1068,0.1247,0.1149,0.1154,0.106,0.0926
"ECC-SVM",0.105,0.1123,0.1439,0.0995,0.1138,0.1259,0.1149,0.134,0.1284,0.1043
"MBR-SVM",0.1026,0.1285,0.1191,0.1136,0.1256,0.1282,0.1209,0.1212,0.1284,0.1125
"NS-SVM",0.1241,0.1366,0.145,0.1323,0.142,0.1588,0.1363,0.141,0.1496,0.1383
"PruDent-SVM",0.1074,0.1285,0.1274,0.1183,0.1268,0.1329,0.1197,0.1247,0.1296,0.1161
"RDBR-SVM",0.111,0.1447,0.1474,0.123,0.1362,0.1482,0.1327,0.1387,0.1519,0.1243
"BR-SVMt",0.0943,0.1516,0.1486,0.1206,0.1385,0.1412,0.1351,0.1387,0.1425,0.1208
"BR+-SVMt",0.1325,0.1644,0.158,0.1534,0.142,0.1506,0.16,0.1585,0.1684,0.1313
"CC-SVMt",0.1241,0.1516,0.1627,0.1347,0.1432,0.1553,0.1457,0.148,0.1578,0.1325
"DBR-SVMt",0.1193,0.162,0.1474,0.1487,0.142,0.1612,0.1528,0.162,0.1649,0.1172
"EBR-SVMt",0.0919,0.0775,0.0802,0.1101,0.1209,0.1282,0.1126,0.12,0.0942,0.1184
"ECC-SVMt",0.0919,0.0764,0.1368,0.1077,0.1185,0.1424,0.1185,0.0944,0.1355,0.1079
"MBR-SVMt",0.1146,0.1551,0.1486,0.1253,0.142,0.1471,0.1374,0.1457,0.1555,0.1243
"NS-SVMt",0.1492,0.1562,0.1604,0.1511,0.1479,0.1659,0.1694,0.1387,0.1767,0.143
"PruDent-SVMt",0.1229,0.1574,0.1509,0.1206,0.1291,0.1459,0.141,0.134,0.1543,0.1301
"RDBR-SVMt",0.1337,0.1562,0.1686,0.1522,0.1526,0.1729,0.1505,0.1608,0.1743,0.1407
"BR-XGB",0.1253,0.1609,0.1592,0.1323,0.1432,0.1612,0.1398,0.148,0.1602,0.1313
"BR+-XGB",0.1444,0.1852,0.171,0.1639,0.1467,0.1776,0.16,0.1783,0.1743,0.1571
"CC-XGB",0.1504,0.1748,0.171,0.1581,0.1514,0.1682,0.1611,0.1795,0.1779,0.1501
"DBR-XGB",0.1348,0.1748,0.1592,0.1464,0.1338,0.1694,0.1493,0.1632,0.1661,0.1419
"EBR-XGB",0.1253,0.1493,0.1568,0.1265,0.1455,0.1541,0.1327,0.1702,0.1649,0.1395
"ECC-XGB",0.1504,0.1551,0.1639,0.1534,0.142,0.1753,0.1398,0.1678,0.1673,0.1477
"MBR-XGB",0.1253,0.1609,0.1592,0.1311,0.142,0.1612,0.1386,0.1492,0.159,0.1313
"NS-XGB",0.1671,0.1817,0.1769,0.178,0.1702,0.1871,0.1647,0.1795,0.1767,0.1676
"PruDent-XGB",0.136,0.169,0.1627,0.1405,0.1467,0.1624,0.1469,0.1527,0.1649,0.1383
"RDBR-XGB",0.148,0.1782,0.1757,0.1604,0.1514,0.1765,0.1635,0.1783,0.1802,0.1547
