"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0,0,0,0,0,0,0,0,0,0
"baselineHL",0.0894,0.0547,0.1032,0.048,0.1032,0.048,0.104,0.0476,0.0894,0.0469
"baselineRL",0.0894,0.0547,0.1032,0.048,0.1032,0.048,0.104,0.0476,0.0894,0.0469
"baselineSA",0.0894,0.0703,0.1032,0.096,0.1032,0.096,0.104,0.0952,0.0894,0.1094
"BR-C5.0",0.1382,0.1953,0.1984,0.184,0.1667,0.24,0.168,0.2063,0.2439,0.1172
"BR-LR",0.4553,0.4531,0.4048,0.424,0.4206,0.44,0.432,0.4286,0.4228,0.4453
"BR-RF",0.3984,0.3984,0.3968,0.368,0.4127,0.392,0.416,0.381,0.4228,0.3906
"BR-SVM",0.4472,0.4375,0.4365,0.424,0.4365,0.432,0.44,0.4206,0.4146,0.4766
"BR-SVMt",0.4228,0.4453,0.3571,0.408,0.4683,0.424,0.464,0.4127,0.4146,0.4375
"BR-XGB",0.4146,0.3906,0.381,0.392,0.3889,0.432,0.344,0.3175,0.4146,0.3828
"BR+-C5.0",0.1382,0.1953,0.1746,0.192,0.1746,0.2,0.168,0.2063,0.2439,0.1484
"BR+-LR",0.4228,0.4219,0.4206,0.384,0.4683,0.384,0.432,0.3889,0.439,0.4766
"BR+-RF",0.4228,0.4141,0.3889,0.336,0.4048,0.4,0.392,0.3968,0.4146,0.3984
"BR+-SVM",0.4309,0.4453,0.4206,0.416,0.4365,0.424,0.432,0.4206,0.4146,0.4766
"BR+-SVMt",0.4634,0.4297,0.3413,0.384,0.4127,0.424,0.432,0.4524,0.4065,0.4297
"BR+-XGB",0.4228,0.3672,0.373,0.376,0.4048,0.416,0.352,0.3492,0.4146,0.3906
"CC-C5.0",0.1382,0.1953,0.1984,0.2,0.1746,0.224,0.168,0.2063,0.2439,0.1562
"CC-LR",0.4634,0.4375,0.4206,0.392,0.4127,0.432,0.44,0.4206,0.439,0.4844
"CC-RF",0.4309,0.3984,0.3968,0.36,0.4127,0.376,0.376,0.3889,0.4146,0.3906
"CC-SVM",0.4472,0.4375,0.4365,0.44,0.4286,0.432,0.448,0.4206,0.4146,0.4688
"CC-SVMt",0.4472,0.4375,0.4206,0.392,0.4444,0.448,0.448,0.4127,0.4065,0.4531
"CC-XGB",0.4228,0.3828,0.373,0.384,0.4048,0.424,0.36,0.3413,0.4228,0.3828
"DBR-C5.0",0.1382,0.1875,0.1746,0.192,0.1746,0.2,0.168,0.2063,0.2439,0.1406
"DBR-LR",0.4228,0.3984,0.4206,0.392,0.4683,0.384,0.44,0.4127,0.4472,0.4609
