"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0,0,0,0,0,0,0,0,0,0
"baseline-HL",0.1678,0.1732,0.1742,0.1668,0.1668,0.1742,0.1796,0.1613,0.1695,0.1715
"baseline-RL",0.1678,0.1732,0.1742,0.1668,0.1668,0.1742,0.1796,0.1613,0.1695,0.1715
"baseline-SA",0.1878,0.1902,0.1902,0.1878,0.1968,0.1812,0.1815,0.1966,0.1944,0.1836
"BR-C5.0",0.3207,0.3493,0.3393,0.3237,0.3087,0.3303,0.3204,0.3236,0.341,0.3079
"BR+-C5.0",0.3556,0.3764,0.3854,0.3766,0.3606,0.3544,0.3889,0.375,0.3948,0.3721
"CC-C5.0",0.3736,0.3614,0.3674,0.3786,0.3686,0.3554,0.3661,0.3548,0.3659,0.349
"DBR-C5.0",0.3317,0.3674,0.3644,0.3636,0.3367,0.3473,0.3611,0.3407,0.3679,0.329
"EBR-C5.0",0.4565,0.4154,0.4374,0.4216,0.4176,0.4004,0.4306,0.4274,0.4447,0.4313
"ECC-C5.0",0.4825,0.4735,0.4735,0.4665,0.3946,0.4705,0.4663,0.4698,0.4776,0.4764
"MBR-C5.0",0.3197,0.3674,0.3403,0.3307,0.3217,0.3453,0.3393,0.3407,0.338,0.3049
"NS-C5.0",0.3746,0.3644,0.3624,0.3516,0.3487,0.3604,0.3571,0.3831,0.3699,0.3631
"PruDent-C5.0",0.3576,0.3984,0.3804,0.3457,0.3566,0.3604,0.3482,0.371,0.3589,0.3581
"RDBR-C5.0",0.3766,0.3674,0.3924,0.3786,0.3796,0.3724,0.3889,0.374,0.4187,0.3761
"BR-LR",0.5465,0.5405,0.5295,0.5524,0.5365,0.5295,0.5595,0.5383,0.5484,0.5306
"BR+-LR",0.5455,0.5415,0.5325,0.5564,0.5405,0.5265,0.5645,0.5393,0.5533,0.5376
"CC-LR",0.5425,0.5345,0.5215,0.5554,0.5365,0.5255,0.5556,0.5373,0.5503,0.5346
"DBR-LR",0.5435,0.5405,0.5295,0.5594,0.5395,0.5275,0.5625,0.5353,0.5503,0.5336
"EBR-LR",0.4905,0.4995,0.4805,0.5035,0.4795,0.4795,0.4911,0.4869,0.4875,0.4915
"ECC-LR",0.4935,0.5045,0.4935,0.5035,0.4965,0.5015,0.503,0.4909,0.5035,0.5045
"MBR-LR",0.5455,0.5425,0.5335,0.5514,0.5345,0.5295,0.5645,0.5333,0.5484,0.5316
"NS-LR",0.5495,0.5395,0.5375,0.5574,0.5345,0.5325,0.5675,0.5413,0.5474,0.5346
"PruDent-LR",0.5435,0.5405,0.5255,0.5524,0.5365,0.5275,0.5595,0.5343,0.5474,0.5336
