"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0,0,0,0,0,0,0,0,0,0
"baselineHL",0.0987,0.0885,0.0912,0.096,0.0902,0.097,0.09,0.0972,0.0956,0.0915
"baselineRL",0.0987,0.0885,0.0912,0.096,0.0902,0.097,0.09,0.0972,0.0956,0.0915
"baselineSA",0.0987,0.0885,0.0912,0.096,0.0902,0.097,0.09,0.0972,0.0956,0.0915
"BR-C5.0",0.1438,0.1586,0.1559,0.1128,0.1419,0.1421,0.1417,0.1173,0.1544,0.1631
"BR-LR",0.204,0.2254,0.209,0.2088,0.207,0.2074,0.215,0.2127,0.2215,0.213
"BR-RF",0.204,0.2337,0.2239,0.2172,0.2354,0.2174,0.2333,0.2127,0.2181,0.2263
"BR-SVM",0.204,0.227,0.2073,0.2071,0.202,0.204,0.22,0.2161,0.2282,0.2063
"BR-SVMt",0.204,0.2187,0.2156,0.2088,0.217,0.2007,0.2217,0.2194,0.2282,0.1997
"BR-XGB",0.2191,0.207,0.199,0.2003,0.2154,0.1873,0.215,0.1943,0.2114,0.2146
"BR+-C5.0",0.1555,0.1519,0.1426,0.1347,0.1386,0.1304,0.1517,0.129,0.1695,0.1431
"BR+-LR",0.2157,0.2187,0.2073,0.2088,0.2037,0.2124,0.2133,0.2144,0.2114,0.2113
"BR+-RF",0.2023,0.2237,0.2206,0.2222,0.227,0.204,0.225,0.206,0.2114,0.2396
"BR+-SVM",0.2074,0.222,0.2139,0.2121,0.202,0.2124,0.2167,0.2144,0.2299,0.203
"BR+-SVMt",0.194,0.2187,0.2206,0.2088,0.2187,0.2107,0.2267,0.206,0.2215,0.2047
"BR+-XGB",0.2057,0.2104,0.2023,0.2003,0.2037,0.194,0.2183,0.206,0.203,0.2313
"CC-C5.0",0.1421,0.1553,0.1625,0.1263,0.1419,0.1388,0.15,0.129,0.1359,0.1547
"CC-LR",0.2007,0.217,0.2023,0.2104,0.2104,0.2074,0.2133,0.2077,0.2232,0.2097
"CC-RF",0.2007,0.2187,0.2189,0.2088,0.222,0.2191,0.24,0.2027,0.2399,0.2346
"CC-SVM",0.2057,0.227,0.2172,0.2121,0.2003,0.2074,0.22,0.2178,0.2315,0.203
"CC-SVMt",0.1856,0.227,0.2189,0.2155,0.2137,0.2057,0.225,0.2127,0.2265,0.2063
"CC-XGB",0.2107,0.212,0.2023,0.1919,0.2154,0.194,0.2133,0.2094,0.2047,0.2296
"DBR-C5.0",0.1555,0.1519,0.141,0.1347,0.1386,0.1288,0.15,0.1273,0.1678,0.1448
"DBR-LR",0.2057,0.2154,0.2056,0.2155,0.2053,0.2057,0.21,0.2211,0.2232,0.2113
"DBR-RF",0.2007,0.222,0.2189,0.2205,0.227,0.204,0.225,0.206,0.2148,0.2396
"DBR-SVM",0.2074,0.2237,0.2123,0.2088,0.202,0.2074,0.2167,0.2161,0.2315,0.2047
"DBR-SVMt",0.1923,0.2154,0.204,0.202,0.2053,0.2023,0.2083,0.2161,0.2097,0.208
"DBR-XGB",0.2023,0.2087,0.204,0.2037,0.202,0.1957,0.2217,0.2044,0.203,0.2296
"EBR-C5.0",0.1171,0.1669,0.1161,0.1044,0.1152,0.1221,0.1233,0.1206,0.1174,0.1414
"EBR-LR",0.1488,0.1536,0.1443,0.1549,0.1569,0.1622,0.1583,0.1524,0.1594,0.1398
"EBR-RF",0.1672,0.197,0.1824,0.1801,0.192,0.1689,0.185,0.1642,0.1628,0.1913
"EBR-SVM",0.1522,0.1636,0.1476,0.1515,0.1419,0.1572,0.145,0.1558,0.1493,0.1597
"EBR-SVMt",0.1421,0.1569,0.1393,0.1515,0.1553,0.1589,0.15,0.1491,0.151,0.1564
"EBR-XGB",0.194,0.2037,0.1824,0.1801,0.1987,0.1756,0.195,0.1792,0.1711,0.183
"ECC-C5.0",0.1488,0.1152,0.1277,0.1263,0.0968,0.1254,0.1017,0.1407,0.1225,0.1331
"ECC-LR",0.1605,0.1619,0.1625,0.1532,0.1636,0.1722,0.155,0.1591,0.1527,0.1631
"ECC-RF",0.1689,0.1803,0.1791,0.1751,0.202,0.1756,0.1867,0.1658,0.1661,0.1897
"ECC-SVM",0.1472,0.1553,0.136,0.1515,0.1386,0.1438,0.1483,0.1524,0.1577,0.1614
"ECC-SVMt",0.1438,0.1519,0.136,0.138,0.1553,0.1371,0.1433,0.139,0.151,0.1564
