"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0041,0.005,0.004,0.0051,0.004,0.0051,0.0038,0.0053,0.004,0.0051
"baseline-HL",0.0551,0.0517,0.0523,0.0545,0.0539,0.053,0.0545,0.0523,0.0549,0.052
"baseline-RL",0,0,0,0,0,0,0,0,0,0
"baseline-SA",0.0565,0.0556,0.0544,0.0577,0.0567,0.0553,0.0557,0.0564,0.0549,0.0571
"BR-C5.0",0.079,0.0726,0.0771,0.0725,0.0767,0.0755,0.0742,0.0732,0.0775,0.0723
"BR+-C5.0",0.0965,0.094,0.1028,0.0996,0.0982,0.0947,0.0984,0.0953,0.0994,0.0972
"CC-C5.0",0.1113,0.1088,0.1084,0.1114,0.1068,0.1104,0.1102,0.1064,0.1098,0.1087
"DBR-C5.0",0.0841,0.0808,0.0878,0.0855,0.0858,0.0839,0.0844,0.0827,0.0871,0.0822
"EBR-C5.0",0.0847,0.0854,0.083,0.0876,0.085,0.088,0.0816,0.0871,0.0816,0.0821
"ECC-C5.0",0.0992,0.0989,0.0946,0.1003,0.0946,0.0934,0.0966,0.1013,0.0948,0.0986
"MBR-C5.0",0.0959,0.09,0.0948,0.0927,0.0971,0.0903,0.0934,0.0909,0.0933,0.0905
"NS-C5.0",0.1005,0.1004,0.0992,0.1049,0.0957,0.0991,0.1014,0.0983,0.0991,0.1022
"PruDent-C5.0",0.0887,0.0831,0.0901,0.0836,0.0875,0.0853,0.0849,0.0847,0.0888,0.0818
"RDBR-C5.0",0.1061,0.1,0.1077,0.1079,0.1045,0.1048,0.1069,0.1015,0.1043,0.1069
"BR-LR",0.1128,0.1103,0.1118,0.1118,0.1119,0.1132,0.1133,0.1111,0.1126,0.11
"BR+-LR",0.1315,0.1239,0.1245,0.1298,0.1256,0.1285,0.1279,0.1269,0.1265,0.1273
"CC-LR",0.1381,0.1285,0.1279,0.1359,0.129,0.1324,0.134,0.1305,0.1311,0.132
"DBR-LR",0.1252,0.1183,0.1197,0.1235,0.1202,0.1223,0.1224,0.1211,0.1208,0.12
"EBR-LR",0.0826,0.0856,0.0856,0.0884,0.0841,0.087,0.0824,0.0857,0.0834,0.0832
"ECC-LR",0.0894,0.0882,0.087,0.0905,0.0877,0.091,0.0879,0.0916,0.0876,0.0916
"MBR-LR",0.1168,0.1126,0.1146,0.1143,0.1141,0.1162,0.1158,0.1141,0.1159,0.1135
"NS-LR",0.1248,0.1206,0.1208,0.1238,0.1221,0.1238,0.1231,0.1223,0.1233,0.1222
"PruDent-LR",0.1135,0.1128,0.1145,0.1131,0.1146,0.1144,0.115,0.1134,0.1152,0.1123
"RDBR-LR",0.143,0.1344,0.135,0.1406,0.132,0.1417,0.1386,0.132,0.1369,0.1318
"BR-RF",0.1486,0.1436,0.144,0.1466,0.1471,0.1427,0.1475,0.1449,0.1483,0.1464
"BR+-RF",0.1704,0.1665,0.1673,0.1714,0.17,0.1704,0.1722,0.1688,0.1695,0.1704
"CC-RF",0.1614,0.1555,0.1565,0.1594,0.1601,0.1579,0.1596,0.1581,0.1599,0.1598
"DBR-RF",0.1634,0.16,0.1591,0.1643,0.1632,0.1602,0.1657,0.1614,0.1616,0.1633
"EBR-RF",0.1338,0.133,0.1323,0.1316,0.1341,0.1322,0.1339,0.132,0.1308,0.1351
"ECC-RF",0.1525,0.1485,0.1473,0.1519,0.1528,0.1512,0.1497,0.148,0.1515,0.1492
"MBR-RF",0.1485,0.1425,0.1446,0.1464,0.1479,0.1419,0.148,0.1446,0.1477,0.1458
"NS-RF",0.1614,0.158,0.1572,0.1598,0.1602,0.1582,0.1611,0.1593,0.1603,0.1593
"PruDent-RF",0.1516,0.1489,0.1508,0.1524,0.1527,0.1493,0.1535,0.1511,0.152,0.1505
"RDBR-RF",0.171,0.168,0.1699,0.1725,0.1711,0.1675,0.17,0.1698,0.171,0.1718
"BR-SVM",0.1133,0.1107,0.1124,0.1118,0.1117,0.1133,0.1132,0.1113,0.1132,0.1102
"BR+-SVM",0.132,0.1239,0.1249,0.1302,0.1251,0.1286,0.128,0.127,0.1257,0.1276
"CC-SVM",0.1374,0.1285,0.1281,0.1356,0.1299,0.1329,0.1338,0.1301,0.1313,0.132
"DBR-SVM",0.1251,0.1182,0.1194,0.1237,0.1204,0.1229,0.1223,0.1213,0.1211,0.1203
"EBR-SVM",0.0961,0.0936,0.0941,0.094,0.0938,0.0945,0.0956,0.0951,0.0914,0.0939
"ECC-SVM",0.1207,0.1011,0.1013,0.0995,0.1162,0.1022,0.1014,0.1029,0.0994,0.1017
"MBR-SVM",0.1177,0.1133,0.1155,0.1146,0.1142,0.1161,0.1173,0.1147,0.1162,0.1139
"NS-SVM",0.1244,0.1202,0.1208,0.1235,0.122,0.1232,0.1231,0.1222,0.1231,0.1228
"PruDent-SVM",0.119,0.1163,0.1162,0.1178,0.1177,0.1186,0.1198,0.1164,0.1175,0.1152
"RDBR-SVM",0.1433,0.1334,0.1369,0.1427,0.1355,0.1327,0.1394,0.1331,0.1401,0.1397
"BR-SVMt",0.2081,0.2074,0.2065,0.2077,0.1988,0.2006,0.21,0.2092,0.2077,0.209
"BR+-SVMt",0.225,0.2237,0.2243,0.2316,0.2243,0.2306,0.229,0.2245,0.2231,0.2249
"CC-SVMt",0.2186,0.2233,0.2175,0.2256,0.2227,0.2199,0.2233,0.2189,0.2238,0.2184
"DBR-SVMt",0.2169,0.216,0.2174,0.2239,0.2162,0.2241,0.2214,0.2164,0.2156,0.2225
"EBR-SVMt",0.1426,0.1476,0.1452,0.1469,0.1466,0.1466,0.1457,0.1426,0.1442,0.1462
"ECC-SVMt",0.1908,0.1839,0.1645,0.1926,0.1893,0.1709,0.148,0.1512,0.182,0.1495
"MBR-SVMt",0.2112,0.2135,0.2101,0.2113,0.21,0.2117,0.2117,0.2109,0.2112,0.211
"NS-SVMt",0.2196,0.2195,0.223,0.2192,0.2226,0.2264,0.2226,0.2206,0.2193,0.227
