"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0,0,0,0,0,0,0,0,0,0
"baseline-HL",0.0487,0.0541,0.0476,0.0552,0.0573,0.0455,0.0579,0.045,0.0446,0.0583
"baseline-RL",0.0487,0.0541,0.0034,0.0552,0.0573,0.0455,0.0579,0.0034,0.0446,0.0583
"baseline-SA",0.0795,0.0846,0.0829,0.0811,0.0807,0.0833,0.0802,0.0838,0.0822,0.0818
"BR-C5.0",0.0487,0.0423,0.0442,0.042,0.049,0.0413,0.053,0.0279,0.0377,0.0583
"BR+-C5.0",0.0637,0.0659,0.0605,0.0566,0.0621,0.0716,0.0656,0.0682,0.0576,0.0666
"CC-C5.0",0.074,0.0666,0.07,0.0776,0.0835,0.0792,0.0676,0.0784,0.0713,0.07
"DBR-C5.0",0.048,0.0402,0.0428,0.0378,0.0469,0.0434,0.0481,0.0354,0.0336,0.0492
"EBR-C5.0",0.0596,0.0257,0.0544,0.0657,0.0635,0.0661,0.0251,0.0634,0.0699,0.0264
"ECC-C5.0",0.0747,0.0381,0.07,0.0329,0.0297,0.0696,0.0704,0.0402,0.0727,0.025
"MBR-C5.0",0.0493,0.043,0.0387,0.042,0.0497,0.0441,0.0502,0.0341,0.0356,0.0479
"NS-C5.0",0.0583,0.0818,0.0578,0.1028,0.0814,0.0723,0.0725,0.0852,0.072,0.0846
"PruDent-C5.0",0.0596,0.0596,0.0537,0.0615,0.0676,0.0572,0.0732,0.0409,0.048,0.0714
"RDBR-C5.0",0.0775,0.0791,0.0884,0.0741,0.0725,0.0737,0.0823,0.0743,0.0727,0.0943
"BR-LR",0.1371,0.1609,0.1441,0.1455,0.158,0.1371,0.1471,0.1377,0.1405,0.1546
"BR+-LR",0.1487,0.1602,0.1632,0.1657,0.1684,0.1529,0.1562,0.1581,0.1666,0.1574
"CC-LR",0.1419,0.1692,0.157,0.1531,0.1615,0.146,0.1534,0.1581,0.1563,0.1581
"DBR-LR",0.1432,0.1637,0.1618,0.1594,0.1629,0.1426,0.1541,0.1554,0.1549,0.1595
"EBR-LR",0.0473,0.0534,0.0503,0.0441,0.0483,0.0579,0.0397,0.0395,0.0521,0.043
"ECC-LR",0.096,0.0936,0.0891,0.0909,0.0518,0.1026,0.1074,0.0525,0.0569,0.0881
"MBR-LR",0.1446,0.1616,0.1523,0.1503,0.1567,0.1433,0.1534,0.1425,0.146,0.1581
"NS-LR",0.1508,0.1595,0.1523,0.1469,0.1643,0.1377,0.1569,0.15,0.0624,0.1505
"PruDent-LR",0.1439,0.1581,0.1496,0.1483,0.1608,0.1419,0.1548,0.1466,0.1453,0.1595
"RDBR-LR",0.1528,0.1741,0.1632,0.172,0.1781,0.1556,0.166,0.1656,0.1645,0.1623
"BR-RF",0.1206,0.1345,0.1176,0.1413,0.1332,0.124,0.1339,0.1186,0.1213,0.1408
"BR+-RF",0.1419,0.1498,0.1346,0.1559,0.1491,0.1384,0.1541,0.1404,0.1378,0.1533
"CC-RF",0.1295,0.1429,0.1346,0.1469,0.1477,0.1309,0.145,0.1275,0.133,0.1505
"DBR-RF",0.1254,0.1422,0.1203,0.1406,0.1346,0.1281,0.1395,0.1254,0.1268,0.1422
"EBR-RF",0.0493,0.0513,0.0564,0.0531,0.0497,0.0523,0.0551,0.0464,0.0459,0.0576
"ECC-RF",0.0514,0.0534,0.0449,0.0601,0.049,0.0489,0.0572,0.0498,0.05,0.0569
"MBR-RF",0.1165,0.1345,0.1224,0.1329,0.1346,0.1164,0.1339,0.1207,0.1138,0.138
"NS-RF",0.1337,0.1429,0.1346,0.1469,0.1504,0.1309,0.145,0.1275,0.1357,0.1505
"PruDent-RF",0.1289,0.1415,0.1346,0.1434,0.1491,0.1309,0.1485,0.1316,0.1206,0.1442
"RDBR-RF",0.1494,0.156,0.1394,0.1559,0.1594,0.1426,0.1597,0.1425,0.1467,0.1623
"BR-SVM",0.1405,0.156,0.1475,0.1455,0.1553,0.135,0.1527,0.1377,0.1453,0.1581
"BR+-SVM",0.1487,0.1623,0.1638,0.1664,0.1663,0.1508,0.1618,0.1575,0.1645,0.1581
"CC-SVM",0.146,0.1657,0.1604,0.1545,0.1629,0.1488,0.1562,0.1588,0.1576,0.156
"DBR-SVM",0.1426,0.1588,0.1604,0.1587,0.1608,0.1419,0.1569,0.152,0.1556,0.1581
"EBR-SVM",0.0644,0.0451,0.0537,0.0559,0.0559,0.0565,0.0607,0.0695,0.0679,0.0506
"ECC-SVM",0.098,0.0992,0.0959,0.0965,0.0952,0.0882,0.083,0.105,0.1056,0.0929
"MBR-SVM",0.1426,0.1574,0.1496,0.1441,0.1567,0.1398,0.1513,0.1486,0.1515,0.154
"NS-SVM",0.1528,0.0583,0.1543,0.1483,0.1629,0.1439,0.1548,0.1472,0.1528,0.154
"PruDent-SVM",0.1426,0.1637,0.1509,0.1531,0.1649,0.135,0.1548,0.1452,0.1453,0.1595
"RDBR-SVM",0.1549,0.1699,0.1659,0.1741,0.1718,0.155,0.1653,0.1616,0.1672,0.1637
"BR-SVMt",0.1378,0.1526,0.1509,0.1413,0.1408,0.1377,0.1492,0.15,0.1508,0.1505
"BR+-SVMt",0.1426,0.163,0.1577,0.1594,0.1746,0.1501,0.1534,0.1588,0.1707,0.1574
"CC-SVMt",0.1385,0.1609,0.1598,0.158,0.147,0.1501,0.1506,0.1622,0.1604,0.1546
"DBR-SVMt",0.1412,0.154,0.153,0.1392,0.1622,0.1488,0.1548,0.1595,0.159,0.1477
"EBR-SVMt",0.0493,0.0492,0.0517,0.0531,0.0566,0.0599,0.0607,0.0518,0.0535,0.0562
"ECC-SVMt",0.0576,0.0499,0.0999,0.0615,0.0545,0.0668,0.0662,0.1016,0.0528,0.0562
"MBR-SVMt",0.1398,0.163,0.1523,0.1434,0.1636,0.1336,0.1548,0.152,0.1583,0.1498
"NS-SVMt",0.1446,0.1574,0.1611,0.0552,0.1615,0.0551,0.0635,0.1643,0.0555,0.1463
"PruDent-SVMt",0.1439,0.1637,0.1543,0.149,0.1698,0.1371,0.1548,0.1527,0.1528,0.1519
"RDBR-SVMt",0.1501,0.1609,0.1666,0.1636,0.1787,0.1433,0.1625,0.1643,0.1734,0.1533
"BR-XGB",0.1213,0.1207,0.121,0.1315,0.1353,0.1178,0.122,0.1316,0.1241,0.12
"BR+-XGB",0.1391,0.1581,0.1441,0.1657,0.1601,0.1453,0.1555,0.1486,0.1432,0.1498
"CC-XGB",0.1405,0.1588,0.1346,0.1503,0.1608,0.1405,0.145,0.1411,0.1378,0.1477
"DBR-XGB",0.1275,0.1415,0.1366,0.1441,0.1415,0.124,0.1444,0.1397,0.1316,0.1352
"EBR-XGB",0.061,0.0631,0.0523,0.0692,0.0683,0.0572,0.0649,0.06,0.061,0.0617
"ECC-XGB",0.0706,0.0666,0.0612,0.0741,0.0738,0.0709,0.0614,0.0702,0.0788,0.0652
"MBR-XGB",0.1213,0.1207,0.121,0.1315,0.1353,0.1178,0.122,0.1316,0.1241,0.12
"NS-XGB",0.1446,0.1609,0.1353,0.1517,0.1649,0.1419,0.145,0.1411,0.1391,0.1484
"PruDent-XGB",0.1323,0.1262,0.1326,0.1462,0.147,0.1274,0.1381,0.1445,0.1275,0.1373
"RDBR-XGB",0.1487,0.1706,0.1434,0.1643,0.1629,0.1529,0.1625,0.1547,0.159,0.1609
