"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0,0,0,0,0,0,0,0,0,0
"baseline-HL",0.1384,0.1397,0.1399,0.1381,0.1394,0.1386,0.1395,0.1386,0.1406,0.1375
"baseline-RL",0.1384,0.1397,0.1399,0.1381,0.1394,0.1386,0.1395,0.1386,0.1406,0.1375
"baseline-SA",0.1384,0.1397,0.1399,0.1381,0.1394,0.1386,0.1395,0.1386,0.1406,0.1375
"BR-C5.0",0.3257,0.3231,0.3272,0.3168,0.3399,0.3233,0.3147,0.3172,0.306,0.3243
"BR+-C5.0",0.3305,0.3368,0.3314,0.3413,0.3494,0.3212,0.3184,0.33,0.324,0.3307
"CC-C5.0",0.3332,0.3189,0.3246,0.3205,0.3303,0.3169,0.3237,0.3246,0.3161,0.3333
"DBR-C5.0",0.3273,0.3368,0.3314,0.3333,0.3468,0.3238,0.3289,0.3225,0.3219,0.3286
"EBR-C5.0",0.3199,0.2862,0.3056,0.3136,0.3324,0.2926,0.3163,0.3182,0.2928,0.3243
"ECC-C5.0",0.3007,0.3358,0.3219,0.336,0.315,0.3148,0.3063,0.3449,0.3446,0.3275
"MBR-C5.0",0.3262,0.3268,0.3267,0.3248,0.3457,0.3275,0.3363,0.3246,0.3166,0.3254
"NS-C5.0",0.3252,0.3147,0.3177,0.3163,0.3388,0.3233,0.3147,0.322,0.3145,0.3217
"PruDent-C5.0",0.3257,0.3231,0.3272,0.3168,0.3399,0.3233,0.3147,0.3172,0.306,0.3243
"RDBR-C5.0",0.331,0.3353,0.3309,0.3413,0.3547,0.3249,0.3179,0.3305,0.3261,0.328
"BR-LR",0.4886,0.4834,0.4719,0.4773,0.4873,0.4762,0.4774,0.4877,0.4778,0.4899
"BR+-LR",0.4774,0.485,0.4734,0.4704,0.4804,0.4794,0.4768,0.4835,0.4757,0.4835
"CC-LR",0.4476,0.4797,0.4708,0.4443,0.4555,0.4735,0.4768,0.4488,0.4789,0.457
"DBR-LR",0.4806,0.4839,0.4708,0.4741,0.4852,0.4751,0.4837,0.4883,0.4767,0.4867
"EBR-LR",0.4337,0.4497,0.4361,0.4165,0.4183,0.4418,0.4368,0.4435,0.3647,0.4199
"ECC-LR",0.3576,0.3484,0.3677,0.3589,0.3547,0.3693,0.3447,0.363,0.3531,0.3455
"MBR-LR",0.4864,0.4802,0.4687,0.4757,0.4862,0.472,0.4753,0.4877,0.4736,0.4952
"NS-LR",0.4955,0.4887,0.4745,0.4811,0.4926,0.4762,0.4784,0.4931,0.4789,0.4915
"PruDent-LR",0.4859,0.4802,0.4682,0.4789,0.4862,0.4714,0.4747,0.4867,0.4699,0.4904
"RDBR-LR",0.4747,0.4855,0.474,0.4709,0.4783,0.4799,0.4789,0.4781,0.4773,0.483
"BR-RF",0.4827,0.4971,0.4955,0.4827,0.4883,0.5048,0.4905,0.4813,0.4915,0.4777
"BR+-RF",0.4646,0.4855,0.4887,0.4752,0.4745,0.4894,0.4884,0.4803,0.4873,0.4618
"CC-RF",0.4827,0.4976,0.494,0.48,0.4894,0.4989,0.4868,0.4835,0.4884,0.4793
"DBR-RF",0.4864,0.4955,0.5008,0.4853,0.4878,0.5037,0.4974,0.4952,0.5021,0.4889
"EBR-RF",0.4502,0.4307,0.435,0.4661,0.4639,0.4386,0.4321,0.4606,0.4387,0.4544
"ECC-RF",0.454,0.4317,0.4282,0.4571,0.4618,0.4307,0.4611,0.4227,0.4397,0.4268
"MBR-RF",0.4886,0.496,0.495,0.4821,0.491,0.4995,0.4895,0.4883,0.4947,0.4788
"NS-RF",0.4896,0.4939,0.4924,0.48,0.491,0.5063,0.4905,0.4888,0.4984,0.482
"PruDent-RF",0.4827,0.4997,0.4955,0.4811,0.491,0.5011,0.4916,0.4861,0.4942,0.4777
"RDBR-RF",0.4689,0.4844,0.4892,0.4768,0.4788,0.4921,0.4889,0.4803,0.4894,0.4639
"BR-SVM",0.4875,0.4839,0.474,0.4747,0.4873,0.4772,0.4753,0.4872,0.4773,0.4926
"BR+-SVM",0.4779,0.4839,0.474,0.4699,0.4783,0.4746,0.4779,0.4845,0.4736,0.4857
"CC-SVM",0.4449,0.4839,0.4719,0.4432,0.4576,0.4757,0.4758,0.4478,0.4762,0.4538
"DBR-SVM",0.48,0.4844,0.4734,0.4736,0.4836,0.4751,0.4837,0.4883,0.4752,0.4846
"EBR-SVM",0.438,0.4502,0.4413,0.44,0.439,0.4418,0.4474,0.4398,0.436,0.4475
"ECC-SVM",0.4417,0.4428,0.444,0.4229,0.4475,0.4392,0.4479,0.452,0.4382,0.4368
"MBR-SVM",0.4843,0.4797,0.4671,0.4779,0.4867,0.4714,0.4737,0.4909,0.472,0.4936
"NS-SVM",0.4955,0.485,0.4782,0.4816,0.4942,0.4783,0.48,0.4904,0.4783,0.4931
"PruDent-SVM",0.4854,0.4823,0.4708,0.4789,0.4846,0.4741,0.4795,0.4893,0.4741,0.4894
"RDBR-SVM",0.4784,0.4839,0.4734,0.4699,0.4767,0.4746,0.4779,0.4845,0.4741,0.4862
"BR-SVMt",0.4923,0.1402,0.4598,0.496,0.5042,0.1317,0.1742,0.5059,0.2759,0.4915
"BR+-SVMt",0.4923,0.1318,0.1326,0.4955,0.5016,0.1317,0.1326,0.4936,0.1353,0.4936
"CC-SVMt",0.4662,0.1328,0.1536,0.4523,0.4772,0.1683,0.1553,0.4648,0.1316,0.466
"DBR-SVMt",0.4939,0.1323,0.132,0.4917,0.4968,0.1312,0.1563,0.5037,0.1353,0.4889
"EBR-SVMt",0.4433,0.4439,0.4503,0.4523,0.4464,0.4476,0.4405,0.4622,0.4456,0.4655
"ECC-SVMt",0.4444,0.4565,0.4503,0.4389,0.4417,0.4656,0.4474,0.4627,0.4286,0.4533
"MBR-SVMt",0.488,0.156,0.152,0.5051,0.5069,0.1312,0.4811,0.5037,0.1311,0.4995
"NS-SVMt",0.496,0.1566,0.1704,0.4901,0.4915,0.1529,0.3953,0.4867,0.1353,0.4931
"PruDent-SVMt",0.4923,0.4085,0.1526,0.5051,0.5138,0.1312,0.4705,0.5085,0.4514,0.4989
"RDBR-SVMt",0.4891,0.1355,0.1326,0.4795,0.4889,0.1286,0.1326,0.5016,0.1311,0.4958
"BR-XGB",0.4534,0.4533,0.4561,0.4491,0.4517,0.4524,0.4484,0.4563,0.4493,0.4528
