"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0,0,0,0,0,0,0,0,0,0
"baseline-HL",0.0602,0.0687,0.0704,0.0586,0.0628,0.0662,0.0663,0.0627,0.066,0.063
"baseline-RL",0.0602,0.0687,0.0704,0.0586,0.0628,0.0662,0.0663,0.0627,0.066,0.063
"baseline-SA",0.0602,0.0687,0.0704,0.0586,0.0628,0.0662,0.0663,0.0627,0.066,0.063
"BR-C5.0",0.0991,0.1117,0.0889,0.0935,0.1108,0.1,0.1018,0.1004,0.1059,0.1038
"BR+-C5.0",0.0916,0.1178,0.0951,0.101,0.0948,0.105,0.1202,0.0816,0.1096,0.1026
"CC-C5.0",0.0903,0.1104,0.0901,0.1022,0.0985,0.0962,0.1178,0.1142,0.1146,0.0977
"DBR-C5.0",0.0916,0.1117,0.0938,0.0948,0.0936,0.0988,0.119,0.0841,0.1121,0.1026
"EBR-C5.0",0.1004,0.0982,0.0975,0.0935,0.1084,0.0988,0.0969,0.0954,0.0946,0.0939
"ECC-C5.0",0.0928,0.1166,0.0926,0.0973,0.1034,0.105,0.1104,0.0979,0.0847,0.1026
"MBR-C5.0",0.0866,0.108,0.0864,0.0898,0.1096,0.0962,0.0933,0.1041,0.1034,0.0952
"NS-C5.0",0.1016,0.1104,0.1062,0.0985,0.1096,0.1038,0.119,0.1117,0.1133,0.1038
"PruDent-C5.0",0.0991,0.1117,0.0889,0.0935,0.1108,0.1,0.1018,0.1004,0.1059,0.1038
"RDBR-C5.0",0.0941,0.1202,0.0988,0.1035,0.0961,0.1013,0.1215,0.0866,0.1121,0.1026
"BR-LR",0.128,0.1215,0.1333,0.1085,0.1158,0.1188,0.1252,0.1255,0.1283,0.1187
"BR+-LR",0.1317,0.1252,0.1444,0.1247,0.1195,0.135,0.1313,0.1292,0.1333,0.1187
"CC-LR",0.1305,0.1227,0.1383,0.1185,0.1158,0.1288,0.1325,0.1267,0.1382,0.1236
"DBR-LR",0.1355,0.1215,0.1432,0.1284,0.1195,0.1338,0.1337,0.128,0.137,0.1162
"EBR-LR",0.0552,0.0503,0.0519,0.0673,0.0493,0.0588,0.054,0.0527,0.0585,0.0482
"ECC-LR",0.0477,0.0613,0.0469,0.0611,0.0493,0.0588,0.0307,0.0703,0.0685,0.0544
"MBR-LR",0.1368,0.1337,0.1407,0.1372,0.1244,0.1412,0.1301,0.1343,0.137,0.1286
"NS-LR",0.143,0.135,0.137,0.1259,0.1158,0.1575,0.1509,0.1255,0.1283,0.1187
"PruDent-LR",0.1405,0.1215,0.1395,0.1147,0.1158,0.13,0.1252,0.128,0.1333,0.1211
"RDBR-LR",0.138,0.1239,0.1432,0.1222,0.1207,0.135,0.1374,0.1292,0.1308,0.1211
"BR-RF",0.1368,0.1374,0.1333,0.1209,0.1268,0.1388,0.1436,0.128,0.1357,0.1397
"BR+-RF",0.1292,0.1276,0.1346,0.1209,0.1256,0.13,0.1472,0.1217,0.127,0.1286
"CC-RF",0.138,0.1288,0.1346,0.1222,0.1232,0.1362,0.1472,0.1255,0.1333,0.1261
"DBR-RF",0.1292,0.1313,0.1333,0.1197,0.1256,0.1312,0.1448,0.123,0.1283,0.1298
"EBR-RF",0.0841,0.0883,0.0975,0.0873,0.0862,0.0812,0.0982,0.074,0.0984,0.0853
"ECC-RF",0.0853,0.0969,0.0926,0.0885,0.0911,0.0825,0.0933,0.0703,0.0934,0.0841
"MBR-RF",0.1368,0.1288,0.1358,0.1259,0.1268,0.1425,0.146,0.128,0.1357,0.1298
"NS-RF",0.128,0.1374,0.1407,0.1209,0.1232,0.135,0.1485,0.128,0.1357,0.1298
"PruDent-RF",0.1368,0.135,0.1346,0.1297,0.1256,0.1425,0.146,0.1267,0.1407,0.131
"RDBR-RF",0.1305,0.1264,0.1383,0.1272,0.1293,0.1362,0.1472,0.1255,0.1308,0.1323
"BR-SVM",0.1355,0.1227,0.1333,0.111,0.1182,0.13,0.1264,0.128,0.1283,0.1199
"BR+-SVM",0.133,0.1264,0.137,0.1247,0.1207,0.1375,0.1288,0.1317,0.132,0.1224
"CC-SVM",0.133,0.1264,0.1321,0.1197,0.117,0.1338,0.1252,0.1305,0.127,0.1187
"DBR-SVM",0.1317,0.1252,0.137,0.1259,0.1207,0.1388,0.1288,0.1317,0.132,0.1236
"EBR-SVM",0.0803,0.0761,0.0802,0.0823,0.0603,0.07,0.0663,0.0728,0.0722,0.0606
"ECC-SVM",0.0728,0.1067,0.0667,0.0686,0.0628,0.0675,0.0675,0.0728,0.0772,0.0618
"MBR-SVM",0.1393,0.1252,0.1395,0.1185,0.1145,0.1325,0.135,0.1292,0.142,0.1199
"NS-SVM",0.1481,0.1387,0.137,0.1172,0.133,0.15,0.1497,0.1292,0.1532,0.1248
"PruDent-SVM",0.1343,0.1215,0.1383,0.1185,0.1121,0.1262,0.1313,0.1242,0.1245,0.1199
"RDBR-SVM",0.133,0.1276,0.1358,0.1259,0.1207,0.1375,0.1288,0.1317,0.132,0.1224
"BR-SVMt",0.1317,0.1276,0.1136,0.1097,0.1219,0.13,0.1215,0.1167,0.0697,0.1286
"BR+-SVMt",0.128,0.1301,0.1173,0.1185,0.1232,0.1312,0.1313,0.1255,0.0685,0.131
"CC-SVMt",0.128,0.1288,0.1185,0.1185,0.1305,0.1138,0.1129,0.1305,0.0672,0.1125
"DBR-SVMt",0.128,0.1276,0.1222,0.1172,0.1244,0.14,0.1497,0.128,0.0797,0.1174
"EBR-SVMt",0.0514,0.0663,0.0679,0.0337,0.0727,0.0875,0.065,0.069,0.0535,0.0939
"ECC-SVMt",0.054,0.0699,0.1049,0.0499,0.1047,0.0525,0.0761,0.0652,0.0722,0.0878
"MBR-SVMt",0.128,0.1374,0.116,0.1234,0.1318,0.1325,0.1104,0.1217,0.0635,0.1211
"NS-SVMt",0.1192,0.1313,0.1444,0.1185,0.1441,0.1312,0.1546,0.1317,0.1469,0.1335
