"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.7333,0.7333,0.7333,0.7333,0.7333,0.7333,0.7333,0.7333,0.7333,0.7333
"baselineHL",0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333
"baselineRL",0.8667,0.8667,0.8667,0.8667,0.8667,0.8667,0.8667,0.8667,0.8667,0.8667
"baselineSA",0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333
"BR-C5.0",0.0667,0.1333,0,0.1333,0.1333,0.0667,0.0667,0.1333,0.1333,0.0667
"BR-LR",0.1333,0.9333,0.1333,0.0667,0.1333,0.2,0.2667,0.8667,0.0667,0.0667
"BR-RF",0.2,0.2667,0.1333,0.2,0.0667,0.1333,0.1333,0.2,0.2,0.2667
"BR-SVM",0.1333,0.9333,0.2,0.0667,0.2,0.1333,0.2,0.9333,0.1333,0.0667
"BR-SVMt",0.2,0.8667,0.3333,0.0667,0.2667,0.0667,0.2667,0.7333,0.0667,0.0667
"BR-XGB",0.1333,0.0667,0.0667,0,0.0667,0,0,0.1333,0,0.0667
"BR+-C5.0",0,0.1333,0,0.1333,0.1333,0.0667,0.0667,0.1333,0.1333,0.0667
"BR+-LR",0.1333,0.9333,0.2,0,0.1333,0.1333,0.2667,0.9333,0.0667,0.1333
"BR+-RF",0.2,0.2667,0.2,0,0.1333,0.1333,0.2,0.2,0.0667,0.2
"BR+-SVM",0.0667,0.9333,0.2,0.0667,0.2,0.0667,0.1333,0.9333,0.1333,0.0667
"BR+-SVMt",0.1333,0.8667,0.2,0.0667,0.2,0.0667,0.2667,0.8,0.0667,0.0667
"BR+-XGB",0.1333,0.0667,0.0667,0,0.0667,0,0,0.1333,0,0.0667
"CC-C5.0",0.0667,0.1333,0,0.1333,0.1333,0.0667,0.0667,0.1333,0.1333,0.1333
"CC-LR",0.2,0.8667,0.2667,0.0667,0.0667,0.2,0.2,0.9333,0.0667,0.0667
"CC-RF",0.0667,0.2667,0.1333,0.2,0.1333,0.0667,0.2,0.2667,0.2,0.1333
"CC-SVM",0.0667,0.9333,0.2,0.0667,0.2,0.0667,0.1333,0.9333,0.1333,0
"CC-SVMt",0.1333,0.8667,0.3333,0.1333,0.2667,0,0.3333,0.6667,0.1333,0.0667
"CC-XGB",0.1333,0.0667,0.0667,0,0.0667,0,0,0.1333,0,0.0667
"DBR-C5.0",0,0.1333,0,0.1333,0.1333,0.0667,0.0667,0.1333,0.1333,0.0667
"DBR-LR",0.1333,0.8667,0.0667,0.0667,0.1333,0.0667,0.1333,0.8667,0.1333,0.1333
"DBR-RF",0.2,0.2667,0.2,0,0.1333,0.1333,0.2,0.2,0.0667,0.2
"DBR-SVM",0.0667,0.9333,0.2,0.0667,0.2,0.0667,0.1333,0.9333,0.1333,0.0667
"DBR-SVMt",0.2,0.8667,0.2,0.1333,0.2,0.1333,0.3333,0.6667,0.0667,0.0667
"DBR-XGB",0.1333,0.0667,0.0667,0,0.0667,0,0,0.1333,0,0.0667
"EBR-C5.0",0,0.1333,0.1333,0.1333,0.1333,0.0667,0.1333,0.1333,0.2,0.1333
"EBR-LR",0.4667,0.4667,0.6,0.2667,0.3333,0.3333,0.7333,0.6667,0.2667,0.4
"EBR-RF",0,0,0.0667,0,0.0667,0.0667,0.1333,0.1333,0,0.0667
"EBR-SVM",0.2667,0.7333,0.7333,0.8,0.8667,0.8,0.8,0.8,0.8,0.8667
"EBR-SVMt",0.6667,0.7333,0.4667,0.0667,0.5333,0.2,0.3333,0.4,0.7333,0.8667
"EBR-XGB",0.0667,0.1333,0.0667,0,0.1333,0,0,0.1333,0.0667,0
"ECC-C5.0",0,0.1333,0.1333,0.0667,0.1333,0.0667,0.0667,0.1333,0.1333,0.1333
"ECC-LR",0.5333,0.8,0.4,0.4667,0.6667,0.3333,0.6667,0.4,0.3333,0.4667
"ECC-RF",0,0,0.0667,0,0.1333,0,0.0667,0.1333,0.0667,0
"ECC-SVM",0.2,0.8,0.8,0.2,0.8667,0.8,0.8,0.8,0.2,0.8667
"ECC-SVMt",0.7333,0.6667,0.4,0.4,0.6,0.3333,0.4,0.4,0.4667,0.4667
"ECC-XGB",0,0.0667,0.0667,0.0667,0.1333,0,0.0667,0.0667,0,0
"MBR-C5.0",0.0667,0.1333,0,0.1333,0.0667,0.0667,0.1333,0.1333,0.1333,0.0667
"MBR-LR",0.0667,0.8667,0.1333,0.0667,0.8667,0.0667,0.1333,0.9333,0,0.0667
"MBR-RF",0.1333,0.2667,0.0667,0.1333,0.2,0.0667,0.1333,0.2,0.1333,0.1333
"MBR-SVM",0.0667,0.9333,0.2,0,0.2,0.0667,0.2,0.8667,0.0667,0.2
"MBR-SVMt",0.0667,0.8,0.2,0.0667,0.2,0.2667,0.6667,0.7333,0.1333,0.0667
