"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.7163,0.7305,0.7021,0.7092,0.7163,0.7163,0.7163,0.7234,0.7163,0.7305
"baseline-HL",0.9362,0.9433,0.9433,0.9433,0.9433,0.9433,0.9433,0.9433,0.9433,0.9433
"baseline-RL",0.8369,0.8369,0.8652,0.8652,0.8582,0.8511,0.8582,0.8582,0.8582,0.8723
"baseline-SA",0.8511,0.8582,0.8582,0.8936,0.8936,0.8582,0.8936,0.8582,0.8511,0.8582
"BR-C5.0",0.3475,0.3972,0.3688,0.4043,0.3688,0.4255,0.3901,0.4184,0.383,0.4397
"BR+-C5.0",0.3404,0.3546,0.3759,0.3759,0.3688,0.383,0.4184,0.3475,0.3546,0.3404
"CC-C5.0",0.2553,0.3617,0.3333,0.2979,0.3759,0.3121,0.3191,0.3333,0.2766,0.3404
"DBR-C5.0",0.3262,0.3688,0.3475,0.3617,0.3546,0.383,0.383,0.3333,0.3404,0.3972
"EBR-C5.0",0.2908,0.3475,0.3191,0.3404,0.3262,0.3333,0.3546,0.3262,0.2695,0.383
"ECC-C5.0",0.383,0.4255,0.3759,0.3759,0.3972,0.3688,0.3688,0.3688,0.3617,0.4184
"MBR-C5.0",0.2057,0.2624,0.2695,0.2057,0.2837,0.2766,0.2411,0.2695,0.2411,0.2908
"NS-C5.0",0.2553,0.2199,0.2979,0.3121,0.2837,0.2624,0.305,0.3121,0.2624,0.305
"PruDent-C5.0",0.3972,0.4539,0.3972,0.3901,0.4043,0.4397,0.4397,0.461,0.4184,0.4468
"RDBR-C5.0",0.4184,0.3475,0.3475,0.3404,0.4184,0.4113,0.4326,0.3546,0.305,0.3759
"BR-LR",0.8156,0.8582,0.8369,0.844,0.7872,0.8652,0.8085,0.8652,0.8085,0.8156
"BR+-LR",0.6596,0.8014,0.6879,0.7589,0.6596,0.766,0.6879,0.7589,0.695,0.766
"CC-LR",0.6454,0.7021,0.6454,0.6241,0.6241,0.7021,0.6099,0.7376,0.6099,0.6809
"DBR-LR",0.6667,0.8298,0.7305,0.7801,0.6667,0.7872,0.7021,0.8085,0.695,0.7872
"EBR-LR",0.3759,0.4752,0.4184,0.4043,0.3901,0.4255,0.4113,0.3972,0.4113,0.4823
"ECC-LR",0.3759,0.3972,0.3901,0.383,0.3759,0.4397,0.3688,0.3688,0.3972,0.4397
"MBR-LR",0.6879,0.7518,0.7234,0.7376,0.695,0.8014,0.7163,0.7943,0.6596,0.7518
"NS-LR",0.6028,0.7376,0.6809,0.7163,0.6028,0.6879,0.6383,0.6454,0.5745,0.6809
"PruDent-LR",0.766,0.8582,0.7872,0.7943,0.7589,0.844,0.7305,0.844,0.7518,0.8014
"RDBR-LR",0.5603,0.7092,0.5816,0.617,0.5674,0.6596,0.5957,0.6596,0.6241,0.7163
"BR-RF",0.5603,0.7021,0.6099,0.617,0.6028,0.6383,0.5887,0.6383,0.5674,0.6809
"BR+-RF",0.6241,0.7447,0.6454,0.6596,0.6809,0.6809,0.6738,0.7234,0.6596,0.695
"CC-RF",0.6099,0.6879,0.6028,0.6383,0.6454,0.7021,0.6738,0.6596,0.617,0.6667
"DBR-RF",0.617,0.7376,0.6596,0.6667,0.6809,0.6738,0.6525,0.7021,0.6525,0.695
"EBR-RF",0.3546,0.4681,0.4113,0.4113,0.3901,0.4043,0.3759,0.4043,0.3617,0.4752
"ECC-RF",0.4113,0.5106,0.4397,0.4681,0.4184,0.3901,0.4326,0.4752,0.4043,0.5106
"MBR-RF",0.5887,0.6596,0.5887,0.6099,0.6028,0.6525,0.5816,0.6383,0.5461,0.6738
"NS-RF",0.3688,0.4397,0.4113,0.4539,0.4468,0.4752,0.4326,0.4043,0.4326,0.5035
"PruDent-RF",0.5816,0.7021,0.5674,0.6099,0.6241,0.6596,0.6241,0.6525,0.5887,0.6738
"RDBR-RF",0.6312,0.7447,0.6099,0.6667,0.6738,0.6879,0.6809,0.7163,0.6241,0.7021
"BR-SVM",0.8156,0.8227,0.8156,0.8511,0.7943,0.8298,0.8227,0.8511,0.844,0.844
"BR+-SVM",0.695,0.7872,0.7021,0.7518,0.6738,0.7589,0.6879,0.773,0.7021,0.773
"CC-SVM",0.7021,0.7376,0.6667,0.6312,0.5887,0.7234,0.5816,0.695,0.6454,0.6454
"DBR-SVM",0.695,0.8014,0.7305,0.7589,0.6809,0.766,0.7021,0.7801,0.7163,0.7801
"EBR-SVM",0.3546,0.3972,0.3262,0.3475,0.3617,0.3759,0.3759,0.3759,0.4184,0.4184
"ECC-SVM",0.3333,0.3617,0.3617,0.3191,0.3333,0.3546,0.3404,0.3333,0.3191,0.4255
"MBR-SVM",0.6809,0.7518,0.6596,0.7376,0.6879,0.7518,0.6879,0.7376,0.6383,0.7518
"NS-SVM",0.6312,0.6028,0.6809,0.695,0.5887,0.7376,0.6383,0.6596,0.6099,0.6241
"PruDent-SVM",0.7589,0.8369,0.7943,0.8014,0.773,0.8298,0.7943,0.8156,0.773,0.8156
"RDBR-SVM",0.5887,0.6879,0.5887,0.6099,0.539,0.6879,0.5674,0.7092,0.6028,0.7305
"BR-SVMt",0.844,0.8511,0.8156,0.8227,0.7801,0.8865,0.8298,0.8582,0.8369,0.8723
"BR+-SVMt",0.5106,0.5319,0.5248,0.5603,0.5035,0.5674,0.5532,0.5887,0.6454,0.5319
"CC-SVMt",0.4965,0.4823,0.695,0.4326,0.4681,0.5816,0.461,0.5745,0.5887,0.5106
"DBR-SVMt",0.5603,0.6667,0.6241,0.6525,0.5745,0.5957,0.6028,0.6525,0.6809,0.6241
"EBR-SVMt",0.3404,0.2837,0.3688,0.3191,0.3404,0.4043,0.3191,0.2695,0.3121,0.305
"ECC-SVMt",0.3475,0.3617,0.3546,0.3262,0.3617,0.3475,0.3404,0.3759,0.3688,0.4184
"MBR-SVMt",0.6738,0.6738,0.6383,0.6667,0.5957,0.6383,0.6241,0.6312,0.6099,0.6454
"NS-SVMt",0.3688,0.3617,0.2837,0.3262,0.3688,0.4184,0.305,0.3404,0.3191,0.3617
"PruDent-SVMt",0.7801,0.8227,0.7801,0.7943,0.7447,0.8014,0.7943,0.8369,0.7447,0.8369
"RDBR-SVMt",0.3759,0.3688,0.3475,0.3759,0.3404,0.3901,0.3759,0.383,0.4539,0.383
"BR-XGB",0.4113,0.4965,0.4823,0.4397,0.4894,0.4397,0.4752,0.4823,0.4326,0.4823
"BR+-XGB",0.4965,0.5035,0.4752,0.4823,0.4965,0.5177,0.4823,0.5106,0.4468,0.5106
