"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.9048,0.9048,0.9048,0.9048,0.9048,0.9048,0.9048,0.9048,0.9048,0.9048
"baselineHL",0.9524,0.9524,0.9524,0.9524,0.9524,0.9524,0.9762,0.9524,0.9524,0.9524
"baselineRL",0.9286,0.9286,0.9286,0.9286,0.9286,0.9286,0.9286,0.9286,0.9286,0.9286
"baselineSA",0.9762,0.9286,0.9762,0.9762,0.9762,0.9762,0.9762,0.9762,0.9762,0.9762
"BR-C5.0",0.5,0.5476,0.4524,0.5476,0.5,0.5476,0.5,0.5,0.5476,0.5238
"BR-LR",0.5952,0.5952,0.5952,0.5476,0.619,0.5952,0.5952,0.619,0.5952,0.5714
"BR-RF",0.381,0.3571,0.3333,0.3571,0.3571,0.4286,0.4524,0.3333,0.3571,0.381
"BR-SVM",0.5476,0.5714,0.5714,0.5476,0.5952,0.5714,0.5714,0.5952,0.619,0.5714
"BR-SVMt",0.5476,0.5714,0.5476,0.5714,0.5238,0.5714,0.5714,0.5714,0.5476,0.5714
"BR-XGB",0.2857,0.2857,0.2619,0.3095,0.2619,0.2857,0.2857,0.2857,0.2857,0.2857
"BR+-C5.0",0.4524,0.4524,0.4762,0.5,0.4762,0.5476,0.4762,0.4524,0.5238,0.5714
"BR+-LR",0.5,0.5238,0.5,0.4762,0.5714,0.5238,0.5714,0.4762,0.619,0.5
"BR+-RF",0.3571,0.381,0.3333,0.3571,0.3333,0.381,0.4048,0.3333,0.3571,0.3571
"BR+-SVM",0.4762,0.5476,0.5,0.5,0.5952,0.5238,0.5476,0.5,0.5476,0.5238
"BR+-SVMt",0.5,0.5238,0.4762,0.5,0.5476,0.5714,0.5238,0.4762,0.5,0.4524
"BR+-XGB",0.2857,0.2619,0.2857,0.2857,0.2381,0.2619,0.2619,0.2619,0.2619,0.2857
"CC-C5.0",0.4762,0.5238,0.4762,0.5476,0.4762,0.5,0.5,0.5238,0.5476,0.5714
"CC-LR",0.5714,0.5952,0.5476,0.5,0.5476,0.5476,0.5476,0.5238,0.5714,0.5476
"CC-RF",0.3571,0.4048,0.3333,0.4048,0.3571,0.3571,0.4048,0.3095,0.3571,0.381
"CC-SVM",0.5,0.5476,0.5238,0.5238,0.5952,0.5714,0.5714,0.5238,0.5714,0.5476
"CC-SVMt",0.5476,0.5238,0.5238,0.5,0.5238,0.5714,0.5476,0.5,0.5,0.5238
"CC-XGB",0.2857,0.3095,0.2619,0.3095,0.2619,0.2619,0.2619,0.2857,0.2857,0.2857
"DBR-C5.0",0.4524,0.4524,0.4762,0.5,0.4762,0.5476,0.4762,0.4524,0.5,0.5714
"DBR-LR",0.5238,0.5952,0.5476,0.5,0.5476,0.5476,0.5714,0.4762,0.5714,0.5238
"DBR-RF",0.3571,0.381,0.3333,0.3571,0.3333,0.381,0.4048,0.3333,0.3571,0.3571
"DBR-SVM",0.4762,0.5476,0.5,0.5,0.5952,0.5238,0.5476,0.5,0.5476,0.5238
"DBR-SVMt",0.5238,0.5238,0.4762,0.5,0.5,0.5476,0.5238,0.4762,0.4762,0.4524
"DBR-XGB",0.2857,0.2619,0.2857,0.2857,0.2381,0.2619,0.2619,0.2619,0.2619,0.2857
"EBR-C5.0",0.381,0.381,0.4048,0.4524,0.4286,0.5238,0.4524,0.3571,0.4048,0.381
"EBR-LR",0.381,0.3095,0.3095,0.3333,0.2857,0.2857,0.3571,0.2857,0.2857,0.3333
"EBR-RF",0.3095,0.3095,0.3095,0.3333,0.3095,0.3095,0.3333,0.3095,0.2857,0.3095
"EBR-SVM",0.2857,0.2857,0.3095,0.3095,0.2857,0.2857,0.3333,0.2619,0.2619,0.2857
"EBR-SVMt",0.4048,0.3333,0.3095,0.3095,0.2619,0.3571,0.3571,0.3333,0.2857,0.3095
"EBR-XGB",0.2857,0.2857,0.2857,0.3333,0.2619,0.2619,0.2381,0.2857,0.2857,0.2857
"ECC-C5.0",0.4048,0.4048,0.4048,0.4048,0.4286,0.4762,0.4762,0.381,0.381,0.4524
"ECC-LR",0.3571,0.2857,0.381,0.3571,0.3333,0.2857,0.381,0.3095,0.3333,0.381
"ECC-RF",0.3095,0.3095,0.3095,0.3333,0.2857,0.3095,0.3095,0.3095,0.3095,0.3095
"ECC-SVM",0.2857,0.2857,0.3333,0.3095,0.2857,0.2857,0.3095,0.3333,0.2857,0.3095
"ECC-SVMt",0.3571,0.3095,0.2857,0.3571,0.2143,0.3571,0.3333,0.3095,0.3571,0.3095
"ECC-XGB",0.2857,0.3095,0.2857,0.3333,0.2381,0.2619,0.2381,0.2857,0.2619,0.2857
"MBR-C5.0",0.5,0.5476,0.4286,0.5476,0.4762,0.5,0.5,0.4762,0.5476,0.5238
"MBR-LR",0.619,0.619,0.5952,0.5476,0.5952,0.5714,0.5714,0.5952,0.619,0.5952
"MBR-RF",0.3333,0.3571,0.3333,0.4048,0.3571,0.381,0.4286,0.3333,0.3571,0.381
"MBR-SVM",0.5238,0.5952,0.5952,0.5476,0.5952,0.619,0.5952,0.5952,0.5952,0.5238
"MBR-SVMt",0.5714,0.4524,0.5714,0.5,0.5714,0.5476,0.5238,0.5952,0.5714,0.5
