"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.7222,0.7778,0.7222,0.7778,0.7222,0.7778,0.7222,0.7778,0.7222,0.7778
"baseline-HL",0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444
"baseline-RL",0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444
"baseline-SA",0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444
"BR-C5.0",0.1111,0.2778,0.1667,0.1667,0.2778,0.0556,0.2222,0.1667,0,0.3333
"BR+-C5.0",0.1111,0.2778,0.1667,0.2222,0.2778,0.0556,0.2222,0.1667,0,0.2778
"CC-C5.0",0.1111,0.2778,0.1667,0.2222,0.2778,0.0556,0.2222,0.1667,0,0.3333
"DBR-C5.0",0.1111,0.2778,0.1667,0.2222,0.2778,0.0556,0.2222,0.1667,0,0.2778
"EBR-C5.0",0.1111,0.1667,0.2222,0.3333,0.1111,0.2222,0.1111,0.2778,0.1667,0.2222
"ECC-C5.0",0.1667,0.1111,0.2222,0.1667,0.0556,0.2222,0.1667,0.2778,0.2222,0.1111
"MBR-C5.0",0.1111,0.2222,0.1667,0.1667,0.2778,0.0556,0.2222,0.1667,0,0.2778
"NS-C5.0",0.1667,0.3333,0.1667,0.1667,0.3333,0.1667,0.2222,0.1667,0.0556,0.4444
"PruDent-C5.0",0.1111,0.2778,0.1667,0.2222,0.2778,0.1111,0.2222,0.2222,0,0.3333
"RDBR-C5.0",0.1111,0.2778,0.1667,0.2222,0.2778,0.0556,0.2222,0.1667,0,0.2778
"BR-LR",0.2222,0.1667,0.2222,0.1667,0.1667,0.2222,0.1667,0.2222,0.2222,0.2222
"BR+-LR",0.2778,0.1111,0.2222,0.1111,0.1111,0.1667,0.1667,0.1667,0.1667,0.2222
"CC-LR",0.1667,0.1111,0.2222,0.1111,0.2778,0.2222,0.2222,0.2222,0.2222,0.1667
"DBR-LR",0.2778,0.1667,0.2222,0.1111,0.1111,0.2222,0.1667,0.1667,0.2222,0.0556
"EBR-LR",0.2778,0.1667,0.2222,0.3889,0.2222,0.2222,0.2778,0.3333,0.2222,0.2222
"ECC-LR",0.1667,0.2222,0.1667,0.3333,0.3333,0.2222,0.2222,0.2222,0.2222,0.2778
"MBR-LR",0.1667,0.1667,0.1111,0.1111,0.1111,0.2222,0.1667,0.1667,0.1667,0.1667
"NS-LR",0.2222,0.1667,0.2778,0.1667,0.2222,0.1667,0.2222,0.2222,0.2222,0.1111
"PruDent-LR",0.2222,0.1667,0.2222,0.1111,0.1667,0.1667,0.1111,0.1667,0.1667,0.2222
"RDBR-LR",0.2778,0.1667,0.2222,0.1667,0.1111,0.1111,0.1667,0.1667,0.2222,0.1667
"BR-RF",0.2778,0.3333,0.1667,0.3333,0.1667,0.3889,0.1111,0.3333,0.2222,0.3333
"BR+-RF",0.2778,0.3333,0.3333,0.3889,0.1111,0.3889,0.2222,0.3889,0.2222,0.2778
"CC-RF",0.2778,0.3889,0.2778,0.3889,0.2778,0.3889,0.2222,0.3333,0.2222,0.3889
"DBR-RF",0.2778,0.3333,0.3333,0.3889,0.1111,0.3889,0.2778,0.3889,0.2222,0.2778
"EBR-RF",0.2222,0.3333,0.1111,0.2778,0.0556,0.3889,0.1667,0.3333,0.1111,0.2778
"ECC-RF",0.2778,0.3889,0.1667,0.3333,0.1111,0.3889,0.1111,0.2778,0.2222,0.2778
"MBR-RF",0.2222,0.3333,0.1667,0.4444,0.2222,0.3889,0.1667,0.3333,0.2778,0.3333
"NS-RF",0.2778,0.3889,0.2778,0.3889,0.2778,0.3889,0.2222,0.3333,0.2222,0.3889
"PruDent-RF",0.2778,0.3889,0.2778,0.4444,0.1111,0.3333,0.2778,0.3889,0.2778,0.3889
"RDBR-RF",0.2778,0.3333,0.3333,0.3889,0.1111,0.3889,0.2222,0.3889,0.2222,0.2778
"BR-SVM",0.2222,0.2222,0.2778,0.1667,0.1667,0.1111,0.1111,0.1667,0.1667,0.1111
"BR+-SVM",0.2222,0.1667,0.2778,0.1111,0.1667,0.1111,0.1667,0.1667,0.1667,0.1111
"CC-SVM",0.2222,0.2222,0.2778,0.1667,0.1667,0.1111,0.1111,0.1667,0.2222,0.1111
"DBR-SVM",0.2222,0.1667,0.2778,0.1111,0.1667,0.1111,0.1667,0.1667,0.1667,0.1667
"EBR-SVM",0.2222,0.2222,0.1667,0.1111,0.0556,0.2222,0.2222,0.2778,0.2222,0.2222
"ECC-SVM",0.2222,0.2222,0.1667,0.2778,0.1667,0.2222,0.2222,0.2222,0.2222,0.2222
"MBR-SVM",0.1667,0.1667,0.1667,0.1111,0.1667,0.1111,0.2222,0.2222,0.1667,0.1667
"NS-SVM",0.2222,0.2222,0.2778,0.1667,0.1667,0.1111,0.1667,0.1667,0.2222,0.1111
"PruDent-SVM",0.2222,0.1667,0.1667,0.1111,0.1667,0.2222,0.2222,0.2222,0.2222,0.0556
"RDBR-SVM",0.2222,0.1667,0.2778,0.1111,0.1667,0.1111,0.1667,0.1667,0.1667,0.1111
"BR-SVMt",0.2222,0.1667,0.2222,0.1667,0.1111,0.2222,0.2222,0.1667,0.2222,0.1667
"BR+-SVMt",0.2222,0.1667,0.2778,0.1667,0.1667,0.2222,0.2222,0.2222,0.2222,0.2222
"CC-SVMt",0.2222,0.1667,0.1667,0.1667,0.1667,0.1667,0.2222,0.1667,0.2222,0.1111
"DBR-SVMt",0.2222,0.1667,0.2222,0.1667,0.1111,0.2222,0.2222,0.2222,0.2222,0.2778
"EBR-SVMt",0.1111,0.1667,0.2222,0.1667,0.2778,0.2778,0.2778,0.1111,0.2222,0.2222
"ECC-SVMt",0.1667,0.2222,0.0556,0.1111,0.1667,0.2222,0.2222,0.3333,0.1667,0.1667
"MBR-SVMt",0.1667,0.1667,0.2222,0.1111,0.1667,0.1111,0.1667,0.1667,0.1111,0.1667
"NS-SVMt",0.2222,0.1667,0.2222,0.1667,0.1667,0.1667,0.2222,0.1667,0.2222,0.2222
"PruDent-SVMt",0.2222,0.1111,0.2778,0.1667,0.2222,0.2222,0.2222,0.1667,0.1667,0.2778
"RDBR-SVMt",0.2222,0.1667,0.1667,0.1667,0.1667,0.1667,0.2222,0.1667,0.1667,0.2778
"BR-XGB",0.1111,0.1111,0.1667,0.1111,0.1111,0.1111,0.1111,0.1667,0.1111,0.1111
"BR+-XGB",0.1111,0.1667,0.1667,0.1111,0.1111,0.1111,0.1111,0.1667,0.1111,0.1111
"CC-XGB",0.1111,0.1111,0.1667,0.1111,0.1111,0.1111,0.1111,0.1667,0.1111,0.1111
