"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.8421,0.8421,0.8421,0.8421,0.8421,0.8421,0.8421,0.8421,0.8421,0.8421
"baseline-HL",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"baseline-RL",0.9737,0.9737,0.9211,0.9737,0.9737,0.9737,0.9737,0.9211,0.9737,0.9737
"baseline-SA",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"BR-C5.0",0.2895,0.2632,0.2895,0.3421,0.3684,0.2105,0.2632,0.2632,0.3158,0.3421
"BR+-C5.0",0.2632,0.3684,0.2105,0.2895,0.3421,0.3684,0.2895,0.2632,0.2895,0.3684
"CC-C5.0",0.2895,0.3684,0.2895,0.2105,0.3684,0.3421,0.2105,0.3158,0.3158,0.2895
"DBR-C5.0",0.2632,0.3684,0.2105,0.2632,0.2895,0.3684,0.2895,0.2632,0.2895,0.3421
"EBR-C5.0",0.3421,0.2632,0.4211,0.3947,0.3684,0.2368,0.2105,0.3684,0.3684,0.2368
"ECC-C5.0",0.4211,0.2632,0.3947,0.3421,0.2368,0.3947,0.3947,0.2105,0.3684,0.2895
"MBR-C5.0",0.2105,0.2105,0.2368,0.2895,0.2632,0.1842,0.2105,0.2105,0.2895,0.2632
"NS-C5.0",0.3421,0.3421,0.2632,0.3684,0.3421,0.2895,0.3421,0.3158,0.3421,0.2895
"PruDent-C5.0",0.2895,0.2895,0.3158,0.3684,0.3684,0.2105,0.2632,0.2632,0.3421,0.3421
"RDBR-C5.0",0.2105,0.3421,0.2632,0.2632,0.2895,0.3421,0.2895,0.2895,0.3158,0.3158
"BR-LR",0.3947,0.3421,0.3947,0.3947,0.3947,0.3158,0.3684,0.2895,0.3947,0.3684
"BR+-LR",0.2632,0.2895,0.3158,0.2895,0.3421,0.2632,0.2368,0.2368,0.3158,0.2632
"CC-LR",0.3947,0.2895,0.3684,0.3421,0.3421,0.2895,0.2632,0.3158,0.3947,0.3421
"DBR-LR",0.2895,0.2895,0.2895,0.3158,0.3158,0.2368,0.2368,0.2368,0.3684,0.2632
"EBR-LR",0.2105,0.2368,0.2895,0.2895,0.2895,0.2632,0.2632,0.1842,0.2895,0.2632
"ECC-LR",0.3158,0.2105,0.3421,0.2895,0.2105,0.2632,0.2895,0.1842,0.1842,0.2632
"MBR-LR",0.3158,0.3421,0.3158,0.3158,0.3684,0.2895,0.2895,0.2368,0.3158,0.3158
"NS-LR",0.3947,0.3684,0.3947,0.3684,0.3947,0.3684,0.3158,0.2895,0.8947,0.3684
"PruDent-LR",0.3158,0.3158,0.3158,0.3158,0.3421,0.2895,0.3158,0.2368,0.3421,0.3158
"RDBR-LR",0.2895,0.3158,0.2895,0.3158,0.3421,0.2368,0.2368,0.2632,0.2632,0.2368
"BR-RF",0.5,0.5,0.5,0.4737,0.5263,0.5263,0.4737,0.5,0.5263,0.5
"BR+-RF",0.4737,0.4737,0.4474,0.4737,0.5,0.5,0.4211,0.4474,0.5,0.5
"CC-RF",0.5789,0.5263,0.5526,0.5263,0.5526,0.6053,0.5526,0.5789,0.5789,0.5789
"DBR-RF",0.5,0.4737,0.5,0.4737,0.5,0.5263,0.5,0.5,0.5263,0.5
"EBR-RF",0.3947,0.3947,0.4211,0.3947,0.3684,0.4211,0.3947,0.3947,0.3684,0.3947
"ECC-RF",0.3947,0.4211,0.4474,0.3947,0.3158,0.4211,0.3947,0.3421,0.4211,0.3947
"MBR-RF",0.5263,0.5,0.5263,0.4737,0.5,0.5263,0.5,0.5,0.5,0.5526
"NS-RF",0.5526,0.5263,0.5526,0.5263,0.5263,0.6053,0.5526,0.5789,0.5526,0.5789
"PruDent-RF",0.5,0.4737,0.4737,0.5,0.4211,0.5,0.5526,0.5263,0.5,0.5
"RDBR-RF",0.4737,0.5,0.5526,0.4737,0.5526,0.5526,0.5526,0.4737,0.5526,0.5
"BR-SVM",0.3684,0.3421,0.3421,0.3947,0.3947,0.3158,0.3421,0.3158,0.3947,0.3684
"BR+-SVM",0.3158,0.2895,0.2895,0.3158,0.3421,0.2368,0.2105,0.2368,0.3158,0.2895
"CC-SVM",0.3684,0.3158,0.3684,0.3421,0.3684,0.3158,0.3158,0.2895,0.3684,0.3684
"DBR-SVM",0.3158,0.2895,0.2895,0.3158,0.3421,0.2368,0.2105,0.2632,0.3158,0.2895
"EBR-SVM",0.2368,0.1842,0.2632,0.1842,0.2105,0.1579,0.1842,0.1579,0.2105,0.1842
"ECC-SVM",0.2105,0.2105,0.2632,0.2105,0.1842,0.1579,0.2105,0.2105,0.2105,0.1842
"MBR-SVM",0.3158,0.3421,0.3158,0.3421,0.3684,0.2895,0.2895,0.2368,0.3421,0.3158
"NS-SVM",0.3947,0.8947,0.3684,0.3421,0.3947,0.3421,0.3421,0.2895,0.3947,0.3421
"PruDent-SVM",0.3947,0.3684,0.3421,0.3947,0.3947,0.3158,0.3421,0.3158,0.3947,0.3947
"RDBR-SVM",0.2632,0.3158,0.2895,0.3158,0.2632,0.2368,0.2105,0.2368,0.2895,0.2895
"BR-SVMt",0.3421,0.3947,0.3421,0.3684,0.5,0.3158,0.3421,0.2895,0.4211,0.3684
"BR+-SVMt",0.2632,0.2632,0.3158,0.3158,0.2368,0.2368,0.2105,0.1842,0.2895,0.2632
"CC-SVMt",0.3158,0.3421,0.3684,0.3421,0.3947,0.2368,0.2368,0.2368,0.3684,0.3421
"DBR-SVMt",0.3158,0.2632,0.3158,0.3158,0.2105,0.2105,0.2368,0.2105,0.3421,0.2368
"EBR-SVMt",0.2105,0.1579,0.2368,0.1842,0.2368,0.2368,0.2368,0.1579,0.2368,0.2632
"ECC-SVMt",0.2895,0.1579,0.2105,0.1842,0.2105,0.1579,0.2105,0.1842,0.2368,0.2368
"MBR-SVMt",0.2895,0.3158,0.2632,0.3158,0.2895,0.2368,0.2895,0.2105,0.3158,0.2368
"NS-SVMt",0.3158,0.3158,0.3684,0.9211,0.2632,0.8947,0.8947,0.2632,0.8947,0.3421
"PruDent-SVMt",0.3684,0.3158,0.3947,0.3684,0.3421,0.3684,0.3421,0.2895,0.3684,0.3947
"RDBR-SVMt",0.3158,0.2368,0.2105,0.3158,0.2632,0.3421,0.2368,0.2105,0.3158,0.2895
