"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696
"baseline-HL",0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565
"baseline-RL",0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565
"baseline-SA",0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565,0.9565
"BR-C5.0",0.3043,0.1739,0.2609,0.3043,0.2174,0.2174,0.3043,0.2174,0.2174,0.2174
"BR+-C5.0",0.2609,0.1739,0.2174,0.2609,0.2174,0.1739,0.2609,0.1739,0.2174,0.1739
"CC-C5.0",0.2609,0.1739,0.2174,0.2609,0.2174,0.1739,0.3043,0.1739,0.2174,0.2174
"DBR-C5.0",0.2609,0.1739,0.2174,0.2609,0.2174,0.1739,0.2609,0.1739,0.2174,0.1739
"EBR-C5.0",0,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435
"ECC-C5.0",0.0435,0.0435,0.0435,0.0435,0.087,0.0435,0.0435,0.0435,0.0435,0.0435
"MBR-C5.0",0.3043,0.2174,0.2609,0.3043,0.2609,0.2174,0.3043,0.2609,0.2609,0.2174
"NS-C5.0",0.3043,0.1739,0.2609,0.3043,0.2174,0.2174,0.3043,0.1739,0.2609,0.2174
"PruDent-C5.0",0.3043,0.1739,0.2609,0.3043,0.2174,0.2174,0.3043,0.2174,0.2174,0.2174
"RDBR-C5.0",0.2609,0.1739,0.2174,0.2609,0.2174,0.1739,0.2609,0.1739,0.2174,0.2174
"BR-LR",0,0,0,0,0,0,0,0,0,0
"BR+-LR",0,0,0,0,0,0,0,0,0,0
"CC-LR",0,0,0,0,0,0,0,0,0,0
"DBR-LR",0,0,0,0,0,0,0,0,0,0
"EBR-LR",0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0,0.087,0.0435,0.0435
"ECC-LR",0.0435,0,0.087,0.0435,0.0435,0.0435,0,0.0435,0.0435,0
"MBR-LR",0,0,0,0,0,0,0,0,0,0
"NS-LR",0,0,0,0,0,0,0,0,0,0
"PruDent-LR",0,0,0,0,0,0,0,0,0,0
"RDBR-LR",0,0,0,0,0,0,0,0,0,0
"BR-RF",0.1739,0.2174,0.2174,0.2174,0.2174,0.2174,0.1739,0.2174,0.2174,0.1739
"BR+-RF",0.2174,0.2174,0.2174,0.1739,0.2174,0.2174,0.2174,0.2174,0.2609,0.2174
"CC-RF",0.1739,0.2609,0.2609,0.1739,0.2174,0.1739,0.2174,0.1739,0.2174,0.2174
"DBR-RF",0.2174,0.2174,0.2609,0.1739,0.2174,0.1739,0.2609,0.2174,0.2174,0.1739
"EBR-RF",0.1304,0.1304,0.1739,0.087,0.1304,0.087,0.1304,0.1304,0.087,0.1739
"ECC-RF",0.1304,0.1304,0.1304,0.1304,0.1739,0.1304,0.1304,0.1304,0.1739,0.1739
"MBR-RF",0.1739,0.1739,0.2174,0.1304,0.1304,0.2174,0.2609,0.1739,0.2174,0.2174
"NS-RF",0.1739,0.2174,0.2174,0.1739,0.2174,0.1739,0.2174,0.2174,0.2174,0.1739
"PruDent-RF",0.2174,0.1739,0.2609,0.1739,0.2174,0.1739,0.2174,0.2174,0.1739,0.1739
"RDBR-RF",0.2174,0.2609,0.2174,0.1304,0.1739,0.1739,0.2174,0.2174,0.1739,0.2174
"BR-SVM",0,0,0,0,0,0,0,0,0.0435,0
"BR+-SVM",0,0,0,0,0,0,0,0,0,0
"CC-SVM",0,0,0,0,0,0,0,0,0,0
"DBR-SVM",0,0,0,0,0,0,0,0,0,0
"EBR-SVM",0,0,0,0,0.0435,0,0,0,0,0
"ECC-SVM",0.0435,0,0,0,0,0,0,0,0,0
"MBR-SVM",0,0,0,0,0,0,0,0,0,0
"NS-SVM",0,0,0,0,0,0,0,0,0,0
