"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.7222,0.7222,0.7222,0.7222,0.7222,0.7222,0.7222,0.7222,0.7222,0.7222
"baseline-HL",0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444
"baseline-RL",0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444
"baseline-SA",0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444,0.9444
"BR-C5.0",0.4444,0.3889,0.3889,0.5,0.3889,0.4444,0.3889,0.4444,0.4444,0.4444
"BR+-C5.0",0.4444,0.3889,0.3333,0.5,0.3889,0.4444,0.4444,0.4444,0.4444,0.3889
"CC-C5.0",0.3889,0.3889,0.3889,0.5,0.3889,0.4444,0.4444,0.3889,0.4444,0.3889
"DBR-C5.0",0.4444,0.3889,0.3333,0.5,0.3889,0.4444,0.3889,0.4444,0.4444,0.4444
"EBR-C5.0",0.1667,0.2222,0.1111,0.2778,0.1667,0.1667,0.2222,0.1667,0.1667,0.2222
"ECC-C5.0",0.2778,0.2222,0.1667,0.1667,0.1667,0.2222,0.2222,0.2778,0.1667,0.2222
"MBR-C5.0",0.4444,0.5,0.4444,0.5556,0.3889,0.5,0.4444,0.5,0.4444,0.4444
"NS-C5.0",0.4444,0.3889,0.3889,0.5,0.3889,0.4444,0.3889,0.4444,0.4444,0.4444
"PruDent-C5.0",0.4444,0.3889,0.3889,0.5,0.3889,0.4444,0.3889,0.4444,0.4444,0.4444
"RDBR-C5.0",0.4444,0.3889,0.3333,0.5556,0.3889,0.4444,0.4444,0.4444,0.4444,0.4444
"BR-LR",0.1667,0,0,0.2222,0.2222,0,0.0556,0.1667,0,0.2222
"BR+-LR",0.1111,0.0556,0.0556,0.1667,0.1111,0,0.0556,0.1111,0,0.1111
"CC-LR",0.2222,0.0556,0,0.2222,0.1667,0,0.0556,0.1667,0,0.2222
"DBR-LR",0.1111,0.1111,0.0556,0.1111,0.1667,0,0,0.1111,0,0.1667
"EBR-LR",0.1667,0.1111,0.1667,0.1667,0.1667,0,0.1111,0.1667,0.0556,0.1667
"ECC-LR",0.1111,0.1111,0.0556,0.1111,0.1111,0.0556,0.1111,0.0556,0.0556,0.1667
"MBR-LR",0.1667,0.1111,0,0.2222,0.1111,0,0,0.1667,0,0.2222
"NS-LR",0.2222,0.0556,0,0.1667,0.1667,0.0556,0.0556,0.1667,0,0.2222
"PruDent-LR",0.1111,0.1111,0,0.1667,0.1111,0,0.0556,0.1667,0,0.1667
