"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.9615,0.9615,0.9487,0.9615,0.9615,0.9615,0.9615,0.9615,0.9615,0.9615
"baseline-HL",0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872
"baseline-RL",0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872
"baseline-SA",0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872,0.9872
"BR-C5.0",0.5385,0.5769,0.6154,0.5,0.5385,0.5256,0.6282,0.5769,0.5641,0.5897
"BR+-C5.0",0.5897,0.5641,0.6154,0.5256,0.6026,0.6154,0.6154,0.6282,0.6026,0.6026
"CC-C5.0",0.5769,0.6282,0.6538,0.5,0.6282,0.5641,0.6538,0.5641,0.5769,0.6282
"DBR-C5.0",0.5897,0.5769,0.6154,0.5385,0.6154,0.6154,0.6026,0.6282,0.5897,0.6026
"EBR-C5.0",0.4231,0.4359,0.4487,0.3846,0.4231,0.4615,0.3718,0.4359,0.4231,0.4359
"ECC-C5.0",0.4744,0.4231,0.4359,0.4872,0.4359,0.4872,0.3974,0.4359,0.4231,0.3974
"MBR-C5.0",0.5385,0.5897,0.6795,0.4744,0.5641,0.5385,0.641,0.5513,0.5513,0.6154
"NS-C5.0",0.5641,0.6026,0.6538,0.5128,0.5897,0.5513,0.6282,0.5897,0.5897,0.5897
"PruDent-C5.0",0.5385,0.5769,0.6154,0.5,0.5385,0.5256,0.6282,0.5769,0.5641,0.5897
"RDBR-C5.0",0.641,0.5769,0.6538,0.5385,0.6282,0.6282,0.641,0.6282,0.6026,0.6154
"BR-LR",0.3974,0.4231,0.4359,0.4359,0.3974,0.5385,0.4744,0.3974,0.3974,0.4872
"BR+-LR",0.4231,0.4359,0.3974,0.4615,0.3846,0.4872,0.4231,0.4231,0.4103,0.4103
"CC-LR",0.4615,0.4359,0.4359,0.4872,0.4103,0.4615,0.4872,0.4103,0.3974,0.4359
"DBR-LR",0.4231,0.4231,0.4359,0.4487,0.4103,0.5,0.4615,0.3974,0.4103,0.4744
"EBR-LR",0.3974,0.359,0.4231,0.4487,0.4872,0.4615,0.4103,0.3846,0.4615,0.5
"ECC-LR",0.4615,0.3333,0.3846,0.4103,0.359,0.4359,0.4103,0.4103,0.3718,0.4487
"MBR-LR",0.3846,0.3205,0.3333,0.359,0.359,0.4103,0.3462,0.3462,0.3077,0.2949
"NS-LR",0.4744,0.4103,0.4359,0.4744,0.4231,0.4487,0.4487,0.4231,0.4103,0.4231
"PruDent-LR",0.3846,0.3846,0.3718,0.4487,0.3974,0.4744,0.4103,0.3974,0.3846,0.4103
"RDBR-LR",0.3974,0.4359,0.4103,0.4103,0.4103,0.4744,0.4487,0.3974,0.3718,0.4231
"BR-RF",0.5641,0.6282,0.641,0.641,0.6026,0.641,0.5897,0.6667,0.6282,0.6282
"BR+-RF",0.6026,0.6026,0.6154,0.6026,0.6154,0.6154,0.5641,0.6538,0.6538,0.6154
"CC-RF",0.6154,0.6667,0.641,0.641,0.6154,0.6154,0.6282,0.641,0.641,0.6538
"DBR-RF",0.6154,0.6282,0.6154,0.6026,0.6026,0.6026,0.5897,0.641,0.6667,0.6154
"EBR-RF",0.5,0.4615,0.5,0.5128,0.4487,0.4744,0.4872,0.5256,0.4872,0.5
"ECC-RF",0.4872,0.5,0.4872,0.4872,0.4615,0.4872,0.4872,0.4872,0.4872,0.5128
"MBR-RF",0.5641,0.641,0.6538,0.641,0.6282,0.641,0.5897,0.641,0.6026,0.641
"NS-RF",0.5641,0.6282,0.6538,0.6154,0.6026,0.6026,0.6282,0.6538,0.6154,0.641
"PruDent-RF",0.6154,0.641,0.6282,0.6667,0.6026,0.6026,0.5769,0.641,0.6282,0.6154
"RDBR-RF",0.6154,0.641,0.641,0.6282,0.6282,0.641,0.5897,0.6538,0.641,0.6282
"BR-SVM",0.3974,0.4487,0.3846,0.4487,0.4231,0.4615,0.4103,0.4103,0.4103,0.4615
"BR+-SVM",0.4103,0.4359,0.3718,0.4359,0.3846,0.4359,0.4359,0.4103,0.3846,0.4615
"CC-SVM",0.4231,0.4487,0.4103,0.4487,0.3974,0.4615,0.4103,0.4103,0.3974,0.4615
"DBR-SVM",0.4103,0.4359,0.3846,0.4359,0.3974,0.4359,0.4359,0.4231,0.3846,0.4615
"EBR-SVM",0.3333,0.4103,0.3846,0.3205,0.3846,0.3077,0.4359,0.3462,0.3846,0.3077
"ECC-SVM",0.3846,0.359,0.3462,0.3462,0.3462,0.3333,0.4359,0.359,0.2564,0.4103
"MBR-SVM",0.4103,0.4103,0.3846,0.4744,0.3718,0.4744,0.3974,0.4103,0.3846,0.4103
"NS-SVM",0.4615,0.4231,0.4103,0.4872,0.4359,0.4103,0.4359,0.4103,0.4359,0.4615
"PruDent-SVM",0.4231,0.4359,0.3974,0.4487,0.3846,0.4744,0.4615,0.4231,0.4359,0.4744
"RDBR-SVM",0.4103,0.4359,0.3718,0.4231,0.3846,0.4359,0.4359,0.4103,0.3846,0.4615
