"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"baseline-HL",0.8571,0.8571,0.8571,0.8571,0.8571,0.8571,0.8571,0.8571,0.8571,0.8571
"baseline-RL",0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143
"baseline-SA",0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143
"BR-C5.0",0.0714,0.0714,0.0714,0.1429,0.1429,0.1429,0.0714,0.0714,0.0714,0.1429
"BR+-C5.0",0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"CC-C5.0",0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"DBR-C5.0",0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"EBR-C5.0",0.1429,0.0714,0.0714,0.0714,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429
"ECC-C5.0",0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.1429,0.0714,0.1429,0.1429
"MBR-C5.0",0.0714,0,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"NS-C5.0",0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"PruDent-C5.0",0.0714,0.0714,0.0714,0.1429,0.0714,0.0714,0.1429,0.0714,0.1429,0.0714
"RDBR-C5.0",0.0714,0.0714,0.0714,0,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"BR-LR",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"BR+-LR",0.1429,0.0714,0.0714,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.0714
"CC-LR",0.1429,0.0714,0.0714,0.1429,0.0714,0.0714,0.1429,0.1429,0.1429,0.0714
"DBR-LR",0.1429,0.0714,0.0714,0.1429,0.1429,0.0714,0.0714,0.1429,0.1429,0.0714
"EBR-LR",0.1429,0.1429,0.0714,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.0714
"ECC-LR",0.0714,0.1429,0.0714,0.1429,0.1429,0.1429,0.1429,0.1429,0.0714,0.0714
"MBR-LR",0.1429,0.1429,0.0714,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.0714
"NS-LR",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.0714
"PruDent-LR",0.1429,0.0714,0.0714,0.1429,0.1429,0.0714,0.0714,0.1429,0.1429,0.0714
"RDBR-LR",0.0714,0.0714,0.0714,0.0714,0.1429,0.0714,0.0714,0.1429,0.0714,0.0714
"BR-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"BR+-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"CC-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"DBR-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"EBR-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"ECC-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"MBR-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"NS-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"PruDent-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"RDBR-RF",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"BR-SVM",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"BR+-SVM",0.1429,0.0714,0.0714,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.0714
"CC-SVM",0.1429,0.0714,0.0714,0.1429,0.0714,0.0714,0.1429,0.1429,0.1429,0.0714
"DBR-SVM",0.1429,0.0714,0.0714,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.0714
"EBR-SVM",0.1429,0.0714,0.0714,0.1429,0.0714,0.0714,0.0714,0.1429,0.0714,0.0714
"ECC-SVM",0.1429,0.0714,0.0714,0.1429,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"MBR-SVM",0.1429,0.1429,0.0714,0.1429,0.1429,0.0714,0.1429,0.0714,0.1429,0.0714
"NS-SVM",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.0714
"PruDent-SVM",0.1429,0.1429,0.0714,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.1429
"RDBR-SVM",0.0714,0.0714,0.0714,0.1429,0.0714,0.0714,0.1429,0.1429,0.1429,0.0714
"BR-SVMt",0.1429,0.1429,0.1429,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.1429
"BR+-SVMt",0.1429,0.0714,0.0714,0.1429,0.1429,0.0714,0.1429,0.0714,0.1429,0.0714
"CC-SVMt",0.1429,0.1429,0.0714,0.1429,0.0714,0.0714,0.1429,0.0714,0.0714,0.0714
"DBR-SVMt",0.1429,0.0714,0.0714,0.1429,0.1429,0.0714,0.1429,0.0714,0.0714,0.0714
"EBR-SVMt",0.1429,0.0714,0.1429,0.0714,0.0714,0.0714,0.1429,0.0714,0.1429,0.0714
"ECC-SVMt",0.1429,0.0714,0.1429,0.1429,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"MBR-SVMt",0.0714,0.1429,0.0714,0.1429,0.1429,0.0714,0.1429,0.0714,0.0714,0.0714
"NS-SVMt",0.1429,0.1429,0.1429,0.1429,0.1429,0.0714,0.1429,0.0714,0.0714,0.0714
"PruDent-SVMt",0.1429,0.1429,0.0714,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.1429
"RDBR-SVMt",0.0714,0.0714,0.0714,0.1429,0.0714,0.0714,0.1429,0.0714,0.0714,0.0714
"BR-XGB",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"BR+-XGB",0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"CC-XGB",0.1429,0.1429,0.1429,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.0714
"DBR-XGB",0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"EBR-XGB",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"ECC-XGB",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"MBR-XGB",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"NS-XGB",0.1429,0.1429,0.1429,0.1429,0.1429,0.0714,0.1429,0.1429,0.1429,0.1429
"PruDent-XGB",0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429
"RDBR-XGB",0.1429,0.0714,0.1429,0.1429,0.1429,0.0714,0.0714,0.1429,0.1429,0.0714
