"Strategies","left","rope","right"
"BR-C5.0 x BR-LR",0,0,1
"BR-C5.0 x BR-RF",0,0,1
"BR-C5.0 x BR-SVM",0,0,1
"BR-C5.0 x BR-SVMt",0,0,1
"BR-C5.0 x BR-XGB",0,0,1
"BR-C5.0 x BR+-C5.0",0.01,0.96,0.03
"BR-C5.0 x BR+-LR",0,0,1
"BR-C5.0 x BR+-RF",0,0,1
"BR-C5.0 x BR+-SVM",0,0,1
"BR-C5.0 x BR+-SVMt",0,0,1
"BR-C5.0 x BR+-XGB",0,0,1
"BR-C5.0 x CC-C5.0",0,1,0
"BR-C5.0 x CC-LR",0,0,1
"BR-C5.0 x CC-RF",0,0,1
"BR-C5.0 x CC-SVM",0,0,1
"BR-C5.0 x CC-SVMt",0,0,1
"BR-C5.0 x CC-XGB",0,0,1
"BR-C5.0 x DBR-C5.0",0.12,0.87,0.01
"BR-C5.0 x DBR-LR",0,0,1
"BR-C5.0 x DBR-RF",0,0,1
"BR-C5.0 x DBR-SVM",0,0,1
"BR-C5.0 x DBR-SVMt",0,0,1
"BR-C5.0 x DBR-XGB",0,0,1
"BR-C5.0 x EBR-C5.0",0,0,1
"BR-C5.0 x EBR-LR",0,0,1
"BR-C5.0 x EBR-RF",0,0,1
"BR-C5.0 x EBR-SVM",0,0,1
"BR-C5.0 x EBR-SVMt",0,0,1
"BR-C5.0 x EBR-XGB",0,0,1
"BR-C5.0 x ECC-C5.0",0,0,1
"BR-C5.0 x ECC-LR",0,0,1
"BR-C5.0 x ECC-RF",0,0,1
"BR-C5.0 x ECC-SVM",0,0,1
"BR-C5.0 x ECC-SVMt",0,0,1
"BR-C5.0 x ECC-XGB",0,0,1
"BR-C5.0 x MBR-C5.0",0,1,0
"BR-C5.0 x MBR-LR",0,0,1
"BR-C5.0 x MBR-RF",0,0,1
"BR-C5.0 x MBR-SVM",0,0,1
"BR-C5.0 x MBR-SVMt",0,0,1
"BR-C5.0 x MBR-XGB",0,0,1
"BR-C5.0 x NS-C5.0",0,0.83,0.17
"BR-C5.0 x NS-LR",0,0,1
"BR-C5.0 x NS-RF",0,0,1
"BR-C5.0 x NS-SVM",0,0,1
"BR-C5.0 x NS-SVMt",0,0,1
"BR-C5.0 x NS-XGB",0,0,1
"BR-C5.0 x PruDent-C5.0",0,0.98,0.02
"BR-C5.0 x PruDent-LR",0,0,1
"BR-C5.0 x PruDent-RF",0,0,1
"BR-C5.0 x PruDent-SVM",0,0,1
"BR-C5.0 x PruDent-SVMt",0,0,1
"BR-C5.0 x PruDent-XGB",0,0,1
"BR-C5.0 x RDBR-C5.0",0.02,0.97,0.02
"BR-C5.0 x RDBR-LR",0,0,1
"BR-C5.0 x RDBR-RF",0,0,1
"BR-C5.0 x RDBR-SVM",0,0,1
"BR-C5.0 x RDBR-SVMt",0,0,1
"BR-C5.0 x RDBR-XGB",0,0,1
"BR-LR x BR-RF",0.05,0,0.95
"BR-LR x BR-SVM",0,1,0
"BR-LR x BR-SVMt",0.26,0.14,0.6
"BR-LR x BR-XGB",0.14,0,0.86
"BR-LR x BR+-LR",0.64,0.03,0.32
"BR-LR x BR+-RF",0.05,0,0.95
"BR-LR x BR+-SVM",0.6,0.04,0.36
"BR-LR x BR+-SVMt",0.28,0,0.72
"BR-LR x BR+-XGB",0.28,0,0.72
"BR-LR x CC-LR",0.46,0.29,0.25
"BR-LR x CC-RF",0.11,0,0.89
"BR-LR x CC-SVM",0.39,0.2,0.42
"BR-LR x CC-SVMt",0.17,0,0.83
"BR-LR x CC-XGB",0.12,0,0.88
"BR-LR x DBR-LR",0.71,0.08,0.21
"BR-LR x DBR-RF",0.06,0,0.94
"BR-LR x DBR-SVM",0.65,0.04,0.31
"BR-LR x DBR-SVMt",0.18,0,0.81
"BR-LR x DBR-XGB",0.33,0,0.67
"BR-LR x EBR-LR",1,0,0
"BR-LR x EBR-RF",0.29,0,0.71
"BR-LR x EBR-SVM",0.97,0,0.03
"BR-LR x EBR-SVMt",0.62,0,0.38
"BR-LR x EBR-XGB",0.43,0,0.57
"BR-LR x ECC-LR",0.99,0,0.01
"BR-LR x ECC-RF",0.28,0,0.72
"BR-LR x ECC-SVM",0.97,0,0.03
"BR-LR x ECC-SVMt",0.64,0,0.36
"BR-LR x ECC-XGB",0.3,0,0.7
"BR-LR x MBR-LR",0,0.98,0.01
"BR-LR x MBR-RF",0.06,0,0.94
"BR-LR x MBR-SVM",0,0.99,0.01
"BR-LR x MBR-SVMt",0.14,0.01,0.85
"BR-LR x MBR-XGB",0.14,0,0.86
"BR-LR x NS-LR",0.01,0.98,0.01
"BR-LR x NS-RF",0.09,0,0.91
"BR-LR x NS-SVM",0,0.97,0.03
"BR-LR x NS-SVMt",0.26,0,0.74
"BR-LR x NS-XGB",0.2,0,0.8
"BR-LR x PruDent-LR",0,1,0
"BR-LR x PruDent-RF",0.05,0,0.95
"BR-LR x PruDent-SVM",0,1,0
"BR-LR x PruDent-SVMt",0.33,0.08,0.59
"BR-LR x PruDent-XGB",0.12,0,0.88
"BR-LR x RDBR-LR",0.64,0.06,0.3
"BR-LR x RDBR-RF",0.05,0,0.95
"BR-LR x RDBR-SVM",0.57,0.03,0.4
"BR-LR x RDBR-SVMt",0.29,0,0.71
"BR-LR x RDBR-XGB",0.19,0,0.81
"BR-RF x BR-SVM",0.89,0,0.11
"BR-RF x BR-SVMt",0.95,0,0.05
"BR-RF x BR-XGB",0.78,0,0.22
"BR-RF x BR+-RF",0.05,0.9,0.05
"BR-RF x BR+-SVM",0.93,0,0.07
"BR-RF x BR+-SVMt",0.92,0,0.08
"BR-RF x BR+-XGB",0.87,0,0.13
"BR-RF x CC-RF",0.08,0.92,0
"BR-RF x CC-SVM",0.88,0,0.12
"BR-RF x CC-SVMt",0.9,0,0.1
"BR-RF x CC-XGB",0.76,0,0.24
"BR-RF x DBR-RF",0.1,0.86,0.04
"BR-RF x DBR-SVM",0.92,0,0.08
"BR-RF x DBR-SVMt",0.92,0,0.08
"BR-RF x DBR-XGB",0.89,0,0.11
"BR-RF x EBR-RF",0.98,0,0.01
"BR-RF x EBR-SVM",0.99,0,0.01
"BR-RF x EBR-SVMt",0.94,0,0.06
"BR-RF x EBR-XGB",0.96,0,0.04
"BR-RF x ECC-RF",0.99,0,0.01
"BR-RF x ECC-SVM",0.99,0,0.01
"BR-RF x ECC-SVMt",0.93,0,0.07
"BR-RF x ECC-XGB",0.93,0,0.07
"BR-RF x MBR-RF",0,1,0
"BR-RF x MBR-SVM",0.89,0,0.11
"BR-RF x MBR-SVMt",0.61,0,0.39
"BR-RF x MBR-XGB",0.79,0,0.21
"BR-RF x NS-RF",0.03,0.96,0.01
"BR-RF x NS-SVM",0.93,0,0.07
"BR-RF x NS-SVMt",0.94,0,0.06
"BR-RF x NS-XGB",0.84,0,0.16
"BR-RF x PruDent-RF",0,1,0
"BR-RF x PruDent-SVM",0.93,0,0.07
"BR-RF x PruDent-SVMt",0.95,0,0.05
"BR-RF x PruDent-XGB",0.78,0,0.22
"BR-RF x RDBR-RF",0.02,0.96,0.02
"BR-RF x RDBR-SVM",0.89,0,0.11
"BR-RF x RDBR-SVMt",0.9,0,0.1
"BR-RF x RDBR-XGB",0.82,0,0.18
"BR-SVM x BR-SVMt",0.45,0.15,0.4
"BR-SVM x BR-XGB",0.21,0,0.79
"BR-SVM x BR+-SVM",0.77,0.06,0.17
"BR-SVM x BR+-SVMt",0.42,0,0.58
"BR-SVM x BR+-XGB",0.39,0,0.61
"BR-SVM x CC-SVM",0.55,0.3,0.16
"BR-SVM x CC-SVMt",0.32,0,0.68
"BR-SVM x CC-XGB",0.19,0,0.81
"BR-SVM x DBR-SVM",0.8,0.06,0.14
"BR-SVM x DBR-SVMt",0.36,0,0.64
"BR-SVM x DBR-XGB",0.45,0,0.55
"BR-SVM x EBR-SVM",0.98,0,0.02
"BR-SVM x EBR-SVMt",0.74,0,0.26
"BR-SVM x EBR-XGB",0.55,0,0.45
"BR-SVM x ECC-SVM",0.98,0,0.02
"BR-SVM x ECC-SVMt",0.77,0,0.23
"BR-SVM x ECC-XGB",0.41,0,0.59
"BR-SVM x MBR-SVM",0,1,0
"BR-SVM x MBR-SVMt",0.33,0.03,0.64
"BR-SVM x MBR-XGB",0.22,0,0.78
"BR-SVM x NS-SVM",0.02,0.94,0.04
"BR-SVM x NS-SVMt",0.43,0,0.57
"BR-SVM x NS-XGB",0.3,0,0.7
"BR-SVM x PruDent-SVM",0,1,0
"BR-SVM x PruDent-SVMt",0.52,0.04,0.44
"BR-SVM x PruDent-XGB",0.21,0,0.79
"BR-SVM x RDBR-SVM",0.72,0.04,0.24
"BR-SVM x RDBR-SVMt",0.45,0,0.55
"BR-SVM x RDBR-XGB",0.27,0,0.73
"BR-SVMt x BR-XGB",0.24,0,0.76
"BR-SVMt x BR+-SVMt",0.59,0.1,0.31
"BR-SVMt x BR+-XGB",0.34,0,0.66
"BR-SVMt x CC-SVMt",0.17,0.62,0.22
"BR-SVMt x CC-XGB",0.27,0,0.72
"BR-SVMt x DBR-SVMt",0.52,0.13,0.36
"BR-SVMt x DBR-XGB",0.4,0,0.6
"BR-SVMt x EBR-SVMt",0.84,0,0.16
"BR-SVMt x EBR-XGB",0.45,0,0.55
"BR-SVMt x ECC-SVMt",0.85,0,0.15
