"Strategies","left","rope","right"
"BR-C5.0 x BR-LR",0.06,0,0.94
"BR-C5.0 x BR-RF",0.47,0,0.53
"BR-C5.0 x BR-SVM",0.04,0,0.96
"BR-C5.0 x BR-SVMt",0.14,0,0.86
"BR-C5.0 x BR-XGB",0,0,1
"BR-C5.0 x BR+-C5.0",0.61,0.22,0.17
"BR-C5.0 x BR+-LR",0.01,0,0.99
"BR-C5.0 x BR+-RF",0.4,0,0.6
"BR-C5.0 x BR+-SVM",0.01,0,0.99
"BR-C5.0 x BR+-SVMt",0.02,0,0.98
"BR-C5.0 x BR+-XGB",0,0,1
"BR-C5.0 x CC-C5.0",0.25,0.69,0.06
"BR-C5.0 x CC-LR",0.01,0,0.99
"BR-C5.0 x CC-RF",0.43,0,0.57
"BR-C5.0 x CC-SVM",0.01,0,0.99
"BR-C5.0 x CC-SVMt",0.05,0,0.95
"BR-C5.0 x CC-XGB",0,0,1
"BR-C5.0 x DBR-C5.0",0.36,0.42,0.22
"BR-C5.0 x DBR-LR",0.01,0,0.99
"BR-C5.0 x DBR-RF",0.4,0,0.6
"BR-C5.0 x DBR-SVM",0.01,0,0.99
"BR-C5.0 x DBR-SVMt",0.02,0,0.98
"BR-C5.0 x DBR-XGB",0,0,1
"BR-C5.0 x EBR-C5.0",0,0,1
"BR-C5.0 x EBR-LR",0,0,1
"BR-C5.0 x EBR-RF",0,0,1
"BR-C5.0 x EBR-SVM",0,0,1
"BR-C5.0 x EBR-SVMt",0,0,1
"BR-C5.0 x EBR-XGB",0,0,1
"BR-C5.0 x ECC-C5.0",0,0,1
"BR-C5.0 x ECC-LR",0,0,1
"BR-C5.0 x ECC-RF",0,0,1
"BR-C5.0 x ECC-SVM",0,0,1
"BR-C5.0 x ECC-SVMt",0,0,1
"BR-C5.0 x ECC-XGB",0,0,1
"BR-C5.0 x MBR-C5.0",0.01,0.89,0.1
"BR-C5.0 x MBR-LR",0.02,0,0.98
"BR-C5.0 x MBR-RF",0.47,0,0.53
"BR-C5.0 x MBR-SVM",0.02,0,0.98
"BR-C5.0 x MBR-SVMt",0.12,0,0.88
"BR-C5.0 x MBR-XGB",0,0,1
"BR-C5.0 x NS-C5.0",0.83,0.16,0.01
"BR-C5.0 x NS-LR",0.05,0,0.95
"BR-C5.0 x NS-RF",0.34,0,0.66
"BR-C5.0 x NS-SVM",0.03,0,0.97
"BR-C5.0 x NS-SVMt",0.07,0,0.93
"BR-C5.0 x NS-XGB",0,0,1
"BR-C5.0 x PruDent-C5.0",0.04,0.96,0
