"Strategies","left","rope","right"
"BR-C5.0 x BR+-C5.0",0.37,0.51,0.11
"BR-C5.0 x CC-C5.0",0.04,0.95,0.01
"BR-C5.0 x DBR-C5.0",0.06,0.88,0.06
"BR-C5.0 x EBR-C5.0",0,0,1
"BR-C5.0 x ECC-C5.0",0,0,1
"BR-C5.0 x MBR-C5.0",0,0.93,0.06
"BR-C5.0 x NS-C5.0",0.68,0.32,0.01
"BR-C5.0 x PruDent-C5.0",0,1,0
"BR-C5.0 x RDBR-C5.0",0.32,0.66,0.03
"BR-C5.0 x BR-LR",0.04,0,0.96
"BR-C5.0 x BR+-LR",0,0,1
"BR-C5.0 x CC-LR",0.01,0,0.99
"BR-C5.0 x DBR-LR",0,0,1
"BR-C5.0 x EBR-LR",0,0,1
"BR-C5.0 x ECC-LR",0,0,1
"BR-C5.0 x MBR-LR",0.02,0,0.98
"BR-C5.0 x NS-LR",0.03,0,0.97
"BR-C5.0 x PruDent-LR",0.03,0,0.97
"BR-C5.0 x RDBR-LR",0.01,0,0.99
"BR-C5.0 x BR-RF",0.44,0,0.56
"BR-C5.0 x BR+-RF",0.38,0,0.62
"BR-C5.0 x CC-RF",0.38,0,0.62
"BR-C5.0 x DBR-RF",0.35,0,0.65
"BR-C5.0 x EBR-RF",0,0,1
"BR-C5.0 x ECC-RF",0,0,1
"BR-C5.0 x MBR-RF",0.44,0,0.56
"BR-C5.0 x NS-RF",0.3,0,0.7
"BR-C5.0 x PruDent-RF",0.43,0,0.57
"BR-C5.0 x RDBR-RF",0.39,0,0.61
"BR-C5.0 x BR-SVM",0.04,0,0.96
"BR-C5.0 x BR+-SVM",0.01,0,0.99
"BR-C5.0 x CC-SVM",0.01,0,0.99
"BR-C5.0 x DBR-SVM",0.01,0,0.99
"BR-C5.0 x EBR-SVM",0,0,1
"BR-C5.0 x ECC-SVM",0,0,1
"BR-C5.0 x MBR-SVM",0.02,0,0.98
"BR-C5.0 x NS-SVM",0.02,0,0.98
"BR-C5.0 x PruDent-SVM",0.04,0,0.96
"BR-C5.0 x RDBR-SVM",0.01,0,0.99
"BR-C5.0 x BR-SVMt",0.02,0,0.98
"BR-C5.0 x BR+-SVMt",0,0,1
"BR-C5.0 x CC-SVMt",0,0,1
"BR-C5.0 x DBR-SVMt",0,0,1
"BR-C5.0 x EBR-SVMt",0,0,1
"BR-C5.0 x ECC-SVMt",0,0,1
"BR-C5.0 x MBR-SVMt",0,0,1
"BR-C5.0 x NS-SVMt",0,0,1
"BR-C5.0 x PruDent-SVMt",0.01,0,0.99
"BR-C5.0 x RDBR-SVMt",0,0,1
"BR-C5.0 x BR-XGB",0,0,1
"BR-C5.0 x BR+-XGB",0,0,1
"BR-C5.0 x CC-XGB",0,0,1
"BR-C5.0 x DBR-XGB",0,0,1
"BR-C5.0 x EBR-XGB",0,0,1
"BR-C5.0 x ECC-XGB",0,0,1
"BR-C5.0 x MBR-XGB",0,0,1
"BR-C5.0 x NS-XGB",0,0,1
"BR-C5.0 x PruDent-XGB",0,0,1
"BR-C5.0 x RDBR-XGB",0,0,1
"BR+-C5.0 x CC-C5.0",0,1,0
"BR+-C5.0 x DBR-C5.0",0,1,0
"BR+-C5.0 x EBR-C5.0",0,0,1
"BR+-C5.0 x ECC-C5.0",0,0,1
"BR+-C5.0 x MBR-C5.0",0.01,0.27,0.72
"BR+-C5.0 x NS-C5.0",0.08,0.91,0.01
"BR+-C5.0 x PruDent-C5.0",0.2,0.66,0.14
"BR+-C5.0 x RDBR-C5.0",0,1,0
"BR+-C5.0 x BR-LR",0.05,0,0.95
"BR+-C5.0 x BR+-LR",0.01,0,0.99
"BR+-C5.0 x CC-LR",0.01,0,0.99
"BR+-C5.0 x DBR-LR",0.01,0,0.99
"BR+-C5.0 x EBR-LR",0,0,1
"BR+-C5.0 x ECC-LR",0,0,1
"BR+-C5.0 x MBR-LR",0.02,0,0.98
"BR+-C5.0 x NS-LR",0.04,0,0.96
"BR+-C5.0 x PruDent-LR",0.03,0,0.97
"BR+-C5.0 x RDBR-LR",0.01,0,0.99
"BR+-C5.0 x BR-RF",0.37,0,0.63
"BR+-C5.0 x BR+-RF",0.32,0,0.68
"BR+-C5.0 x CC-RF",0.33,0,0.67
"BR+-C5.0 x DBR-RF",0.31,0,0.69
"BR+-C5.0 x EBR-RF",0,0,1
"BR+-C5.0 x ECC-RF",0,0,1
"BR+-C5.0 x MBR-RF",0.36,0,0.64
"BR+-C5.0 x NS-RF",0.27,0,0.73
"BR+-C5.0 x PruDent-RF",0.35,0,0.65
"BR+-C5.0 x RDBR-RF",0.36,0,0.64
"BR+-C5.0 x BR-SVM",0.04,0,0.96
"BR+-C5.0 x BR+-SVM",0.01,0,0.99
"BR+-C5.0 x CC-SVM",0.01,0,0.99
"BR+-C5.0 x DBR-SVM",0.01,0,0.99
"BR+-C5.0 x EBR-SVM",0,0,1
"BR+-C5.0 x ECC-SVM",0,0,1
"BR+-C5.0 x MBR-SVM",0.02,0,0.98
"BR+-C5.0 x NS-SVM",0.03,0,0.97
"BR+-C5.0 x PruDent-SVM",0.03,0,0.97
"BR+-C5.0 x RDBR-SVM",0.01,0,0.99
"BR+-C5.0 x BR-SVMt",0.01,0,0.99
"BR+-C5.0 x BR+-SVMt",0,0,1
"BR+-C5.0 x CC-SVMt",0,0,1
"BR+-C5.0 x DBR-SVMt",0,0,1
"BR+-C5.0 x EBR-SVMt",0,0,1
"BR+-C5.0 x ECC-SVMt",0,0,1
"BR+-C5.0 x MBR-SVMt",0.01,0,0.99
"BR+-C5.0 x NS-SVMt",0,0,1
"BR+-C5.0 x PruDent-SVMt",0.02,0,0.98
"BR+-C5.0 x RDBR-SVMt",0,0,1
"BR+-C5.0 x BR-XGB",0,0,1
"BR+-C5.0 x BR+-XGB",0,0,1
"BR+-C5.0 x CC-XGB",0,0,1
"BR+-C5.0 x DBR-XGB",0,0,1
"BR+-C5.0 x EBR-XGB",0,0,1
"BR+-C5.0 x ECC-XGB",0,0,1
"BR+-C5.0 x MBR-XGB",0,0,1
"BR+-C5.0 x NS-XGB",0,0,1
"BR+-C5.0 x PruDent-XGB",0,0,1
"BR+-C5.0 x RDBR-XGB",0,0,1
"CC-C5.0 x DBR-C5.0",0,1,0
"CC-C5.0 x EBR-C5.0",0,0,1
"CC-C5.0 x ECC-C5.0",0,0,1
"CC-C5.0 x MBR-C5.0",0,0.74,0.26
"CC-C5.0 x NS-C5.0",0.03,0.97,0
"CC-C5.0 x PruDent-C5.0",0.04,0.93,0.02
"CC-C5.0 x RDBR-C5.0",0,1,0
"CC-C5.0 x BR-LR",0.03,0,0.97
"CC-C5.0 x BR+-LR",0,0,1
"CC-C5.0 x CC-LR",0.01,0,0.99
"CC-C5.0 x DBR-LR",0.01,0,0.99
"CC-C5.0 x EBR-LR",0,0,1
"CC-C5.0 x ECC-LR",0,0,1
"CC-C5.0 x MBR-LR",0.01,0,0.99
"CC-C5.0 x NS-LR",0.03,0,0.97
"CC-C5.0 x PruDent-LR",0.02,0,0.98
"CC-C5.0 x RDBR-LR",0,0,1
"CC-C5.0 x BR-RF",0.37,0,0.63
"CC-C5.0 x BR+-RF",0.31,0,0.69
"CC-C5.0 x CC-RF",0.32,0,0.68
"CC-C5.0 x DBR-RF",0.29,0,0.71
"CC-C5.0 x EBR-RF",0,0,1
"CC-C5.0 x ECC-RF",0,0,1
"CC-C5.0 x MBR-RF",0.36,0,0.64
"CC-C5.0 x NS-RF",0.25,0,0.75
"CC-C5.0 x PruDent-RF",0.35,0,0.65
"CC-C5.0 x RDBR-RF",0.35,0,0.65
"CC-C5.0 x BR-SVM",0.04,0,0.96
"CC-C5.0 x BR+-SVM",0.01,0,0.99
"CC-C5.0 x CC-SVM",0.01,0,0.99
"CC-C5.0 x DBR-SVM",0,0,1
"CC-C5.0 x EBR-SVM",0,0,1
"CC-C5.0 x ECC-SVM",0,0,1
"CC-C5.0 x MBR-SVM",0.02,0,0.98
"CC-C5.0 x NS-SVM",0.02,0,0.98
"CC-C5.0 x PruDent-SVM",0.03,0,0.97
"CC-C5.0 x RDBR-SVM",0,0,1
"CC-C5.0 x BR-SVMt",0.01,0,0.99
"CC-C5.0 x BR+-SVMt",0,0,1
"CC-C5.0 x CC-SVMt",0,0,1
"CC-C5.0 x DBR-SVMt",0,0,1
"CC-C5.0 x EBR-SVMt",0,0,1
"CC-C5.0 x ECC-SVMt",0,0,1
"CC-C5.0 x MBR-SVMt",0,0,1
"CC-C5.0 x NS-SVMt",0,0,1
"CC-C5.0 x PruDent-SVMt",0.02,0,0.98
"CC-C5.0 x RDBR-SVMt",0,0,1
"CC-C5.0 x BR-XGB",0,0,1
"CC-C5.0 x BR+-XGB",0,0,1
"CC-C5.0 x CC-XGB",0,0,1
"CC-C5.0 x DBR-XGB",0,0,1
"CC-C5.0 x EBR-XGB",0,0,1
"CC-C5.0 x ECC-XGB",0,0,1
"CC-C5.0 x MBR-XGB",0,0,1
"CC-C5.0 x NS-XGB",0,0,1
"CC-C5.0 x PruDent-XGB",0,0,1
"CC-C5.0 x RDBR-XGB",0,0,1
"DBR-C5.0 x EBR-C5.0",0,0,1
"DBR-C5.0 x ECC-C5.0",0,0,1
"DBR-C5.0 x MBR-C5.0",0.01,0.75,0.24
"DBR-C5.0 x NS-C5.0",0.14,0.86,0
"DBR-C5.0 x PruDent-C5.0",0.26,0.7,0.04
"DBR-C5.0 x RDBR-C5.0",0,1,0
"DBR-C5.0 x BR-LR",0.06,0,0.94
"DBR-C5.0 x BR+-LR",0.01,0,0.99
"DBR-C5.0 x CC-LR",0.02,0,0.98
"DBR-C5.0 x DBR-LR",0.01,0,0.99
"DBR-C5.0 x EBR-LR",0,0,1
"DBR-C5.0 x ECC-LR",0,0,1
"DBR-C5.0 x MBR-LR",0.02,0,0.98
"DBR-C5.0 x NS-LR",0.05,0,0.95
"DBR-C5.0 x PruDent-LR",0.03,0,0.97
"DBR-C5.0 x RDBR-LR",0.01,0,0.99
"DBR-C5.0 x BR-RF",0.41,0,0.59
"DBR-C5.0 x BR+-RF",0.38,0,0.62
"DBR-C5.0 x CC-RF",0.38,0,0.62
"DBR-C5.0 x DBR-RF",0.37,0,0.63
"DBR-C5.0 x EBR-RF",0,0,1
"DBR-C5.0 x ECC-RF",0,0,1
"DBR-C5.0 x MBR-RF",0.41,0,0.59
"DBR-C5.0 x NS-RF",0.3,0,0.7
"DBR-C5.0 x PruDent-RF",0.4,0,0.6
"DBR-C5.0 x RDBR-RF",0.41,0,0.59
"DBR-C5.0 x BR-SVM",0.05,0,0.95
"DBR-C5.0 x BR+-SVM",0.01,0,0.99
"DBR-C5.0 x CC-SVM",0.01,0,0.99
"DBR-C5.0 x DBR-SVM",0.01,0,0.99
"DBR-C5.0 x EBR-SVM",0,0,1
"DBR-C5.0 x ECC-SVM",0,0,1
