"Strategies","left","rope","right"
"BR-C5.0 x BR-LR",0,0,1
"BR-C5.0 x BR-RF",0,0,1
"BR-C5.0 x BR-SVM",0,0,1
"BR-C5.0 x BR-SVMt",0,0,1
"BR-C5.0 x BR-XGB",0,0,1
"BR-C5.0 x BR+-C5.0",0.98,0.01,0.01
"BR-C5.0 x BR+-LR",0,0,1
"BR-C5.0 x BR+-RF",0,0,1
"BR-C5.0 x BR+-SVM",0,0,1
"BR-C5.0 x BR+-SVMt",0,0,1
"BR-C5.0 x BR+-XGB",0,0,1
"BR-C5.0 x CC-C5.0",0.33,0.66,0
"BR-C5.0 x CC-LR",0,0,1
"BR-C5.0 x CC-RF",0,0,1
"BR-C5.0 x CC-SVM",0,0,1
"BR-C5.0 x CC-SVMt",0,0,1
"BR-C5.0 x CC-XGB",0,0,1
"BR-C5.0 x DBR-C5.0",0.98,0.01,0.01
"BR-C5.0 x DBR-LR",0,0,1
"BR-C5.0 x DBR-RF",0,0,1
"BR-C5.0 x DBR-SVM",0,0,1
"BR-C5.0 x DBR-SVMt",0,0,1
"BR-C5.0 x DBR-XGB",0,0,1
"BR-C5.0 x EBR-C5.0",0,0,1
"BR-C5.0 x EBR-LR",0,0,1
"BR-C5.0 x EBR-RF",0,0,1
"BR-C5.0 x EBR-SVM",0,0,1
"BR-C5.0 x EBR-SVMt",0,0,1
"BR-C5.0 x EBR-XGB",0,0,1
"BR-C5.0 x ECC-C5.0",0,0,1
"BR-C5.0 x ECC-LR",0.01,0,0.99
"BR-C5.0 x ECC-RF",0,0,1
"BR-C5.0 x ECC-SVM",0,0,1
"BR-C5.0 x ECC-SVMt",0,0,1
"BR-C5.0 x ECC-XGB",0,0,1
"BR-C5.0 x MBR-C5.0",0.96,0.04,0
"BR-C5.0 x MBR-LR",0,0,1
"BR-C5.0 x MBR-RF",0,0,1
"BR-C5.0 x MBR-SVM",0,0,1
"BR-C5.0 x MBR-SVMt",0,0,1
"BR-C5.0 x MBR-XGB",0,0,1
"BR-C5.0 x NS-C5.0",0,1,0
"BR-C5.0 x NS-LR",0,0,1
"BR-C5.0 x NS-RF",0,0,1
"BR-C5.0 x NS-SVM",0,0,1
"BR-C5.0 x NS-SVMt",0,0,1
"BR-C5.0 x NS-XGB",0,0,1
"BR-C5.0 x PruDent-C5.0",0,1,0
"BR-C5.0 x PruDent-LR",0,0,1
"BR-C5.0 x PruDent-RF",0,0,1
"BR-C5.0 x PruDent-SVM",0,0,1
"BR-C5.0 x PruDent-SVMt",0,0,1
"BR-C5.0 x PruDent-XGB",0,0,1
"BR-C5.0 x RDBR-C5.0",0.98,0.01,0.01
"BR-C5.0 x RDBR-LR",0,0,1
"BR-C5.0 x RDBR-RF",0,0,1
"BR-C5.0 x RDBR-SVM",0,0,1
"BR-C5.0 x RDBR-SVMt",0,0,1
"BR-C5.0 x RDBR-XGB",0,0,1
"BR-LR x BR-RF",0.08,0,0.91
"BR-LR x BR-SVM",0,1,0
"BR-LR x BR-SVMt",0.02,0.92,0.06
"BR-LR x BR-XGB",0.66,0.02,0.32
"BR-LR x BR+-LR",0.15,0.84,0
"BR-LR x BR+-RF",0.32,0.01,0.68
"BR-LR x BR+-SVM",0.09,0.9,0
"BR-LR x BR+-SVMt",0.67,0.3,0.03
"BR-LR x BR+-XGB",0.88,0.01,0.11
"BR-LR x CC-LR",0.46,0.54,0
"BR-LR x CC-RF",0.18,0,0.82
"BR-LR x CC-SVM",0.41,0.58,0
"BR-LR x CC-SVMt",0.71,0.17,0.12
"BR-LR x CC-XGB",0.95,0,0.05
"BR-LR x DBR-LR",0.39,0.6,0
"BR-LR x DBR-RF",0.25,0.01,0.74
"BR-LR x DBR-SVM",0.28,0.72,0
"BR-LR x DBR-SVMt",0.71,0.2,0.09
"BR-LR x DBR-XGB",0.87,0,0.13
"BR-LR x EBR-LR",1,0,0
"BR-LR x EBR-RF",0.65,0.04,0.31
"BR-LR x EBR-SVM",0.61,0.38,0.01
"BR-LR x EBR-SVMt",0.75,0.14,0.11
"BR-LR x EBR-XGB",0.23,0.62,0.15
"BR-LR x ECC-LR",1,0,0
"BR-LR x ECC-RF",0.78,0.03,0.19
"BR-LR x ECC-SVM",0.67,0.32,0.01
"BR-LR x ECC-SVMt",0.83,0.08,0.09
"BR-LR x ECC-XGB",0.64,0.05,0.31
"BR-LR x MBR-LR",0.53,0.45,0.01
"BR-LR x MBR-RF",0.16,0.01,0.83
"BR-LR x MBR-SVM",0.43,0.57,0
"BR-LR x MBR-SVMt",0.55,0.39,0.05
"BR-LR x MBR-XGB",0.96,0,0.04
"BR-LR x NS-LR",0,1,0
"BR-LR x NS-RF",0.19,0.01,0.81
"BR-LR x NS-SVM",0,1,0
"BR-LR x NS-SVMt",0.66,0.12,0.22
"BR-LR x NS-XGB",0.94,0,0.06
"BR-LR x PruDent-LR",0.66,0.33,0.01
"BR-LR x PruDent-RF",0.13,0,0.87
"BR-LR x PruDent-SVM",0,1,0
"BR-LR x PruDent-SVMt",0.33,0.36,0.31
"BR-LR x PruDent-XGB",0.71,0.04,0.25
"BR-LR x RDBR-LR",0.38,0.62,0
"BR-LR x RDBR-RF",0.31,0.01,0.68
"BR-LR x RDBR-SVM",0.2,0.79,0
"BR-LR x RDBR-SVMt",0.66,0.31,0.03
"BR-LR x RDBR-XGB",0.89,0.01,0.1
"BR-RF x BR-SVM",0.92,0,0.08
"BR-RF x BR-SVMt",0.24,0.54,0.23
"BR-RF x BR-XGB",0.95,0.04,0.01
"BR-RF x BR+-RF",0.02,0.98,0
"BR-RF x BR+-SVM",0.99,0,0.01
"BR-RF x BR+-SVMt",0.93,0.04,0.03
"BR-RF x BR+-XGB",1,0,0
"BR-RF x CC-RF",0,1,0
"BR-RF x CC-SVM",1,0,0
"BR-RF x CC-SVMt",0.96,0.01,0.03
"BR-RF x CC-XGB",1,0,0
"BR-RF x DBR-RF",0.01,0.99,0
"BR-RF x DBR-SVM",0.99,0,0.01
"BR-RF x DBR-SVMt",0.95,0.02,0.03
"BR-RF x DBR-XGB",1,0,0
"BR-RF x EBR-RF",0.23,0.77,0
"BR-RF x EBR-SVM",0.98,0,0.02
"BR-RF x EBR-SVMt",0.94,0.01,0.05
"BR-RF x EBR-XGB",0.85,0.03,0.12
"BR-RF x ECC-RF",0.82,0.18,0
"BR-RF x ECC-SVM",0.99,0,0.01
"BR-RF x ECC-SVMt",0.94,0.03,0.03
"BR-RF x ECC-XGB",0.94,0,0.05
"BR-RF x MBR-RF",0,1,0
"BR-RF x MBR-SVM",0.99,0,0.01
"BR-RF x MBR-SVMt",0.93,0,0.07
"BR-RF x MBR-XGB",1,0,0
"BR-RF x NS-RF",0,1,0
"BR-RF x NS-SVM",0.95,0.01,0.03
"BR-RF x NS-SVMt",0.95,0.03,0.02
"BR-RF x NS-XGB",1,0,0
"BR-RF x PruDent-RF",0,1,0
"BR-RF x PruDent-SVM",0.98,0,0.02
"BR-RF x PruDent-SVMt",0.56,0.27,0.17
"BR-RF x PruDent-XGB",0.96,0.04,0.01
"BR-RF x RDBR-RF",0.01,0.99,0
"BR-RF x RDBR-SVM",0.99,0,0.01
"BR-RF x RDBR-SVMt",0.91,0.04,0.06
"BR-RF x RDBR-XGB",1,0,0
"BR-SVM x BR-SVMt",0.05,0.84,0.11
"BR-SVM x BR-XGB",0.66,0.03,0.31
"BR-SVM x BR+-SVM",0.06,0.94,0
"BR-SVM x BR+-SVMt",0.68,0.29,0.03
"BR-SVM x BR+-XGB",0.89,0,0.1
"BR-SVM x CC-SVM",0.26,0.74,0
"BR-SVM x CC-SVMt",0.68,0.23,0.09
"BR-SVM x CC-XGB",0.95,0,0.05
"BR-SVM x DBR-SVM",0.16,0.84,0
"BR-SVM x DBR-SVMt",0.71,0.23,0.06
"BR-SVM x DBR-XGB",0.87,0,0.13
"BR-SVM x EBR-SVM",0.74,0.24,0.02
"BR-SVM x EBR-SVMt",0.8,0.07,0.13
"BR-SVM x EBR-XGB",0.19,0.7,0.11
"BR-SVM x ECC-SVM",0.79,0.19,0.01
"BR-SVM x ECC-SVMt",0.86,0.03,0.11
"BR-SVM x ECC-XGB",0.62,0.03,0.35
"BR-SVM x MBR-SVM",0.45,0.55,0
"BR-SVM x MBR-SVMt",0.57,0.39,0.04
"BR-SVM x MBR-XGB",0.95,0,0.05
"BR-SVM x NS-SVM",0,1,0
"BR-SVM x NS-SVMt",0.66,0.1,0.24
"BR-SVM x NS-XGB",0.94,0,0.06
"BR-SVM x PruDent-SVM",0,1,0
"BR-SVM x PruDent-SVMt",0.41,0.19,0.4
"BR-SVM x PruDent-XGB",0.72,0.06,0.23
"BR-SVM x RDBR-SVM",0.15,0.84,0
"BR-SVM x RDBR-SVMt",0.7,0.28,0.02
"BR-SVM x RDBR-XGB",0.87,0.01,0.12
"BR-SVMt x BR-XGB",0.88,0.04,0.08
"BR-SVMt x BR+-SVMt",0.34,0.66,0
"BR-SVMt x BR+-XGB",0.94,0,0.06
"BR-SVMt x CC-SVMt",0.68,0.3,0.01
"BR-SVMt x CC-XGB",0.98,0,0.02
"BR-SVMt x DBR-SVMt",0.25,0.75,0
"BR-SVMt x DBR-XGB",0.93,0,0.07
"BR-SVMt x EBR-SVMt",0.75,0.22,0.03
"BR-SVMt x EBR-XGB",0.28,0.4,0.31
