"Strategies","left","rope","right"
"BR-C5.0 x BR+-C5.0",1,0,0
"BR-C5.0 x CC-C5.0",0.7,0.3,0
"BR-C5.0 x DBR-C5.0",1,0,0
"BR-C5.0 x EBR-C5.0",0.03,0,0.97
"BR-C5.0 x ECC-C5.0",0.03,0,0.97
"BR-C5.0 x MBR-C5.0",0.96,0.04,0
"BR-C5.0 x NS-C5.0",0,1,0
"BR-C5.0 x PruDent-C5.0",0.06,0.94,0
"BR-C5.0 x RDBR-C5.0",1,0,0
"BR-C5.0 x BR-LR",0,0,1
"BR-C5.0 x BR+-LR",0,0,1
"BR-C5.0 x CC-LR",0,0,1
"BR-C5.0 x DBR-LR",0,0,1
"BR-C5.0 x EBR-LR",0.25,0,0.75
"BR-C5.0 x ECC-LR",0.21,0,0.79
"BR-C5.0 x MBR-LR",0,0,1
"BR-C5.0 x NS-LR",0,0,1
"BR-C5.0 x PruDent-LR",0.04,0,0.96
"BR-C5.0 x RDBR-LR",0,0,1
"BR-C5.0 x BR-RF",0,0,1
"BR-C5.0 x BR+-RF",0,0,1
"BR-C5.0 x CC-RF",0,0,1
"BR-C5.0 x DBR-RF",0,0,1
"BR-C5.0 x EBR-RF",0.75,0,0.25
"BR-C5.0 x ECC-RF",0.69,0,0.31
"BR-C5.0 x MBR-RF",0,0,1
"BR-C5.0 x NS-RF",0,0,1
"BR-C5.0 x PruDent-RF",0,0,1
"BR-C5.0 x RDBR-RF",0,0,1
"BR-C5.0 x BR-SVM",0,0,1
"BR-C5.0 x BR+-SVM",0,0,1
"BR-C5.0 x CC-SVM",0,0,1
"BR-C5.0 x DBR-SVM",0,0,1
"BR-C5.0 x EBR-SVM",0.4,0,0.6
"BR-C5.0 x ECC-SVM",0.32,0,0.68
"BR-C5.0 x MBR-SVM",0,0,1
"BR-C5.0 x NS-SVM",0,0,1
"BR-C5.0 x PruDent-SVM",0,0,1
"BR-C5.0 x RDBR-SVM",0,0,1
"BR-C5.0 x BR-SVMt",0,0,1
"BR-C5.0 x BR+-SVMt",0,0,1
"BR-C5.0 x CC-SVMt",0,0,1
"BR-C5.0 x DBR-SVMt",0,0,1
"BR-C5.0 x EBR-SVMt",0.21,0,0.79
